

# Contour value=5.00 
mST_GeV,deltaM_GeV
7.5823e+02,1.1064e+02
7.5848e+02,1.1172e+02
7.5872e+02,1.1281e+02
7.5896e+02,1.1389e+02
7.5921e+02,1.1497e+02
7.5945e+02,1.1605e+02
7.5970e+02,1.1713e+02
7.5992e+02,1.1813e+02
7.5994e+02,1.1822e+02
7.6018e+02,1.1930e+02
7.6042e+02,1.2038e+02
7.6065e+02,1.2146e+02
7.6088e+02,1.2255e+02
7.6111e+02,1.2363e+02
7.6134e+02,1.2471e+02
7.6157e+02,1.2579e+02
7.6180e+02,1.2687e+02
7.6203e+02,1.2796e+02
7.6226e+02,1.2904e+02
7.6249e+02,1.3012e+02
7.6272e+02,1.3120e+02
7.6295e+02,1.3228e+02
7.6318e+02,1.3337e+02
7.6341e+02,1.3445e+02
7.6364e+02,1.3553e+02
7.6387e+02,1.3661e+02
7.6410e+02,1.3770e+02
7.6434e+02,1.3878e+02
7.6457e+02,1.3986e+02
7.6480e+02,1.4094e+02
7.6503e+02,1.4202e+02
7.6526e+02,1.4311e+02
7.6533e+02,1.4346e+02
7.6549e+02,1.4419e+02
7.6572e+02,1.4527e+02
7.6595e+02,1.4635e+02
7.6618e+02,1.4743e+02
7.6641e+02,1.4852e+02
7.6664e+02,1.4960e+02
7.6689e+02,1.5068e+02
7.6716e+02,1.5176e+02
7.6743e+02,1.5285e+02
7.6769e+02,1.5393e+02
7.6796e+02,1.5501e+02
7.6823e+02,1.5609e+02
7.6849e+02,1.5717e+02
7.6876e+02,1.5826e+02
7.6903e+02,1.5934e+02
7.6929e+02,1.6042e+02
7.6956e+02,1.6150e+02
7.6983e+02,1.6259e+02
7.7009e+02,1.6367e+02
7.7037e+02,1.6475e+02
7.7069e+02,1.6583e+02
7.7074e+02,1.6598e+02
7.7103e+02,1.6691e+02
7.7137e+02,1.6800e+02
7.7171e+02,1.6908e+02
7.7204e+02,1.7016e+02
7.7238e+02,1.7124e+02
7.7272e+02,1.7232e+02
7.7306e+02,1.7341e+02
7.7339e+02,1.7449e+02
7.7373e+02,1.7557e+02
7.7407e+02,1.7665e+02
7.7441e+02,1.7774e+02
7.7474e+02,1.7882e+02
7.7508e+02,1.7990e+02
7.7542e+02,1.8098e+02
7.7576e+02,1.8206e+02
7.7609e+02,1.8315e+02
7.7615e+02,1.8333e+02
7.7643e+02,1.8423e+02
7.7677e+02,1.8531e+02
7.7711e+02,1.8639e+02
7.7745e+02,1.8747e+02
7.7778e+02,1.8856e+02
7.7812e+02,1.8964e+02
7.7846e+02,1.9072e+02
7.7880e+02,1.9180e+02
7.7913e+02,1.9289e+02
7.7947e+02,1.9397e+02
7.7981e+02,1.9505e+02
7.8015e+02,1.9613e+02
7.8048e+02,1.9721e+02
7.8082e+02,1.9830e+02
7.8116e+02,1.9938e+02
7.8146e+02,2.0046e+02
7.8156e+02,2.0089e+02
7.8172e+02,2.0154e+02
7.8198e+02,2.0263e+02
7.8223e+02,2.0371e+02
7.8249e+02,2.0479e+02
7.8275e+02,2.0587e+02
7.8301e+02,2.0695e+02
7.8327e+02,2.0804e+02
7.8352e+02,2.0912e+02
7.8378e+02,2.1020e+02
7.8404e+02,2.1128e+02
7.8430e+02,2.1236e+02
7.8455e+02,2.1345e+02
7.8481e+02,2.1453e+02
7.8507e+02,2.1561e+02
7.8533e+02,2.1669e+02
7.8558e+02,2.1778e+02
7.8584e+02,2.1886e+02
7.8610e+02,2.1994e+02
7.8636e+02,2.2102e+02
7.8662e+02,2.2210e+02
7.8687e+02,2.2319e+02
7.8697e+02,2.2361e+02
7.8713e+02,2.2427e+02
7.8739e+02,2.2535e+02
7.8765e+02,2.2643e+02
7.8790e+02,2.2752e+02
7.8816e+02,2.2860e+02
7.8842e+02,2.2968e+02
7.8868e+02,2.3076e+02
7.8893e+02,2.3184e+02
7.8919e+02,2.3293e+02
7.8945e+02,2.3401e+02
7.8971e+02,2.3509e+02
7.8996e+02,2.3617e+02
7.9022e+02,2.3725e+02
7.9048e+02,2.3834e+02
7.9074e+02,2.3942e+02
7.9100e+02,2.4050e+02
7.9125e+02,2.4158e+02
7.9151e+02,2.4267e+02
7.9177e+02,2.4375e+02
7.9202e+02,2.4483e+02
7.9228e+02,2.4591e+02
7.9238e+02,2.4638e+02
7.9252e+02,2.4699e+02
7.9275e+02,2.4808e+02
7.9298e+02,2.4916e+02
7.9322e+02,2.5024e+02
7.9354e+02,2.5132e+02
7.9385e+02,2.5240e+02
7.9416e+02,2.5349e+02
7.9447e+02,2.5457e+02
7.9479e+02,2.5565e+02
7.9510e+02,2.5673e+02
7.9541e+02,2.5782e+02
7.9572e+02,2.5890e+02
7.9604e+02,2.5998e+02
7.9635e+02,2.6106e+02
7.9666e+02,2.6214e+02
7.9698e+02,2.6323e+02
7.9729e+02,2.6431e+02
7.9760e+02,2.6539e+02
7.9780e+02,2.6607e+02
7.9790e+02,2.6647e+02
7.9819e+02,2.6756e+02
7.9847e+02,2.6864e+02
7.9876e+02,2.6972e+02
7.9904e+02,2.7080e+02
