

# Contour value=1.00 
mST_GeV,deltaM_GeV
3.0165e+02,1.0000e+01
3.0166e+02,1.1082e+01
3.0166e+02,1.2164e+01
3.0167e+02,1.3246e+01
3.0167e+02,1.4329e+01
3.0167e+02,1.5411e+01
3.0167e+02,1.6493e+01
3.0168e+02,1.7575e+01
3.0168e+02,1.8657e+01
3.0168e+02,1.9739e+01
3.0169e+02,2.0822e+01
3.0169e+02,2.1904e+01
3.0169e+02,2.2986e+01
3.0170e+02,2.4068e+01
3.0170e+02,2.5150e+01
3.0170e+02,2.6232e+01
3.0170e+02,2.7315e+01
3.0171e+02,2.8397e+01
3.0171e+02,2.9479e+01
3.0171e+02,3.0561e+01
3.0171e+02,3.1643e+01
3.0171e+02,3.2725e+01
3.0171e+02,3.3808e+01
3.0172e+02,3.4890e+01
3.0172e+02,3.5972e+01
3.0172e+02,3.7054e+01
3.0172e+02,3.8136e+01
3.0172e+02,3.9218e+01
3.0173e+02,4.0301e+01
3.0173e+02,4.1383e+01
3.0173e+02,4.2465e+01
3.0173e+02,4.3547e+01
3.0173e+02,4.4629e+01
3.0174e+02,4.5711e+01
3.0174e+02,4.6794e+01
3.0174e+02,4.7876e+01
3.0175e+02,4.8958e+01
3.0177e+02,5.0040e+01
3.0177e+02,5.1122e+01
3.0178e+02,5.2204e+01
3.0178e+02,5.3287e+01
3.0178e+02,5.4369e+01
3.0178e+02,5.5451e+01
3.0178e+02,5.6533e+01
3.0178e+02,5.7615e+01
3.0178e+02,5.8697e+01
3.0179e+02,5.9780e+01
3.0179e+02,6.0862e+01
3.0179e+02,6.1944e+01
3.0179e+02,6.3026e+01
3.0179e+02,6.4108e+01
3.0179e+02,6.5190e+01
3.0180e+02,6.6273e+01
3.0180e+02,6.7355e+01
3.0180e+02,6.8437e+01
3.0180e+02,6.9519e+01
3.0180e+02,7.0601e+01
3.0180e+02,7.1683e+01
3.0180e+02,7.2766e+01
3.0181e+02,7.3848e+01
3.0181e+02,7.4930e+01
3.0182e+02,7.6012e+01
3.0182e+02,7.7094e+01
