

# Contour value=0.80 
mST_GeV,deltaM_GeV
3.6482e+02,6.5293e+01
3.6639e+02,6.4171e+01
3.6884e+02,6.2419e+01
3.6984e+02,6.1709e+01
3.7286e+02,5.9544e+01
3.7328e+02,5.9246e+01
3.7672e+02,5.6784e+01
3.7688e+02,5.6670e+01
3.8017e+02,5.4322e+01
3.8090e+02,5.3795e+01
3.8361e+02,5.1859e+01
3.8492e+02,5.0982e+01
3.8730e+02,4.9397e+01
3.8894e+02,4.8484e+01
3.9174e+02,4.6935e+01
3.9296e+02,4.5954e+01
3.9435e+02,4.4472e+01
3.9643e+02,4.2010e+01
3.9698e+02,4.1351e+01
3.9886e+02,3.9548e+01
4.0101e+02,3.7492e+01
4.0245e+02,3.7085e+01
4.0503e+02,3.6358e+01
4.0905e+02,3.5224e+01
4.1118e+02,3.4623e+01
4.1307e+02,3.4090e+01
4.1677e+02,3.2161e+01
4.1709e+02,3.1622e+01
4.1802e+02,2.9698e+01
4.1921e+02,2.7236e+01
4.2111e+02,2.5055e+01
4.2135e+02,2.4774e+01
4.2513e+02,2.4015e+01
4.2915e+02,2.3095e+01
4.3278e+02,2.2312e+01
4.3317e+02,2.2261e+01
4.3719e+02,2.1666e+01
4.4121e+02,2.0924e+01
4.4523e+02,1.9969e+01
4.4566e+02,1.9849e+01
4.4718e+02,1.7387e+01
4.4754e+02,1.4925e+01
4.4813e+02,1.2462e+01
4.4787e+02,1.0000e+01
