

# Contour value=0.67 
mST_GeV,deltaM_GeV
1.2270e+03,5.5000e+02
1.2262e+03,5.4729e+02
1.2254e+03,5.4457e+02
1.2246e+03,5.4186e+02
1.2237e+03,5.3915e+02
1.2226e+03,5.3757e+02
1.2215e+03,5.3643e+02
1.2186e+03,5.3372e+02
1.2157e+03,5.3101e+02
1.2127e+03,5.2829e+02
1.2098e+03,5.2558e+02
1.2090e+03,5.2487e+02
1.2075e+03,5.2286e+02
1.2054e+03,5.2015e+02
1.2033e+03,5.1744e+02
1.2013e+03,5.1472e+02
1.1992e+03,5.1201e+02
1.1971e+03,5.0930e+02
1.1955e+03,5.0721e+02
1.1952e+03,5.0658e+02
1.1939e+03,5.0387e+02
1.1925e+03,5.0116e+02
1.1912e+03,4.9844e+02
1.1899e+03,4.9573e+02
1.1886e+03,4.9302e+02
1.1872e+03,4.9030e+02
1.1859e+03,4.8759e+02
1.1846e+03,4.8487e+02
1.1833e+03,4.8216e+02
1.1819e+03,4.7945e+02
1.1819e+03,4.7937e+02
1.1806e+03,4.7673e+02
1.1793e+03,4.7402e+02
1.1780e+03,4.7131e+02
1.1767e+03,4.6859e+02
1.1753e+03,4.6588e+02
1.1727e+03,4.6317e+02
1.1689e+03,4.6045e+02
1.1683e+03,4.6011e+02
1.1638e+03,4.5774e+02
1.1586e+03,4.5503e+02
1.1548e+03,4.5303e+02
1.1534e+03,4.5231e+02
1.1487e+03,4.4960e+02
1.1472e+03,4.4688e+02
1.1458e+03,4.4417e+02
1.1443e+03,4.4146e+02
1.1428e+03,4.3874e+02
1.1413e+03,4.3603e+02
1.1412e+03,4.3588e+02
1.1398e+03,4.3332e+02
1.1383e+03,4.3060e+02
1.1368e+03,4.2789e+02
1.1353e+03,4.2518e+02
1.1338e+03,4.2246e+02
1.1323e+03,4.1975e+02
1.1308e+03,4.1704e+02
1.1293e+03,4.1432e+02
1.1276e+03,4.1168e+02
1.1276e+03,4.1161e+02
1.1258e+03,4.0889e+02
1.1241e+03,4.0618e+02
1.1224e+03,4.0347e+02
1.1206e+03,4.0075e+02
1.1169e+03,3.9804e+02
1.1141e+03,3.9632e+02
1.1124e+03,3.9533e+02
1.1080e+03,3.9261e+02
1.1035e+03,3.8990e+02
1.1005e+03,3.8806e+02
1.0992e+03,3.8719e+02
1.0953e+03,3.8447e+02
1.0915e+03,3.8176e+02
1.0876e+03,3.7905e+02
1.0869e+03,3.7861e+02
1.0837e+03,3.7633e+02
1.0798e+03,3.7362e+02
1.0759e+03,3.7090e+02
1.0734e+03,3.6911e+02
1.0720e+03,3.6819e+02
1.0675e+03,3.6548e+02
1.0622e+03,3.6276e+02
1.0598e+03,3.6161e+02
1.0565e+03,3.6005e+02
1.0507e+03,3.5734e+02
1.0462e+03,3.5521e+02
1.0450e+03,3.5462e+02
1.0392e+03,3.5191e+02
1.0339e+03,3.4920e+02
1.0327e+03,3.4843e+02
1.0295e+03,3.4648e+02
1.0252e+03,3.4377e+02
1.0208e+03,3.4106e+02
1.0191e+03,3.3997e+02
1.0165e+03,3.3834e+02
1.0121e+03,3.3563e+02
1.0078e+03,3.3291e+02
1.0055e+03,3.3152e+02
1.0039e+03,3.3020e+02
1.0005e+03,3.2749e+02
9.9714e+02,3.2477e+02
9.9376e+02,3.2206e+02
9.9196e+02,3.2061e+02
9.9060e+02,3.1935e+02
9.8767e+02,3.1663e+02
9.8475e+02,3.1392e+02
9.8183e+02,3.1121e+02
9.7839e+02,3.0869e+02
9.7807e+02,3.0849e+02
9.7347e+02,3.0578e+02
9.6886e+02,3.0307e+02
9.6482e+02,3.0069e+02
9.6426e+02,3.0035e+02
9.6170e+02,2.9764e+02
9.5945e+02,2.9492e+02
9.5721e+02,2.9221e+02
9.5496e+02,2.8950e+02
9.5271e+02,2.8678e+02
9.5126e+02,2.8503e+02
9.5046e+02,2.8407e+02
9.4821e+02,2.8136e+02
9.4509e+02,2.7864e+02
9.4054e+02,2.7593e+02
9.3769e+02,2.7467e+02
9.3391e+02,2.7322e+02
9.2686e+02,2.7050e+02
9.2412e+02,2.6945e+02
9.1982e+02,2.6779e+02
9.1277e+02,2.6508e+02
9.1055e+02,2.6422e+02
9.0669e+02,2.6236e+02
9.0105e+02,2.5965e+02
8.9698e+02,2.5769e+02
8.9606e+02,2.5693e+02
8.9274e+02,2.5422e+02
8.8942e+02,2.5151e+02
8.8695e+02,2.4879e+02
8.8552e+02,2.4608e+02
8.8410e+02,2.4337e+02
8.8342e+02,2.4207e+02
8.8267e+02,2.4065e+02
8.8125e+02,2.3794e+02
8.7983e+02,2.3523e+02
8.7840e+02,2.3251e+02
8.7698e+02,2.2980e+02
8.7555e+02,2.2709e+02
8.7413e+02,2.2437e+02
8.7271e+02,2.2166e+02
8.7128e+02,2.1894e+02
8.6986e+02,2.1623e+02
8.6985e+02,2.1622e+02
8.6341e+02,2.1352e+02
8.5628e+02,2.1138e+02
8.5437e+02,2.1080e+02
8.4534e+02,2.0809e+02
8.4271e+02,2.0730e+02
8.3631e+02,2.0538e+02
8.2915e+02,2.0322e+02
8.2728e+02,2.0266e+02
8.1831e+02,1.9995e+02
8.1558e+02,1.9874e+02
8.1220e+02,1.9724e+02
8.0610e+02,1.9452e+02
8.0201e+02,1.9271e+02
8.0082e+02,1.9181e+02
7.9724e+02,1.8910e+02
7.9366e+02,1.8638e+02
7.9007e+02,1.8367e+02
7.8844e+02,1.8243e+02
7.8662e+02,1.8095e+02
7.8328e+02,1.7824e+02
7.7993e+02,1.7553e+02
7.7659e+02,1.7281e+02
7.7487e+02,1.7142e+02
7.7324e+02,1.7010e+02
7.6930e+02,1.6739e+02
7.6369e+02,1.6467e+02
7.6131e+02,1.6377e+02
7.5560e+02,1.6196e+02
7.4774e+02,1.5946e+02
7.4707e+02,1.5925e+02
7.3854e+02,1.5653e+02
7.3417e+02,1.5514e+02
7.3001e+02,1.5382e+02
7.2148e+02,1.5111e+02
7.2060e+02,1.5068e+02
7.1593e+02,1.4839e+02
7.1244e+02,1.4568e+02
7.0895e+02,1.4296e+02
7.0704e+02,1.4148e+02
7.0604e+02,1.4025e+02
7.0384e+02,1.3754e+02
7.0163e+02,1.3482e+02
6.9943e+02,1.3211e+02
6.9723e+02,1.2940e+02
6.9502e+02,1.2668e+02
6.9347e+02,1.2477e+02
6.9300e+02,1.2397e+02
6.9143e+02,1.2126e+02
6.8985e+02,1.1854e+02
6.8828e+02,1.1583e+02
6.8670e+02,1.1312e+02
6.8512e+02,1.1040e+02
6.8127e+02,1.0769e+02
6.7990e+02,1.0702e+02
6.7260e+02,1.0497e+02
6.6633e+02,1.0322e+02
6.6291e+02,1.0226e+02
6.5328e+02,9.9548e+01
6.5276e+02,9.9397e+01
6.4397e+02,9.6834e+01
6.3920e+02,9.5440e+01
6.3467e+02,9.4121e+01
6.2563e+02,9.1483e+01
6.2537e+02,9.1407e+01
6.1606e+02,8.8693e+01
6.1206e+02,8.7526e+01
6.0718e+02,8.5980e+01
5.9863e+02,8.3266e+01
5.9849e+02,8.3224e+01
5.9336e+02,8.0553e+01
5.8815e+02,7.7839e+01
5.8492e+02,7.6159e+01
5.8294e+02,7.5126e+01
5.8492e+02,7.3511e+01
5.8628e+02,7.2412e+01
5.9002e+02,6.9698e+01
5.9377e+02,6.6985e+01
5.9752e+02,6.4271e+01
5.9849e+02,6.3570e+01
6.0381e+02,6.1558e+01
6.1098e+02,5.8844e+01
6.1206e+02,5.8434e+01
6.1863e+02,5.6131e+01
6.2210e+02,5.3417e+01
6.2356e+02,5.0704e+01
6.2323e+02,4.7990e+01
6.2232e+02,4.5276e+01
6.2140e+02,4.2563e+01
6.2049e+02,3.9849e+01
6.1958e+02,3.7136e+01
6.1867e+02,3.4422e+01
6.1775e+02,3.1709e+01
6.1737e+02,2.8995e+01
6.1768e+02,2.6281e+01
6.1206e+02,2.4542e+01
5.9849e+02,2.3641e+01
5.9792e+02,2.3568e+01
5.8492e+02,2.2791e+01
5.7136e+02,2.1920e+01
5.5917e+02,2.0854e+01
5.5779e+02,2.0719e+01
5.4422e+02,1.9548e+01
5.3065e+02,1.8363e+01
5.2811e+02,1.8141e+01
5.1709e+02,1.7177e+01
5.0352e+02,1.5991e+01
5.0063e+02,1.5427e+01
4.8995e+02,1.3337e+01
4.8544e+02,1.2714e+01
4.7638e+02,1.2223e+01
4.6281e+02,1.2223e+01
4.4925e+02,1.2223e+01
4.3568e+02,1.2223e+01
4.2211e+02,1.2223e+01
4.0854e+02,1.2223e+01
3.9497e+02,1.2223e+01
3.8141e+02,1.2223e+01
3.6784e+02,1.2223e+01
3.5427e+02,1.2223e+01
3.4070e+02,1.2223e+01
3.2714e+02,1.2223e+01
3.1357e+02,1.1785e+01
3.0000e+02,1.1123e+01


# Contour value=1.00 
mST_GeV,deltaM_GeV
1.1606e+03,5.5000e+02
1.1591e+03,5.4729e+02
1.1575e+03,5.4457e+02
1.1560e+03,5.4186e+02
1.1548e+03,5.3962e+02
1.1545e+03,5.3915e+02
1.1530e+03,5.3643e+02
1.1515e+03,5.3372e+02
1.1500e+03,5.3101e+02
1.1485e+03,5.2829e+02
1.1470e+03,5.2558e+02
1.1456e+03,5.2286e+02
1.1441e+03,5.2015e+02
1.1428e+03,5.1744e+02
1.1415e+03,5.1472e+02
1.1412e+03,5.1422e+02
1.1401e+03,5.1201e+02
1.1388e+03,5.0930e+02
1.1375e+03,5.0658e+02
1.1362e+03,5.0387e+02
1.1348e+03,5.0116e+02
1.1335e+03,4.9844e+02
1.1322e+03,4.9573e+02
1.1309e+03,4.9302e+02
1.1295e+03,4.9030e+02
1.1282e+03,4.8759e+02
1.1276e+03,4.8689e+02
1.1250e+03,4.8487e+02
1.1198e+03,4.8216e+02
1.1146e+03,4.7945e+02
1.1141e+03,4.7919e+02
1.1094e+03,4.7673e+02
1.1042e+03,4.7402e+02
1.1005e+03,4.7212e+02
1.0997e+03,4.7131e+02
1.0968e+03,4.6859e+02
1.0939e+03,4.6588e+02
1.0911e+03,4.6317e+02
1.0882e+03,4.6045e+02
1.0869e+03,4.5921e+02
1.0854e+03,4.5774e+02
1.0826e+03,4.5503e+02
1.0798e+03,4.5231e+02
1.0770e+03,4.4960e+02
1.0744e+03,4.4688e+02
1.0734e+03,4.4582e+02
1.0718e+03,4.4417e+02
1.0691e+03,4.4146e+02
1.0665e+03,4.3874e+02
1.0640e+03,4.3603e+02
