

# Contour value=10.00 
mST_GeV,deltaM_GeV
7.0142e+02,5.2286e+02
7.0190e+02,5.2558e+02
7.0238e+02,5.2829e+02
7.0286e+02,5.3101e+02
7.0334e+02,5.3372e+02
7.0382e+02,5.3643e+02
7.0430e+02,5.3915e+02
7.0477e+02,5.4186e+02
7.0532e+02,5.4457e+02
7.0591e+02,5.4729e+02
7.0651e+02,5.5000e+02


# Contour value=12.00 
mST_GeV,deltaM_GeV
6.7085e+02,1.0000e+01
6.7127e+02,1.2714e+01
6.7169e+02,1.5427e+01
6.7212e+02,1.8141e+01
6.7266e+02,2.0854e+01
6.7358e+02,2.3568e+01
6.7425e+02,2.6281e+01
6.7448e+02,2.8995e+01
6.7498e+02,3.1709e+01
6.7579e+02,3.4422e+01
6.7675e+02,3.7136e+01
6.7772e+02,3.9849e+01
6.7868e+02,4.2563e+01
6.7965e+02,4.5276e+01
6.7990e+02,4.5976e+01
6.8062e+02,4.7990e+01
6.8164e+02,5.0704e+01
6.8277e+02,5.3417e+01
6.8366e+02,5.6131e+01
6.8433e+02,5.8844e+01
6.8500e+02,6.1558e+01
6.8567e+02,6.4271e+01
6.8634e+02,6.6985e+01
6.8701e+02,6.9698e+01
6.8768e+02,7.2412e+01
6.8835e+02,7.5126e+01
6.8901e+02,7.7839e+01
6.8966e+02,8.0553e+01
6.9031e+02,8.3266e+01
6.9096e+02,8.5980e+01
6.9162e+02,8.8693e+01
6.9227e+02,9.1407e+01
6.9292e+02,9.4121e+01
6.9347e+02,9.6382e+01
6.9358e+02,9.6834e+01
6.9416e+02,9.9548e+01
6.9483e+02,1.0226e+02
6.9554e+02,1.0497e+02
6.9626e+02,1.0769e+02
6.9697e+02,1.1040e+02
6.9768e+02,1.1312e+02
6.9839e+02,1.1583e+02
6.9911e+02,1.1854e+02
6.9982e+02,1.2126e+02
7.0053e+02,1.2397e+02
7.0124e+02,1.2668e+02
7.0195e+02,1.2940e+02
7.0267e+02,1.3211e+02
7.0338e+02,1.3482e+02
7.0409e+02,1.3754e+02
7.0480e+02,1.4025e+02
7.0552e+02,1.4296e+02
7.0623e+02,1.4568e+02
7.0691e+02,1.4839e+02
7.0704e+02,1.4891e+02
7.0754e+02,1.5111e+02
7.0813e+02,1.5382e+02
7.0872e+02,1.5653e+02
7.0931e+02,1.5925e+02
7.0990e+02,1.6196e+02
7.1049e+02,1.6467e+02
7.1108e+02,1.6739e+02
7.1167e+02,1.7010e+02
7.1226e+02,1.7281e+02
7.1285e+02,1.7553e+02
7.1344e+02,1.7824e+02
7.1402e+02,1.8095e+02
7.1461e+02,1.8367e+02
7.1520e+02,1.8638e+02
7.1579e+02,1.8910e+02
7.1642e+02,1.9181e+02
7.1707e+02,1.9452e+02
7.1773e+02,1.9724e+02
7.1840e+02,1.9995e+02
7.1911e+02,2.0266e+02
7.1982e+02,2.0538e+02
7.2052e+02,2.0809e+02
7.2060e+02,2.0840e+02
7.2124e+02,2.1080e+02
7.2197e+02,2.1352e+02
7.2270e+02,2.1623e+02
7.2344e+02,2.1894e+02
7.2417e+02,2.2166e+02
7.2491e+02,2.2437e+02
7.2564e+02,2.2709e+02
7.2638e+02,2.2980e+02
7.2711e+02,2.3251e+02
7.2785e+02,2.3523e+02
7.2858e+02,2.3794e+02
7.2931e+02,2.4065e+02
7.3005e+02,2.4337e+02
7.3078e+02,2.4608e+02
7.3152e+02,2.4879e+02
7.3218e+02,2.5151e+02
7.3277e+02,2.5422e+02
7.3337e+02,2.5693e+02
7.3397e+02,2.5965e+02
7.3417e+02,2.6057e+02
7.3457e+02,2.6236e+02
7.3516e+02,2.6508e+02
7.3577e+02,2.6779e+02
7.3641e+02,2.7050e+02
7.3704e+02,2.7322e+02
7.3768e+02,2.7593e+02
7.3831e+02,2.7864e+02
7.3895e+02,2.8136e+02
7.3959e+02,2.8407e+02
7.4023e+02,2.8678e+02
7.4087e+02,2.8950e+02
7.4151e+02,2.9221e+02
7.4215e+02,2.9492e+02
7.4279e+02,2.9764e+02
7.4342e+02,3.0035e+02
7.4402e+02,3.0307e+02
7.4462e+02,3.0578e+02
7.4521e+02,3.0849e+02
7.4581e+02,3.1121e+02
7.4641e+02,3.1392e+02
7.4701e+02,3.1663e+02
7.4760e+02,3.1935e+02
7.4774e+02,3.1996e+02
7.4820e+02,3.2206e+02
7.4879e+02,3.2477e+02
7.4933e+02,3.2749e+02
7.4983e+02,3.3020e+02
7.5034e+02,3.3291e+02
7.5084e+02,3.3563e+02
7.5134e+02,3.3834e+02
7.5185e+02,3.4106e+02
7.5235e+02,3.4377e+02
7.5285e+02,3.4648e+02
7.5336e+02,3.4920e+02
7.5392e+02,3.5191e+02
7.5450e+02,3.5462e+02
7.5508e+02,3.5734e+02
7.5566e+02,3.6005e+02
7.5624e+02,3.6276e+02
7.5682e+02,3.6548e+02
7.5740e+02,3.6819e+02
7.5799e+02,3.7090e+02
7.5857e+02,3.7362e+02
7.5914e+02,3.7633e+02
7.5972e+02,3.7905e+02
7.6027e+02,3.8176e+02
7.6079e+02,3.8447e+02
7.6130e+02,3.8719e+02
7.6131e+02,3.8719e+02
7.6182e+02,3.8990e+02
7.6234e+02,3.9261e+02
7.6286e+02,3.9533e+02
7.6337e+02,3.9804e+02
