

# Contour value=12.00 
mST_GeV,deltaM_GeV
7.7191e+02,3.6472e+02
7.7200e+02,3.6668e+02
7.7208e+02,3.6864e+02
7.7217e+02,3.7060e+02
7.7226e+02,3.7256e+02
7.7235e+02,3.7452e+02
7.7236e+02,3.7478e+02
7.7244e+02,3.7648e+02
7.7253e+02,3.7844e+02
7.7262e+02,3.8040e+02
7.7271e+02,3.8236e+02
7.7279e+02,3.8432e+02
7.7288e+02,3.8628e+02
7.7297e+02,3.8824e+02
7.7306e+02,3.9020e+02
7.7315e+02,3.9216e+02
7.7324e+02,3.9412e+02
7.7333e+02,3.9608e+02
7.7341e+02,3.9804e+02
7.7350e+02,4.0000e+02


# Contour value=15.00 
mST_GeV,deltaM_GeV
1.1715e+03,1.0000e+01
1.1731e+03,1.1960e+01
1.1741e+03,1.3920e+01
1.1744e+03,1.4605e+01
1.1750e+03,1.5879e+01
1.1759e+03,1.7839e+01
1.1768e+03,1.9799e+01
1.1777e+03,2.1759e+01
1.1784e+03,2.3274e+01
1.1786e+03,2.3719e+01
1.1791e+03,2.5678e+01
1.1790e+03,2.7638e+01
1.1789e+03,2.9598e+01
1.1787e+03,3.1558e+01
1.1786e+03,3.3518e+01
1.1784e+03,3.5477e+01
1.1784e+03,3.5784e+01
1.1783e+03,3.7437e+01
1.1781e+03,3.9397e+01
1.1780e+03,4.1357e+01
1.1778e+03,4.3317e+01
1.1777e+03,4.5276e+01
1.1775e+03,4.7236e+01
1.1765e+03,4.9196e+01
1.1762e+03,5.1156e+01
1.1765e+03,5.3116e+01
1.1768e+03,5.5075e+01
1.1771e+03,5.7035e+01
1.1775e+03,5.8995e+01
1.1778e+03,6.0955e+01
1.1781e+03,6.2915e+01
1.1784e+03,6.4874e+01
1.1784e+03,6.4957e+01
1.1787e+03,6.6834e+01
1.1790e+03,6.8794e+01
1.1793e+03,7.0754e+01
1.1796e+03,7.2714e+01
1.1799e+03,7.4673e+01
1.1802e+03,7.6633e+01
1.1805e+03,7.8593e+01
1.1808e+03,8.0553e+01
1.1811e+03,8.2513e+01
1.1815e+03,8.4472e+01
1.1818e+03,8.6432e+01
1.1821e+03,8.8392e+01
1.1824e+03,9.0352e+01
1.1824e+03,9.0553e+01
1.1827e+03,9.2312e+01
1.1830e+03,9.4271e+01
1.1834e+03,9.6231e+01
1.1842e+03,9.8191e+01
1.1850e+03,1.0015e+02
1.1861e+03,1.0211e+02
1.1864e+03,1.0277e+02
1.1871e+03,1.0407e+02
1.1882e+03,1.0603e+02
1.1892e+03,1.0799e+02
1.1902e+03,1.0995e+02
1.1905e+03,1.1034e+02
1.1913e+03,1.1191e+02
1.1923e+03,1.1387e+02
1.1934e+03,1.1583e+02
1.1944e+03,1.1779e+02
1.1945e+03,1.1791e+02
1.1954e+03,1.1975e+02
1.1965e+03,1.2171e+02
1.1975e+03,1.2367e+02
1.1985e+03,1.2549e+02
1.1985e+03,1.2563e+02
1.1992e+03,1.2759e+02
1.1998e+03,1.2955e+02
1.2005e+03,1.3151e+02
1.2011e+03,1.3347e+02
1.2018e+03,1.3543e+02
1.2024e+03,1.3739e+02
1.2025e+03,1.3764e+02
1.2030e+03,1.3935e+02
1.2035e+03,1.4131e+02
1.2040e+03,1.4327e+02
1.2046e+03,1.4523e+02
1.2051e+03,1.4719e+02
1.2056e+03,1.4915e+02
1.2061e+03,1.5111e+02
1.2065e+03,1.5255e+02
1.2067e+03,1.5307e+02
1.2072e+03,1.5503e+02
1.2077e+03,1.5698e+02
1.2083e+03,1.5894e+02
1.2088e+03,1.6090e+02
1.2093e+03,1.6286e+02
1.2098e+03,1.6482e+02
1.2104e+03,1.6678e+02
1.2106e+03,1.6746e+02
1.2109e+03,1.6874e+02
1.2114e+03,1.7070e+02
1.2120e+03,1.7266e+02
1.2125e+03,1.7462e+02
1.2130e+03,1.7658e+02
1.2135e+03,1.7854e+02
1.2141e+03,1.8050e+02
1.2146e+03,1.8236e+02
1.2146e+03,1.8246e+02
1.2151e+03,1.8442e+02
1.2157e+03,1.8638e+02
1.2162e+03,1.8834e+02
1.2167e+03,1.9030e+02
1.2172e+03,1.9226e+02
1.2177e+03,1.9422e+02
1.2178e+03,1.9618e+02
1.2179e+03,1.9814e+02
1.2180e+03,2.0010e+02
1.2183e+03,2.0206e+02
1.2186e+03,2.0377e+02
1.2186e+03,2.0402e+02
1.2190e+03,2.0598e+02
1.2192e+03,2.0794e+02
1.2193e+03,2.0990e+02
1.2195e+03,2.1186e+02
1.2197e+03,2.1382e+02
1.2198e+03,2.1578e+02
1.2200e+03,2.1774e+02
1.2201e+03,2.1970e+02
1.2203e+03,2.2166e+02
1.2205e+03,2.2362e+02
1.2206e+03,2.2558e+02
1.2208e+03,2.2754e+02
1.2210e+03,2.2950e+02
1.2211e+03,2.3146e+02
1.2213e+03,2.3342e+02
1.2215e+03,2.3538e+02
1.2216e+03,2.3734e+02
1.2218e+03,2.3930e+02
1.2219e+03,2.4126e+02
1.2221e+03,2.4322e+02
1.2223e+03,2.4518e+02
1.2224e+03,2.4714e+02
1.2226e+03,2.4910e+02
1.2226e+03,2.4923e+02
1.2228e+03,2.5106e+02
1.2229e+03,2.5302e+02
1.2231e+03,2.5497e+02
1.2233e+03,2.5693e+02
1.2234e+03,2.5889e+02
1.2236e+03,2.6085e+02
1.2237e+03,2.6281e+02
1.2239e+03,2.6477e+02
1.2241e+03,2.6673e+02
1.2242e+03,2.6869e+02
1.2244e+03,2.7065e+02
1.2246e+03,2.7261e+02
1.2247e+03,2.7457e+02
1.2249e+03,2.7653e+02
1.2251e+03,2.7849e+02
1.2252e+03,2.8045e+02
1.2254e+03,2.8241e+02
1.2255e+03,2.8437e+02
1.2257e+03,2.8633e+02
1.2259e+03,2.8829e+02
1.2260e+03,2.9025e+02
1.2262e+03,2.9221e+02
1.2264e+03,2.9417e+02
1.2265e+03,2.9613e+02
1.2266e+03,2.9743e+02
1.2267e+03,2.9809e+02
1.2269e+03,3.0005e+02
1.2274e+03,3.0201e+02
1.2280e+03,3.0397e+02
1.2285e+03,3.0593e+02
1.2291e+03,3.0789e+02
1.2297e+03,3.0985e+02
1.2302e+03,3.1181e+02
1.2307e+03,3.1328e+02
1.2308e+03,3.1377e+02
1.2314e+03,3.1573e+02
1.2319e+03,3.1769e+02
1.2325e+03,3.1965e+02
1.2330e+03,3.2161e+02
1.2336e+03,3.2357e+02
1.2342e+03,3.2553e+02
1.2347e+03,3.2730e+02
1.2347e+03,3.2749e+02
1.2353e+03,3.2945e+02
1.2359e+03,3.3141e+02
1.2364e+03,3.3337e+02
1.2370e+03,3.3533e+02
1.2375e+03,3.3729e+02
1.2381e+03,3.3925e+02
1.2387e+03,3.4121e+02
1.2387e+03,3.4132e+02
1.2392e+03,3.4317e+02
1.2398e+03,3.4513e+02
1.2403e+03,3.4709e+02
1.2409e+03,3.4905e+02
1.2415e+03,3.5101e+02
1.2420e+03,3.5296e+02
1.2426e+03,3.5492e+02
1.2427e+03,3.5535e+02
1.2432e+03,3.5688e+02
1.2437e+03,3.5884e+02
1.2443e+03,3.6080e+02
1.2448e+03,3.6276e+02
1.2454e+03,3.6472e+02
1.2460e+03,3.6668e+02
1.2465e+03,3.6864e+02
1.2467e+03,3.6937e+02
1.2471e+03,3.7060e+02
1.2476e+03,3.7256e+02
1.2482e+03,3.7452e+02
1.2488e+03,3.7648e+02
1.2493e+03,3.7844e+02
1.2499e+03,3.8040e+02
1.2505e+03,3.8236e+02
1.2508e+03,3.8376e+02
1.2509e+03,3.8432e+02
1.2512e+03,3.8628e+02
1.2515e+03,3.8824e+02
1.2518e+03,3.9020e+02
1.2521e+03,3.9216e+02
1.2525e+03,3.9412e+02
1.2528e+03,3.9608e+02
1.2531e+03,3.9804e+02
1.2534e+03,4.0000e+02


# Contour value=20.00 
mST_GeV,deltaM_GeV
1.4090e+03,1.0000e+01
1.4078e+03,1.1960e+01
1.4075e+03,1.2346e+01
1.4065e+03,1.3920e+01
1.4053e+03,1.5879e+01
1.4040e+03,1.7839e+01
1.4035e+03,1.8600e+01
1.4027e+03,1.9799e+01
1.4029e+03,2.1759e+01
1.4033e+03,2.3719e+01
1.4035e+03,2.5338e+01
1.4036e+03,2.5678e+01
1.4035e+03,2.6949e+01
1.4035e+03,2.7638e+01
1.4034e+03,2.9598e+01
1.4034e+03,3.1558e+01
1.4033e+03,3.3518e+01
1.4033e+03,3.5477e+01
1.4032e+03,3.7437e+01
1.4032e+03,3.9397e+01
1.4031e+03,4.1357e+01
1.4031e+03,4.3317e+01
1.4031e+03,4.5276e+01
1.4030e+03,4.7236e+01
1.4030e+03,4.9196e+01
1.4030e+03,5.1156e+01
1.4032e+03,5.3116e+01
1.4033e+03,5.5075e+01
1.4034e+03,5.7035e+01
1.4035e+03,5.8111e+01
1.4036e+03,5.8995e+01
1.4037e+03,6.0955e+01
1.4038e+03,6.2915e+01
1.4040e+03,6.4874e+01
1.4045e+03,6.6834e+01
1.4056e+03,6.8794e+01
1.4067e+03,7.0754e+01
1.4075e+03,7.2305e+01
1.4078e+03,7.2714e+01
1.4088e+03,7.4673e+01
1.4099e+03,7.6633e+01
1.4110e+03,7.8593e+01
1.4116e+03,7.9609e+01
1.4121e+03,8.0553e+01
1.4132e+03,8.2513e+01
1.4142e+03,8.4472e+01
1.4153e+03,8.6432e+01
1.4156e+03,8.6913e+01
1.4164e+03,8.8392e+01
1.4175e+03,9.0352e+01
1.4185e+03,9.2312e+01
1.4196e+03,9.4217e+01
1.4196e+03,9.4271e+01
1.4207e+03,9.6231e+01
1.4218e+03,9.8191e+01
1.4228e+03,1.0015e+02
1.4234e+03,1.0211e+02
1.4236e+03,1.0310e+02
1.4239e+03,1.0407e+02
1.4244e+03,1.0603e+02
1.4249e+03,1.0799e+02
1.4255e+03,1.0995e+02
1.4260e+03,1.1191e+02
1.4265e+03,1.1387e+02
1.4271e+03,1.1583e+02
1.4276e+03,1.1779e+02
1.4276e+03,1.1801e+02
1.4281e+03,1.1975e+02
1.4286e+03,1.2171e+02
1.4291e+03,1.2367e+02
1.4292e+03,1.2563e+02
1.4293e+03,1.2759e+02
1.4294e+03,1.2955e+02
1.4294e+03,1.3151e+02
1.4295e+03,1.3347e+02
1.4296e+03,1.3543e+02
1.4296e+03,1.3739e+02
1.4297e+03,1.3935e+02
1.4298e+03,1.4131e+02
1.4298e+03,1.4327e+02
1.4299e+03,1.4523e+02
1.4300e+03,1.4719e+02
1.4301e+03,1.4915e+02
1.4301e+03,1.5111e+02
1.4302e+03,1.5307e+02
1.4303e+03,1.5503e+02
1.4303e+03,1.5698e+02
1.4304e+03,1.5894e+02
1.4305e+03,1.6090e+02
1.4305e+03,1.6286e+02
1.4306e+03,1.6482e+02
1.4307e+03,1.6678e+02
1.4307e+03,1.6874e+02
1.4308e+03,1.7070e+02
1.4309e+03,1.7266e+02
1.4310e+03,1.7462e+02
1.4310e+03,1.7658e+02
1.4311e+03,1.7854e+02
1.4312e+03,1.8050e+02
1.4312e+03,1.8246e+02
1.4313e+03,1.8442e+02
1.4314e+03,1.8638e+02
1.4314e+03,1.8834e+02
1.4315e+03,1.9030e+02
1.4316e+03,1.9226e+02
1.4317e+03,1.9422e+02
1.4317e+03,1.9440e+02
1.4317e+03,1.9618e+02
1.4318e+03,1.9814e+02
1.4319e+03,2.0010e+02
1.4322e+03,2.0206e+02
1.4325e+03,2.0402e+02
1.4329e+03,2.0598e+02
1.4332e+03,2.0794e+02
1.4336e+03,2.0990e+02
1.4339e+03,2.1186e+02
1.4342e+03,2.1382e+02
1.4346e+03,2.1578e+02
1.4349e+03,2.1774e+02
1.4352e+03,2.1970e+02
1.4356e+03,2.2166e+02
1.4357e+03,2.2223e+02
1.4359e+03,2.2362e+02
1.4363e+03,2.2558e+02
1.4366e+03,2.2754e+02
1.4369e+03,2.2950e+02
1.4373e+03,2.3146e+02
1.4376e+03,2.3342e+02
1.4379e+03,2.3538e+02
1.4383e+03,2.3734e+02
1.4386e+03,2.3930e+02
1.4389e+03,2.4126e+02
1.4393e+03,2.4322e+02
1.4396e+03,2.4518e+02
1.4397e+03,2.4562e+02
1.4400e+03,2.4714e+02
1.4403e+03,2.4910e+02
1.4406e+03,2.5106e+02
1.4410e+03,2.5302e+02
1.4413e+03,2.5497e+02
1.4416e+03,2.5693e+02
1.4420e+03,2.5889e+02
1.4423e+03,2.6085e+02
1.4427e+03,2.6281e+02
1.4430e+03,2.6477e+02
1.4433e+03,2.6673e+02
1.4437e+03,2.6869e+02
1.4437e+03,2.6900e+02
1.4440e+03,2.7065e+02
1.4443e+03,2.7261e+02
1.4447e+03,2.7457e+02
1.4450e+03,2.7653e+02
1.4454e+03,2.7849e+02
1.4457e+03,2.8045e+02
1.4460e+03,2.8241e+02
1.4461e+03,2.8437e+02
1.4463e+03,2.8633e+02
1.4465e+03,2.8829e+02
1.4466e+03,2.9025e+02
1.4468e+03,2.9221e+02
1.4470e+03,2.9417e+02
1.4471e+03,2.9613e+02
1.4473e+03,2.9809e+02
1.4475e+03,3.0005e+02
1.4477e+03,3.0100e+02
1.4480e+03,3.0201e+02
1.4486e+03,3.0397e+02
1.4492e+03,3.0593e+02
1.4497e+03,3.0789e+02
1.4503e+03,3.0985e+02
1.4508e+03,3.1181e+02
1.4514e+03,3.1377e+02
1.4518e+03,3.1502e+02
1.4520e+03,3.1573e+02
1.4523e+03,3.1769e+02
1.4526e+03,3.1965e+02
1.4529e+03,3.2161e+02
1.4533e+03,3.2357e+02
1.4536e+03,3.2553e+02
1.4539e+03,3.2749e+02
1.4542e+03,3.2945e+02
1.4545e+03,3.3141e+02
1.4548e+03,3.3337e+02
1.4552e+03,3.3533e+02
1.4555e+03,3.3729e+02
1.4558e+03,3.3911e+02
1.4558e+03,3.3925e+02
1.4561e+03,3.4121e+02
