ccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccc
c      written by the UFO converter
ccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccc

sminputs 1 aEWM1

sminputs 2 mdl_Gf

sminputs 3 aS

yukawa 5 mdl_ymb

yukawa 6 mdl_ymt

yukawa 15 mdl_ymtau

frblock 1 mdl_muR

frblock 2 mdl_deltaUV

frblock 3 mdl_yDM

frblock 4 mdl_C00eff

frblock 5 mdl_C1

frblock 6 mdl_C11

frblock 7 mdl_C12

mass 23 mdl_MZ

mass 15 mdl_MTA

mass 6 mdl_MT

mass 5 mdl_MB

mass 25 mdl_MH

mass 5000012 mdl_mChi

mass 5000002 mdl_mST

decay 23 mdl_WZ

decay 24 mdl_WW

decay 6 mdl_WT

decay 25 mdl_WH

decay 5000012 mdl_wChi

decay 5000002 mdl_wST
