

# Contour for yDM=15 
mST_GeV,mChi_GeV,yDM
8.4652e+02,4.4652e+02,1.5000e+01
8.4614e+02,4.4810e+02,1.5000e+01
8.4576e+02,4.4968e+02,1.5000e+01
8.4538e+02,4.5126e+02,1.5000e+01
8.4500e+02,4.5283e+02,1.5000e+01
8.4472e+02,4.5396e+02,1.5000e+01
8.4462e+02,4.5441e+02,1.5000e+01
8.4424e+02,4.5599e+02,1.5000e+01
8.4386e+02,4.5757e+02,1.5000e+01
8.4348e+02,4.5915e+02,1.5000e+01
8.4309e+02,4.6073e+02,1.5000e+01
8.4271e+02,4.6231e+02,1.5000e+01
8.4239e+02,4.6395e+02,1.5000e+01
8.4214e+02,4.6566e+02,1.5000e+01
8.4192e+02,4.6739e+02,1.5000e+01
8.4169e+02,4.6913e+02,1.5000e+01
8.4147e+02,4.7087e+02,1.5000e+01
8.4125e+02,4.7260e+02,1.5000e+01
8.4102e+02,4.7434e+02,1.5000e+01
8.4080e+02,4.7608e+02,1.5000e+01
8.4070e+02,4.7683e+02,1.5000e+01
8.4058e+02,4.7781e+02,1.5000e+01
8.4035e+02,4.7955e+02,1.5000e+01
8.4013e+02,4.8129e+02,1.5000e+01
8.3991e+02,4.8302e+02,1.5000e+01
8.3968e+02,4.8476e+02,1.5000e+01
8.3946e+02,4.8650e+02,1.5000e+01
8.3924e+02,4.8823e+02,1.5000e+01
8.3901e+02,4.8997e+02,1.5000e+01
8.3879e+02,4.9171e+02,1.5000e+01
8.3857e+02,4.9344e+02,1.5000e+01
8.3835e+02,4.9518e+02,1.5000e+01
8.3812e+02,4.9692e+02,1.5000e+01
8.3790e+02,4.9865e+02,1.5000e+01
8.3768e+02,5.0039e+02,1.5000e+01
8.3745e+02,5.0213e+02,1.5000e+01
8.3723e+02,5.0386e+02,1.5000e+01
8.3701e+02,5.0560e+02,1.5000e+01
8.3678e+02,5.0734e+02,1.5000e+01
8.3668e+02,5.0810e+02,1.5000e+01
8.3656e+02,5.0907e+02,1.5000e+01
8.3634e+02,5.1081e+02,1.5000e+01
8.3611e+02,5.1254e+02,1.5000e+01
8.3589e+02,5.1428e+02,1.5000e+01
8.3567e+02,5.1602e+02,1.5000e+01
8.3544e+02,5.1775e+02,1.5000e+01
8.3522e+02,5.1949e+02,1.5000e+01
8.3500e+02,5.2123e+02,1.5000e+01
8.3477e+02,5.2296e+02,1.5000e+01
8.3455e+02,5.2470e+02,1.5000e+01
8.3433e+02,5.2644e+02,1.5000e+01
8.3410e+02,5.2817e+02,1.5000e+01
8.3388e+02,5.2991e+02,1.5000e+01
8.3366e+02,5.3165e+02,1.5000e+01
8.3343e+02,5.3338e+02,1.5000e+01
8.3302e+02,5.3493e+02,1.5000e+01
8.3266e+02,5.3623e+02,1.5000e+01
8.3260e+02,5.3647e+02,1.5000e+01
8.3218e+02,5.3801e+02,1.5000e+01
8.3176e+02,5.3955e+02,1.5000e+01
8.3134e+02,5.4109e+02,1.5000e+01
