

# Contour for yDM=12 
mST_GeV,mChi_GeV,yDM
1.4030e+03,1.3519e+03,2.0000e+01
1.4030e+03,1.3538e+03,2.0000e+01
1.4030e+03,1.3558e+03,2.0000e+01
1.4031e+03,1.3578e+03,2.0000e+01
1.4031e+03,1.3598e+03,2.0000e+01
1.4031e+03,1.3618e+03,2.0000e+01
1.4032e+03,1.3638e+03,2.0000e+01
1.4032e+03,1.3658e+03,2.0000e+01
1.4033e+03,1.3678e+03,2.0000e+01
1.4033e+03,1.3698e+03,2.0000e+01
1.4034e+03,1.3718e+03,2.0000e+01
1.4034e+03,1.3738e+03,2.0000e+01
1.4035e+03,1.3759e+03,2.0000e+01
1.4035e+03,1.3766e+03,2.0000e+01
1.4036e+03,1.3779e+03,2.0000e+01
1.4035e+03,1.3782e+03,2.0000e+01
1.4033e+03,1.3796e+03,2.0000e+01
1.4029e+03,1.3811e+03,2.0000e+01
1.4027e+03,1.3829e+03,2.0000e+01
1.4035e+03,1.3849e+03,2.0000e+01
1.4040e+03,1.3862e+03,2.0000e+01
1.4053e+03,1.3894e+03,2.0000e+01
1.4065e+03,1.3926e+03,2.0000e+01
1.4075e+03,1.3952e+03,2.0000e+01
1.4078e+03,1.3958e+03,2.0000e+01
1.4090e+03,1.3990e+03,2.0000e+01
