

# Contour for yDM=12 
mST_GeV,mChi_GeV,yDM
7.5304e+02,5.5098e+02,1.2000e+01
7.5279e+02,5.5269e+02,1.2000e+01
7.5310e+02,5.5496e+02,1.2000e+01
7.5344e+02,5.5726e+02,1.2000e+01
7.5359e+02,5.5829e+02,1.2000e+01
7.6082e+02,6.0689e+02,1.2000e+01
7.6098e+02,6.0791e+02,1.2000e+01
7.6132e+02,6.1021e+02,1.2000e+01
7.6166e+02,6.1252e+02,1.2000e+01
7.6200e+02,6.1482e+02,1.2000e+01
7.6235e+02,6.1712e+02,1.2000e+01
7.6269e+02,6.1942e+02,1.2000e+01
7.6303e+02,6.2173e+02,1.2000e+01
7.6335e+02,6.2401e+02,1.2000e+01
7.6361e+02,6.2622e+02,1.2000e+01
7.6387e+02,6.2844e+02,1.2000e+01
7.6362e+02,6.3015e+02,1.2000e+01
7.6336e+02,6.3186e+02,1.2000e+01
7.6311e+02,6.3356e+02,1.2000e+01
7.6286e+02,6.3527e+02,1.2000e+01
7.6261e+02,6.3698e+02,1.2000e+01
7.6235e+02,6.3868e+02,1.2000e+01
7.6210e+02,6.4039e+02,1.2000e+01
7.6185e+02,6.4210e+02,1.2000e+01
7.6159e+02,6.4380e+02,1.2000e+01
7.6134e+02,6.4551e+02,1.2000e+01
7.6109e+02,6.4722e+02,1.2000e+01
7.6083e+02,6.4892e+02,1.2000e+01
7.6058e+02,6.5063e+02,1.2000e+01
7.6033e+02,6.5234e+02,1.2000e+01
7.6030e+02,6.5251e+02,1.2000e+01
7.6007e+02,6.5404e+02,1.2000e+01
7.5982e+02,6.5575e+02,1.2000e+01
7.5957e+02,6.5746e+02,1.2000e+01
7.5931e+02,6.5916e+02,1.2000e+01
7.5782e+02,6.5962e+02,1.2000e+01
7.5628e+02,6.5997e+02,1.2000e+01
7.5621e+02,6.5998e+02,1.2000e+01
7.5461e+02,6.6034e+02,1.2000e+01
7.5301e+02,6.6070e+02,1.2000e+01
7.5226e+02,6.6086e+02,1.2000e+01
7.5141e+02,6.6105e+02,1.2000e+01
7.4980e+02,6.6141e+02,1.2000e+01
7.4824e+02,6.6176e+02,1.2000e+01
7.4820e+02,6.6177e+02,1.2000e+01
7.4660e+02,6.6213e+02,1.2000e+01
7.4500e+02,6.6249e+02,1.2000e+01
