# SM parameters:
#  g1 = 3.58e-01, g2 = 6.48e-01, g3 = 1.06e+00, yt = 9.89e-01 , yb = 2.70e-02, yta = 1.02e-02
# UV parameters:
#  mST = 1000.00, mChi = 900.00
# The total value for the coefficient is given by C0 + yDM^2*C2 + yDM^4*C4, where yDM is the BSM coupling
Coefficient,Indices,C0 (1/GeV^2),C2 (1/GeV^2),C4 (1/GeV^2)
cdd,(1 1 1 1),-2.263e-11,0.000e+00,0.000e+00
cdd,(1 1 2 2),1.093e-11,0.000e+00,0.000e+00
cdd,(1 1 3 3),1.093e-11,0.000e+00,0.000e+00
cdd,(1 2 2 1),-3.356e-11,0.000e+00,0.000e+00
cdd,(1 3 3 1),-3.356e-11,0.000e+00,0.000e+00
cdd,(2 1 1 2),-3.356e-11,0.000e+00,0.000e+00
cdd,(2 2 1 1),1.093e-11,0.000e+00,0.000e+00
cdd,(2 2 2 2),-2.263e-11,0.000e+00,0.000e+00
cdd,(2 2 3 3),1.093e-11,0.000e+00,0.000e+00
cdd,(2 3 3 2),-3.356e-11,0.000e+00,0.000e+00
cdd,(3 1 1 3),-3.356e-11,0.000e+00,0.000e+00
cdd,(3 2 2 3),-3.356e-11,0.000e+00,0.000e+00
cdd,(3 3 1 1),1.093e-11,0.000e+00,0.000e+00
cdd,(3 3 2 2),1.093e-11,0.000e+00,0.000e+00
cdd,(3 3 3 3),-2.263e-11,0.000e+00,0.000e+00
ced,(1 1 1 1),-1.542e-12,0.000e+00,0.000e+00
ced,(1 1 2 2),-1.542e-12,0.000e+00,0.000e+00
ced,(1 1 3 3),-1.542e-12,0.000e+00,0.000e+00
ced,(2 2 1 1),-1.542e-12,0.000e+00,0.000e+00
ced,(2 2 2 2),-1.542e-12,0.000e+00,0.000e+00
ced,(2 2 3 3),-1.542e-12,0.000e+00,0.000e+00
ced,(3 3 1 1),-1.542e-12,0.000e+00,0.000e+00
ced,(3 3 2 2),-1.542e-12,0.000e+00,0.000e+00
ced,(3 3 3 3),-1.542e-12,0.000e+00,0.000e+00
cee,(1 1 1 1),-2.313e-12,0.000e+00,0.000e+00
cee,(1 1 2 2),-2.313e-12,0.000e+00,0.000e+00
cee,(1 1 3 3),-2.313e-12,0.000e+00,0.000e+00
cee,(2 2 1 1),-2.313e-12,0.000e+00,0.000e+00
cee,(2 2 2 2),-2.313e-12,0.000e+00,0.000e+00
cee,(2 2 3 3),-2.313e-12,0.000e+00,0.000e+00
cee,(3 3 1 1),-2.313e-12,0.000e+00,0.000e+00
cee,(3 3 2 2),-2.313e-12,0.000e+00,0.000e+00
cee,(3 3 3 3),-2.313e-12,0.000e+00,0.000e+00
ceu,(1 1 1 1),3.085e-12,0.000e+00,0.000e+00
ceu,(1 1 2 2),3.085e-12,0.000e+00,0.000e+00
ceu,(1 1 3 3),3.085e-12,-2.347e-11,0.000e+00
ceu,(2 2 1 1),3.085e-12,0.000e+00,0.000e+00
ceu,(2 2 2 2),3.085e-12,0.000e+00,0.000e+00
ceu,(2 2 3 3),3.085e-12,-2.347e-11,0.000e+00
ceu,(3 3 1 1),3.085e-12,0.000e+00,0.000e+00
ceu,(3 3 2 2),3.085e-12,0.000e+00,0.000e+00
ceu,(3 3 3 3),3.085e-12,-2.347e-11,0.000e+00
cG,(),2.107e-11,0.000e+00,0.000e+00
cHBox,(),-5.783e-13,0.000e+00,0.000e+00
cHd,(1 1),7.711e-13,0.000e+00,0.000e+00
cHd,(2 2),7.711e-13,0.000e+00,0.000e+00
cHd,(3 3),7.711e-13,0.000e+00,0.000e+00
cHD,(),-2.313e-12,0.000e+00,0.000e+00
cHe,(1 1),2.313e-12,0.000e+00,0.000e+00
