# SM parameters:
#  g1 = 3.58e-01, g2 = 6.48e-01, g3 = 1.28e+00, yt = 9.89e-01 , yb = 2.70e-02, yta = 1.02e-02
# UV parameters:
#  mST = 500.00, mChi = 400.00
# The total value for the coefficient is given by C0 + yDM^2*C2 + yDM^4*C4, where yDM is the BSM coupling
Coefficient,Indices,C0 (1/GeV^2),C2 (1/GeV^2),C4 (1/GeV^2)
clu,(3 3 1 1),6.170e-12,0.000e+00,0.000e+00
clu,(3 3 2 2),6.170e-12,0.000e+00,0.000e+00
clu,(3 3 3 3),6.170e-12,-4.882e-11,0.000e+00
cqd1,(1 1 1 1),1.028e-12,0.000e+00,0.000e+00
cqd1,(1 1 2 2),1.028e-12,0.000e+00,0.000e+00
cqd1,(1 1 3 3),1.028e-12,0.000e+00,0.000e+00
cqd1,(2 2 1 1),1.028e-12,0.000e+00,0.000e+00
cqd1,(2 2 2 2),1.028e-12,0.000e+00,0.000e+00
cqd1,(2 2 3 3),1.028e-12,0.000e+00,0.000e+00
cqd1,(3 3 1 1),1.028e-12,0.000e+00,0.000e+00
cqd1,(3 3 2 2),1.028e-12,0.000e+00,0.000e+00
cqd1,(3 3 3 3),1.028e-12,0.000e+00,0.000e+00
cqd8,(1 1 1 1),-1.127e-09,0.000e+00,0.000e+00
cqd8,(1 1 2 2),-1.127e-09,0.000e+00,0.000e+00
cqd8,(1 1 3 3),-1.127e-09,0.000e+00,0.000e+00
cqd8,(2 2 1 1),-1.127e-09,0.000e+00,0.000e+00
cqd8,(2 2 2 2),-1.127e-09,0.000e+00,0.000e+00
cqd8,(2 2 3 3),-1.127e-09,0.000e+00,0.000e+00
cqd8,(3 3 1 1),-1.127e-09,0.000e+00,0.000e+00
cqd8,(3 3 2 2),-1.127e-09,0.000e+00,0.000e+00
cqd8,(3 3 3 3),-1.127e-09,0.000e+00,0.000e+00
cqe,(1 1 1 1),3.085e-12,0.000e+00,0.000e+00
cqe,(1 1 2 2),3.085e-12,0.000e+00,0.000e+00
cqe,(1 1 3 3),3.085e-12,0.000e+00,0.000e+00
cqe,(2 2 1 1),3.085e-12,0.000e+00,0.000e+00
cqe,(2 2 2 2),3.085e-12,0.000e+00,0.000e+00
cqe,(2 2 3 3),3.085e-12,0.000e+00,0.000e+00
cqe,(3 3 1 1),3.085e-12,0.000e+00,0.000e+00
cqe,(3 3 2 2),3.085e-12,0.000e+00,0.000e+00
cqe,(3 3 3 3),3.085e-12,0.000e+00,0.000e+00
cqq1,(1 1 1 1),-4.720e-11,0.000e+00,0.000e+00
cqq1,(1 1 2 2),9.363e-11,0.000e+00,0.000e+00
cqq1,(1 1 3 3),9.363e-11,0.000e+00,0.000e+00
cqq1,(1 2 2 1),-1.408e-10,0.000e+00,0.000e+00
cqq1,(1 3 3 1),-1.408e-10,0.000e+00,0.000e+00
