#: table_doi: 10.17182/hepdata.106115.v2/t51
#: name: 2D exclusion contour, fermion portal, Median Expected
#: description: Median Expected exclusion contour in the $m_{med}$-$m_{\chi}$ plane in the fermion portal model.
#: data_file: 2d_exclusion_contour,_fermion_portal,_median_expected.yaml
#: keyword reactions: P P --> INVISIBLE JET | P P --> INVISIBLE JET JET
#: keyword phrases: Dark matter | DM | DMsimp | Simplified model | T-channel | S3D-UR
#: keyword observables: CLS | SIG
#: keyword cmenergies: 13000.0
#: Integrated luminosity [fb$^{-1}$],137
$m_{\Phi}$ [GeV],$m_{\chi}$ [GeV]
0.0,2.5253
22.727,25.253
25.253,27.778
47.98,50.505
50.505,53.03
73.232,75.758
75.758,78.283
98.485,101.01
101.01,103.54
123.74,126.26
126.26,128.79
148.99,151.52
151.52,154.04
174.24,176.77
176.77,179.29
199.49,202.02
202.02,204.55
224.75,227.27
227.27,229.8
250.0,252.53
252.53,255.05
275.25,277.78
277.78,280.3
300.58,303.03
303.03,305.48
325.96,328.28
328.28,330.6
351.35,353.54
353.54,355.72
376.76,378.79
378.79,380.82
402.17,404.04
404.04,405.92
427.58,429.29
429.29,431.01
452.98,454.55
454.55,456.11
478.37,479.8
479.8,481.22
503.76,505.05
505.05,506.34
529.15,530.3
530.3,531.45
554.55,555.56
555.56,556.57
579.95,580.81
580.81,581.67
605.36,606.06
606.06,606.77
630.77,631.31
631.31,631.85
656.2,656.57
656.57,656.93
681.64,681.82
681.82,682.0
707.07,703.7
732.32,690.24
752.48,681.82
757.58,679.93
782.83,673.09
808.08,666.78
833.33,660.73
851.76,656.57
858.59,655.02
883.84,649.62
909.09,644.52
934.34,639.62
959.6,634.75
976.97,631.31
984.85,629.71
1010.1,624.42
1035.4,618.97
1060.6,613.55
1085.9,608.29
1097.1,606.06
1111.1,603.19
1136.4,598.26
1161.6,593.52
1186.9,588.71
1212.1,582.47
1217.6,580.81
1237.4,574.49
1262.6,566.2
1287.9,557.75
1294.3,555.56
1313.1,548.75
1338.4,539.32
1361.5,530.3
1363.6,529.43
1388.9,518.54
1414.1,506.11
1416.1,505.05
1439.4,490.52
1456.4,479.8
1464.6,474.09
1489.9,456.56
1492.8,454.55
1515.2,437.39
1525.4,429.29
1540.4,416.34
1554.1,404.04
1565.7,392.77
1579.4,378.79
1590.9,366.34
1601.9,353.54
1616.2,334.36
1620.4,328.28
1636.8,303.03
1641.4,295.31
1651.5,277.78
1664.5,252.53
1666.7,247.57
1675.5,227.27
1684.6,202.02
1691.9,177.71
1692.2,176.77
1698.9,151.52
1705.0,126.26
1710.9,101.01
1716.8,75.758
1717.2,74.369
1723.1,50.505
1729.9,25.253
1737.4,0.0

