#: table_doi: 10.17182/hepdata.106115.v2/t3
#: name: Signal templates, ADD, Monojet
#: description: Differential signal yields for various signal hypotheses.
#: data_file: signal_templates,_add,_monojet.yaml
#: keyword observables: N
#: keyword reactions: P P --> INVISIBLE JET
#: keyword phrases: ADD | Extra dimensions | Graviton
#: keyword cmenergies: 13000.0
#: d,,,2
#: $M_{D}$ [TeV],,,10
#: Data-taking period,,,2016
Recoil (GeV),Recoil (GeV) LOW,Recoil (GeV) HIGH,Signal yield,Sample size +,Sample size -
355.0,340.0,370.0,58.596,1.7789,-1.7789
385.0,370.0,400.0,49.799,1.6503,-1.6503
415.0,400.0,430.0,40.87,1.4614,-1.4614
450.0,430.0,470.0,42.642,1.4778,-1.4778
490.0,470.0,510.0,31.936,1.2719,-1.2719
530.0,510.0,550.0,25.908,1.1353,-1.1353
570.0,550.0,590.0,19.823,1.0147,-1.0147
615.0,590.0,640.0,19.428,0.9821,-0.9821
665.0,640.0,690.0,15.127,0.85997,-0.85997
715.0,690.0,740.0,11.356,0.74008,-0.74008
765.0,740.0,790.0,8.6534,0.64875,-0.64875
815.0,790.0,840.0,6.7795,0.57437,-0.57437
870.0,840.0,900.0,5.2881,0.51039,-0.51039
930.0,900.0,960.0,4.7418,0.48113,-0.48113
990.0,960.0,1020.0,3.7624,0.43252,-0.43252
1055.0,1020.0,1090.0,2.8258,0.37257,-0.37257
1125.0,1090.0,1160.0,2.5453,0.35225,-0.35225
1205.0,1160.0,1250.0,2.7433,0.36735,-0.36735
1325.0,1250.0,1400.0,4.8074,0.48159,-0.48159

#: d,,,4
#: $M_{D}$ [TeV],,,3
#: Data-taking period,,,2016
Recoil (GeV),Recoil (GeV) LOW,Recoil (GeV) HIGH,Signal yield,Sample size +,Sample size -
265.0,250.0,280.0,13088.0,250.51,-250.51
295.0,280.0,310.0,9767.6,211.55,-211.55
325.0,310.0,340.0,7566.2,184.64,-184.64
355.0,340.0,370.0,6394.9,170.58,-170.58
385.0,370.0,400.0,5134.0,150.89,-150.89
415.0,400.0,430.0,4078.0,133.91,-133.91
450.0,430.0,470.0,4246.6,135.45,-135.45
490.0,470.0,510.0,3439.6,119.06,-119.06
530.0,510.0,550.0,2639.8,104.24,-104.24
570.0,550.0,590.0,2141.7,94.245,-94.245
615.0,590.0,640.0,2025.4,90.778,-90.778
665.0,640.0,690.0,1514.1,78.581,-78.581
715.0,690.0,740.0,1163.1,69.223,-69.223
765.0,740.0,790.0,902.38,60.99,-60.99
815.0,790.0,840.0,742.62,55.207,-55.207
870.0,840.0,900.0,644.97,51.521,-51.521
930.0,900.0,960.0,405.18,40.485,-40.485
990.0,960.0,1020.0,322.31,36.299,-36.299
1055.0,1020.0,1090.0,405.1,40.308,-40.308
1125.0,1090.0,1160.0,293.48,34.725,-34.725
1205.0,1160.0,1250.0,253.54,32.08,-32.08
1325.0,1250.0,1400.0,319.72,36.155,-36.155

#: d,,,5
#: $M_{D}$ [TeV],,,3
#: Data-taking period,,,2016
Recoil (GeV),Recoil (GeV) LOW,Recoil (GeV) HIGH,Signal yield,Sample size +,Sample size -
265.0,250.0,280.0,10421.0,208.1,-208.1
295.0,280.0,310.0,7982.5,184.53,-184.53
325.0,310.0,340.0,6381.1,154.06,-154.06
355.0,340.0,370.0,4855.9,135.33,-135.33
385.0,370.0,400.0,4139.4,121.68,-121.68
415.0,400.0,430.0,3136.5,104.4,-104.4
450.0,430.0,470.0,3499.6,113.01,-113.01
490.0,470.0,510.0,2740.6,100.64,-100.64
530.0,510.0,550.0,2092.7,82.816,-82.816
570.0,550.0,590.0,1733.0,73.84,-73.84
615.0,590.0,640.0,1636.8,71.769,-71.769
665.0,640.0,690.0,1221.9,61.093,-61.093
715.0,690.0,740.0,947.9,54.727,-54.727
765.0,740.0,790.0,811.73,50.885,-50.885
815.0,790.0,840.0,532.33,40.26,-40.26
870.0,840.0,900.0,543.34,40.67,-40.67
930.0,900.0,960.0,397.66,34.95,-34.95
990.0,960.0,1020.0,306.99,30.604,-30.604
1055.0,1020.0,1090.0,263.75,28.497,-28.497
1125.0,1090.0,1160.0,134.19,20.081,-20.081
1205.0,1160.0,1250.0,143.05,20.838,-20.838
1325.0,1250.0,1400.0,218.12,25.582,-25.582

#: d,,,6
#: $M_{D}$ [TeV],,,3
#: Data-taking period,,,2016
Recoil (GeV),Recoil (GeV) LOW,Recoil (GeV) HIGH,Signal yield,Sample size +,Sample size -
265.0,250.0,280.0,9284.1,197.99,-197.99
295.0,280.0,310.0,6948.4,160.91,-160.91
325.0,310.0,340.0,5354.6,134.1,-134.1
355.0,340.0,370.0,4400.7,130.73,-130.73
385.0,370.0,400.0,3394.7,107.33,-107.33
415.0,400.0,430.0,2735.3,92.428,-92.428
450.0,430.0,470.0,2853.9,95.694,-95.694
490.0,470.0,510.0,2201.4,78.723,-78.723
530.0,510.0,550.0,1742.4,69.069,-69.069
570.0,550.0,590.0,1394.5,61.628,-61.628
615.0,590.0,640.0,1293.6,58.514,-58.514
665.0,640.0,690.0,1024.9,51.76,-51.76
715.0,690.0,740.0,787.2,45.154,-45.154
765.0,740.0,790.0,598.88,39.465,-39.465
815.0,790.0,840.0,415.3,32.77,-32.77
870.0,840.0,900.0,473.6,35.088,-35.088
930.0,900.0,960.0,292.18,27.358,-27.358
990.0,960.0,1020.0,204.8,23.031,-23.031
1055.0,1020.0,1090.0,225.07,24.166,-24.166
1125.0,1090.0,1160.0,124.76,17.966,-17.966
1205.0,1160.0,1250.0,157.23,20.115,-20.115
1325.0,1250.0,1400.0,237.71,24.9,-24.9

#: d,,,3
#: $M_{D}$ [TeV],,,4
#: Data-taking period,,,2016
Recoil (GeV),Recoil (GeV) LOW,Recoil (GeV) HIGH,Signal yield,Sample size +,Sample size -
265.0,250.0,280.0,4684.0,89.942,-89.942
295.0,280.0,310.0,3531.4,77.693,-77.693
325.0,310.0,340.0,2727.9,67.769,-67.769
355.0,340.0,370.0,2317.5,62.625,-62.625
385.0,370.0,400.0,1902.0,56.27,-56.27
415.0,400.0,430.0,1486.9,49.526,-49.526
450.0,430.0,470.0,1457.0,49.635,-49.635
490.0,470.0,510.0,1337.2,46.544,-46.544
530.0,510.0,550.0,1006.5,40.334,-40.334
570.0,550.0,590.0,815.18,36.147,-36.147
615.0,590.0,640.0,764.47,35.259,-35.259
665.0,640.0,690.0,602.39,30.913,-30.913
715.0,690.0,740.0,445.96,26.561,-26.561
765.0,740.0,790.0,387.07,24.978,-24.978
815.0,790.0,840.0,282.64,21.346,-21.346
870.0,840.0,900.0,249.48,19.945,-19.945
930.0,900.0,960.0,218.51,18.642,-18.642
990.0,960.0,1020.0,146.89,15.154,-15.154
1055.0,1020.0,1090.0,158.24,15.855,-15.855
1125.0,1090.0,1160.0,89.983,12.033,-12.033
1205.0,1160.0,1250.0,102.62,12.779,-12.779
1325.0,1250.0,1400.0,242.26,19.783,-19.783

#: d,,,4
#: $M_{D}$ [TeV],,,4
#: Data-taking period,,,2016
