#: table_doi: 10.17182/hepdata.106115.v2/t14
#: name: Simplified likelihood: covariance matrix (Monojet)
#: description: Matrix of covariance coefficients between signal region bins. The coefficients are obtained from the background-only fit to the control regions, and serve as input to the simplified likelihood reinterpretation scheme.
#: data_file: simplified_likelihood:_covariance_matrix_(monojet).yaml
#: keyword cmenergies: 13000.0
First Bin,Second Bin,Covariance
monojet_2016_bin0,monojet_2016_bin0,12352763.4
monojet_2016_bin0,monojet_2016_bin1,6458394.867
monojet_2016_bin0,monojet_2016_bin2,2464750.837
monojet_2016_bin0,monojet_2016_bin3,1514431.404
monojet_2016_bin0,monojet_2016_bin4,898793.8461
monojet_2016_bin0,monojet_2016_bin5,437646.4144
monojet_2016_bin0,monojet_2016_bin6,377857.6261
monojet_2016_bin0,monojet_2016_bin7,216898.8756
monojet_2016_bin0,monojet_2016_bin8,100131.7426
monojet_2016_bin0,monojet_2016_bin9,75505.18217
monojet_2016_bin0,monojet_2016_bin10,52912.50268
monojet_2016_bin0,monojet_2016_bin11,33250.16046
monojet_2016_bin0,monojet_2016_bin12,17179.20302
monojet_2016_bin0,monojet_2016_bin13,12365.09557
monojet_2016_bin0,monojet_2016_bin14,6837.031881
monojet_2016_bin0,monojet_2016_bin15,7266.816132
monojet_2016_bin0,monojet_2016_bin16,3812.640002
monojet_2016_bin0,monojet_2016_bin17,4303.669912
monojet_2016_bin0,monojet_2016_bin18,1540.716589
monojet_2016_bin0,monojet_2016_bin19,827.5964166
monojet_2016_bin0,monojet_2016_bin20,1107.13207
monojet_2016_bin0,monojet_2016_bin21,904.9881262
monojet_2016_bin0,monojet_2017_bin0,220800.7392
monojet_2016_bin0,monojet_2017_bin1,90163.48212
monojet_2016_bin0,monojet_2017_bin2,39196.88759
monojet_2016_bin0,monojet_2017_bin3,23744.97141
monojet_2016_bin0,monojet_2017_bin4,17377.52317
monojet_2016_bin0,monojet_2017_bin5,9370.330135
monojet_2016_bin0,monojet_2017_bin6,2928.757998
monojet_2016_bin0,monojet_2017_bin7,4452.51128
monojet_2016_bin0,monojet_2017_bin8,-1713.496482
monojet_2016_bin0,monojet_2017_bin9,312.2226492
monojet_2016_bin0,monojet_2017_bin10,-55.25546233
monojet_2016_bin0,monojet_2017_bin11,1572.924736
monojet_2016_bin0,monojet_2017_bin12,554.1075651
monojet_2016_bin0,monojet_2017_bin13,1118.481593
monojet_2016_bin0,monojet_2017_bin14,-490.7103398
monojet_2016_bin0,monojet_2017_bin15,-341.114241
monojet_2016_bin0,monojet_2017_bin16,-44.77498695
monojet_2016_bin0,monojet_2017_bin17,340.8509019
monojet_2016_bin0,monojet_2017_bin18,-98.39530342
monojet_2016_bin0,monojet_2017_bin19,-110.1766936
monojet_2016_bin0,monojet_2017_bin20,271.0935343
monojet_2016_bin0,monojet_2017_bin21,143.5383758
monojet_2016_bin0,monojet_2018_bin0,439879.5384
monojet_2016_bin0,monojet_2018_bin1,212409.5503
monojet_2016_bin0,monojet_2018_bin2,140493.1883
monojet_2016_bin0,monojet_2018_bin3,71683.80747
monojet_2016_bin0,monojet_2018_bin4,25941.15478
monojet_2016_bin0,monojet_2018_bin5,22392.10864
monojet_2016_bin0,monojet_2018_bin6,13040.61433
monojet_2016_bin0,monojet_2018_bin7,23091.29594
monojet_2016_bin0,monojet_2018_bin8,13214.87186
monojet_2016_bin0,monojet_2018_bin9,5376.047223
monojet_2016_bin0,monojet_2018_bin10,3014.408717
monojet_2016_bin0,monojet_2018_bin11,3385.144538
monojet_2016_bin0,monojet_2018_bin12,515.3964082
monojet_2016_bin0,monojet_2018_bin13,1845.243786
monojet_2016_bin0,monojet_2018_bin14,-771.374651
monojet_2016_bin0,monojet_2018_bin15,854.9087742
monojet_2016_bin0,monojet_2018_bin16,42.18572303
monojet_2016_bin0,monojet_2018_bin17,1221.267656
monojet_2016_bin0,monojet_2018_bin18,-109.8043719
monojet_2016_bin0,monojet_2018_bin19,48.99872145
monojet_2016_bin0,monojet_2018_bin20,170.272321
monojet_2016_bin0,monojet_2018_bin21,117.5851365
monojet_2016_bin1,monojet_2016_bin0,6458394.867
monojet_2016_bin1,monojet_2016_bin1,3628011.061
monojet_2016_bin1,monojet_2016_bin2,1345050.487
monojet_2016_bin1,monojet_2016_bin3,835487.4572
monojet_2016_bin1,monojet_2016_bin4,492787.8894
monojet_2016_bin1,monojet_2016_bin5,242195.2283
monojet_2016_bin1,monojet_2016_bin6,208353.813
monojet_2016_bin1,monojet_2016_bin7,118037.7008
monojet_2016_bin1,monojet_2016_bin8,54183.29573
monojet_2016_bin1,monojet_2016_bin9,41388.68374
monojet_2016_bin1,monojet_2016_bin10,29046.50256
monojet_2016_bin1,monojet_2016_bin11,18213.67784
monojet_2016_bin1,monojet_2016_bin12,9486.543104
monojet_2016_bin1,monojet_2016_bin13,6853.968134
monojet_2016_bin1,monojet_2016_bin14,3631.35278
monojet_2016_bin1,monojet_2016_bin15,4004.9864
monojet_2016_bin1,monojet_2016_bin16,2035.636967
monojet_2016_bin1,monojet_2016_bin17,2361.107083
monojet_2016_bin1,monojet_2016_bin18,774.4787659
monojet_2016_bin1,monojet_2016_bin19,485.4568224
monojet_2016_bin1,monojet_2016_bin20,575.3434007
monojet_2016_bin1,monojet_2016_bin21,473.7366642
monojet_2016_bin1,monojet_2017_bin0,188768.5861
monojet_2016_bin1,monojet_2017_bin1,82573.25413
monojet_2016_bin1,monojet_2017_bin2,37891.14143
monojet_2016_bin1,monojet_2017_bin3,23042.60648
monojet_2016_bin1,monojet_2017_bin4,13959.62261
monojet_2016_bin1,monojet_2017_bin5,8039.516298
monojet_2016_bin1,monojet_2017_bin6,5062.390974
monojet_2016_bin1,monojet_2017_bin7,4817.675048
monojet_2016_bin1,monojet_2017_bin8,266.8279891
monojet_2016_bin1,monojet_2017_bin9,1418.126963
monojet_2016_bin1,monojet_2017_bin10,819.0888956
monojet_2016_bin1,monojet_2017_bin11,1395.416016
monojet_2016_bin1,monojet_2017_bin12,426.8847773
monojet_2016_bin1,monojet_2017_bin13,945.9130149
monojet_2016_bin1,monojet_2017_bin14,-107.7605714
monojet_2016_bin1,monojet_2017_bin15,-9.673390176
monojet_2016_bin1,monojet_2017_bin16,85.77823834
monojet_2016_bin1,monojet_2017_bin17,232.1420615
monojet_2016_bin1,monojet_2017_bin18,28.40415796
monojet_2016_bin1,monojet_2017_bin19,15.42017657
monojet_2016_bin1,monojet_2017_bin20,159.6403163
monojet_2016_bin1,monojet_2017_bin21,91.36649548
monojet_2016_bin1,monojet_2018_bin0,335700.3183
monojet_2016_bin1,monojet_2018_bin1,169229.7946
monojet_2016_bin1,monojet_2018_bin2,107441.6449
monojet_2016_bin1,monojet_2018_bin3,57530.29403
monojet_2016_bin1,monojet_2018_bin4,26698.69573
monojet_2016_bin1,monojet_2018_bin5,17782.28201
monojet_2016_bin1,monojet_2018_bin6,13685.45039
monojet_2016_bin1,monojet_2018_bin7,16128.60889
monojet_2016_bin1,monojet_2018_bin8,9252.363235
monojet_2016_bin1,monojet_2018_bin9,4169.789462
monojet_2016_bin1,monojet_2018_bin10,3478.671821
monojet_2016_bin1,monojet_2018_bin11,2021.603436
monojet_2016_bin1,monojet_2018_bin12,676.9799044
monojet_2016_bin1,monojet_2018_bin13,1353.390415
monojet_2016_bin1,monojet_2018_bin14,-120.2899834
monojet_2016_bin1,monojet_2018_bin15,539.343198
monojet_2016_bin1,monojet_2018_bin16,104.9900766
monojet_2016_bin1,monojet_2018_bin17,625.1391541
monojet_2016_bin1,monojet_2018_bin18,-64.31825933
monojet_2016_bin1,monojet_2018_bin19,-43.88893136
monojet_2016_bin1,monojet_2018_bin20,163.4437339
monojet_2016_bin1,monojet_2018_bin21,122.3765556
monojet_2016_bin2,monojet_2016_bin0,2464750.837
monojet_2016_bin2,monojet_2016_bin1,1345050.487
monojet_2016_bin2,monojet_2016_bin2,675913.8055
monojet_2016_bin2,monojet_2016_bin3,373545.4376
monojet_2016_bin2,monojet_2016_bin4,220670.2092
monojet_2016_bin2,monojet_2016_bin5,123435.689
monojet_2016_bin2,monojet_2016_bin6,106586.0664
monojet_2016_bin2,monojet_2016_bin7,58981.10077
monojet_2016_bin2,monojet_2016_bin8,32421.07086
monojet_2016_bin2,monojet_2016_bin9,23213.31687
monojet_2016_bin2,monojet_2016_bin10,16589.96668
monojet_2016_bin2,monojet_2016_bin11,10021.7358
monojet_2016_bin2,monojet_2016_bin12,5561.890987
monojet_2016_bin2,monojet_2016_bin13,4074.856625
monojet_2016_bin2,monojet_2016_bin14,2388.190089
monojet_2016_bin2,monojet_2016_bin15,2141.263512
monojet_2016_bin2,monojet_2016_bin16,1222.754637
monojet_2016_bin2,monojet_2016_bin17,1252.898777
monojet_2016_bin2,monojet_2016_bin18,511.556458
monojet_2016_bin2,monojet_2016_bin19,337.9964554
monojet_2016_bin2,monojet_2016_bin20,323.047423
monojet_2016_bin2,monojet_2016_bin21,299.3891806
monojet_2016_bin2,monojet_2017_bin0,75258.73468
monojet_2016_bin2,monojet_2017_bin1,27341.94224
monojet_2016_bin2,monojet_2017_bin2,8548.370667
monojet_2016_bin2,monojet_2017_bin3,7903.418314
monojet_2016_bin2,monojet_2017_bin4,6775.179879
monojet_2016_bin2,monojet_2017_bin5,1887.929192
monojet_2016_bin2,monojet_2017_bin6,1731.898853
monojet_2016_bin2,monojet_2017_bin7,1738.565436
monojet_2016_bin2,monojet_2017_bin8,46.95832966
monojet_2016_bin2,monojet_2017_bin9,813.9137052
monojet_2016_bin2,monojet_2017_bin10,374.0816464
monojet_2016_bin2,monojet_2017_bin11,392.779846
monojet_2016_bin2,monojet_2017_bin12,452.8522355
monojet_2016_bin2,monojet_2017_bin13,453.1266133
monojet_2016_bin2,monojet_2017_bin14,-28.48157415
monojet_2016_bin2,monojet_2017_bin15,95.6614313
monojet_2016_bin2,monojet_2017_bin16,-34.23435982
monojet_2016_bin2,monojet_2017_bin17,184.005074
monojet_2016_bin2,monojet_2017_bin18,-33.8948519
monojet_2016_bin2,monojet_2017_bin19,-25.74723177
monojet_2016_bin2,monojet_2017_bin20,97.31521789
monojet_2016_bin2,monojet_2017_bin21,84.86874535
monojet_2016_bin2,monojet_2018_bin0,175674.245
monojet_2016_bin2,monojet_2018_bin1,87173.02776
monojet_2016_bin2,monojet_2018_bin2,50481.56475
monojet_2016_bin2,monojet_2018_bin3,26339.21394
monojet_2016_bin2,monojet_2018_bin4,12045.20872
monojet_2016_bin2,monojet_2018_bin5,6734.941483
monojet_2016_bin2,monojet_2018_bin6,6064.149674
monojet_2016_bin2,monojet_2018_bin7,6862.084602
monojet_2016_bin2,monojet_2018_bin8,3608.620719
monojet_2016_bin2,monojet_2018_bin9,1395.885561
monojet_2016_bin2,monojet_2018_bin10,1634.757665
monojet_2016_bin2,monojet_2018_bin11,1222.974196
monojet_2016_bin2,monojet_2018_bin12,584.377065
monojet_2016_bin2,monojet_2018_bin13,536.3161812
monojet_2016_bin2,monojet_2018_bin14,-60.42520352
monojet_2016_bin2,monojet_2018_bin15,341.1989909
monojet_2016_bin2,monojet_2018_bin16,5.229396464
monojet_2016_bin2,monojet_2018_bin17,270.5109439
monojet_2016_bin2,monojet_2018_bin18,-13.96567868
monojet_2016_bin2,monojet_2018_bin19,27.17719111
monojet_2016_bin2,monojet_2018_bin20,92.34381722
monojet_2016_bin2,monojet_2018_bin21,121.5203094
monojet_2016_bin3,monojet_2016_bin0,1514431.404
monojet_2016_bin3,monojet_2016_bin1,835487.4572
monojet_2016_bin3,monojet_2016_bin2,373545.4376
monojet_2016_bin3,monojet_2016_bin3,263593.7812
monojet_2016_bin3,monojet_2016_bin4,135767.8059
monojet_2016_bin3,monojet_2016_bin5,76245.13928
monojet_2016_bin3,monojet_2016_bin6,64285.70028
monojet_2016_bin3,monojet_2016_bin7,36377.63207
monojet_2016_bin3,monojet_2016_bin8,18746.57512
monojet_2016_bin3,monojet_2016_bin9,13686.62784
monojet_2016_bin3,monojet_2016_bin10,10061.13682
monojet_2016_bin3,monojet_2016_bin11,6177.970437
monojet_2016_bin3,monojet_2016_bin12,3393.375334
monojet_2016_bin3,monojet_2016_bin13,2270.116341
monojet_2016_bin3,monojet_2016_bin14,1335.049222
monojet_2016_bin3,monojet_2016_bin15,1241.955472
monojet_2016_bin3,monojet_2016_bin16,674.5062549
monojet_2016_bin3,monojet_2016_bin17,749.5407656
monojet_2016_bin3,monojet_2016_bin18,311.6281862
monojet_2016_bin3,monojet_2016_bin19,176.9060149
monojet_2016_bin3,monojet_2016_bin20,201.1474819
monojet_2016_bin3,monojet_2016_bin21,181.7392054
monojet_2016_bin3,monojet_2017_bin0,48759.52569
monojet_2016_bin3,monojet_2017_bin1,19609.30096
monojet_2016_bin3,monojet_2017_bin2,6197.477438
monojet_2016_bin3,monojet_2017_bin3,4987.251749
monojet_2016_bin3,monojet_2017_bin4,5171.551265
monojet_2016_bin3,monojet_2017_bin5,2180.823759
monojet_2016_bin3,monojet_2017_bin6,1138.16555
monojet_2016_bin3,monojet_2017_bin7,1551.345119
monojet_2016_bin3,monojet_2017_bin8,56.19026175
monojet_2016_bin3,monojet_2017_bin9,423.1872088
monojet_2016_bin3,monojet_2017_bin10,277.2760848
monojet_2016_bin3,monojet_2017_bin11,245.3466629
monojet_2016_bin3,monojet_2017_bin12,329.0682335
monojet_2016_bin3,monojet_2017_bin13,286.0337448
monojet_2016_bin3,monojet_2017_bin14,-66.77556012
monojet_2016_bin3,monojet_2017_bin15,49.92928655
monojet_2016_bin3,monojet_2017_bin16,-5.050017867
monojet_2016_bin3,monojet_2017_bin17,52.10379914
monojet_2016_bin3,monojet_2017_bin18,-18.92300432
monojet_2016_bin3,monojet_2017_bin19,-5.216034189
monojet_2016_bin3,monojet_2017_bin20,49.40470295
monojet_2016_bin3,monojet_2017_bin21,13.07226592
monojet_2016_bin3,monojet_2018_bin0,105414.4449
monojet_2016_bin3,monojet_2018_bin1,55470.72565
monojet_2016_bin3,monojet_2018_bin2,33962.24805
monojet_2016_bin3,monojet_2018_bin3,17081.49673
monojet_2016_bin3,monojet_2018_bin4,7443.99313
monojet_2016_bin3,monojet_2018_bin5,5096.214852
monojet_2016_bin3,monojet_2018_bin6,3764.340482
monojet_2016_bin3,monojet_2018_bin7,4481.180021
monojet_2016_bin3,monojet_2018_bin8,2705.758775
monojet_2016_bin3,monojet_2018_bin9,1068.625095
monojet_2016_bin3,monojet_2018_bin10,989.3479815
monojet_2016_bin3,monojet_2018_bin11,805.7784228
monojet_2016_bin3,monojet_2018_bin12,418.215059
monojet_2016_bin3,monojet_2018_bin13,396.9324511
monojet_2016_bin3,monojet_2018_bin14,34.41434205
monojet_2016_bin3,monojet_2018_bin15,139.1066363
monojet_2016_bin3,monojet_2018_bin16,6.089127507
monojet_2016_bin3,monojet_2018_bin17,163.7496422
monojet_2016_bin3,monojet_2018_bin18,-18.57722738
monojet_2016_bin3,monojet_2018_bin19,31.15819231
monojet_2016_bin3,monojet_2018_bin20,52.80129406
monojet_2016_bin3,monojet_2018_bin21,31.44833382
