#: table_doi: 10.17182/hepdata.106115.v2/t40
#: name: 2D exclusion contour, vector, Median Expected
#: description: Median Expected exclusion contour in the $m_{med}$-$m_{\chi}$ plane in the simplified model with vector couplings.
#: data_file: 2d_exclusion_contour,_vector,_median_expected.yaml
#: keyword reactions: P P --> INVISIBLE JET | P P --> INVISIBLE JET JET | P P --> INVISIBLE W+ | P P --> INVISIBLE W- | P P --> INVISIBLE Z0
#: keyword phrases: Dark matter | DM | DMsimp | Simplified model
#: keyword observables: CLS | SIG
#: keyword cmenergies: 13000.0
#: $g_{q}$,0.25
#: $g_{\chi}$,1.0
#: Coupling type,Vector
#: Integrated luminosity [fb$^{-1}$],137
$m_{med}$ [GeV],$m_{\chi}$ [GeV]
0.0,143.07
30.303,133.87
60.606,122.69
67.012,121.21
90.909,117.07
98.957,121.21
121.21,137.79
136.53,151.52
151.52,167.39
169.4,181.82
181.82,193.56
212.12,210.33
226.74,212.12
242.42,214.39
272.73,215.9
303.03,220.92
333.33,230.07
363.64,239.4
372.65,242.42
393.94,249.93
424.24,260.57
454.55,271.27
458.72,272.73
484.85,281.39
515.15,290.92
545.45,301.48
550.85,303.03
575.76,311.74
606.06,318.96
636.36,325.29
666.67,331.45
674.07,333.33
696.97,343.25
727.27,355.49
757.54,363.64
757.58,363.65
787.88,379.18
818.18,389.55
831.77,393.94
848.48,402.86
878.79,416.86
898.2,424.24
909.09,432.8
939.39,450.93
948.57,454.55
969.7,468.0
1000.0,484.84
1000.0,484.85
1030.3,503.81
1053.4,515.15
1060.6,519.15
1090.9,531.44
1121.2,541.31
1133.7,545.45
1151.5,553.17
1181.8,570.59
1190.5,575.76
1212.1,588.1
1242.4,603.05
1251.4,606.06
1272.7,613.84
1303.0,623.3
1333.3,630.1
1358.7,636.36
1363.6,638.11
1393.9,652.79
1424.2,665.35
1427.8,666.67
1454.5,679.68
1484.8,691.4
1500.0,696.97
1515.2,703.8
1545.5,716.19
1575.8,726.53
1577.8,727.27
1606.1,738.53
1636.4,748.47
1663.9,757.58
1666.7,758.71
1697.0,770.39
1727.3,780.5
1746.9,787.88
1757.6,792.16
1787.9,802.81
1818.2,813.99
1828.2,818.18
1848.5,826.0
1878.8,836.81
1906.8,848.48
1909.1,849.44
1939.4,859.75
1969.7,869.32
1993.8,878.79
2000.0,880.79
2030.3,887.96
2060.6,892.85
2090.9,899.19
2121.2,902.47
2144.3,878.79
2147.8,848.48
2151.5,835.39
2156.2,818.18
2164.0,787.88
2170.4,757.58
2176.1,727.27
2180.3,696.97
2181.8,682.21
2183.4,666.67
2186.1,636.36
2188.5,606.06
2190.3,575.76
2191.8,545.45
2193.2,515.15
2194.3,484.85
2195.0,454.55
2195.7,424.24
2196.3,393.94
2196.7,363.64
2196.9,333.33
2197.2,303.03
2197.4,272.73
2197.5,242.42
2197.6,212.12
2197.8,181.82
2197.9,151.52
2197.7,121.21
2196.9,90.909
2196.0,60.606
2196.0,30.303
2198.0,0.0

