#: table_doi: 10.17182/hepdata.106115.v2/t53
#: name: 2D exclusion contour, fermion portal, Expected plus 1 s.d.
#: description: Expected plus 1 s.d. exclusion contour in the $m_{med}$-$m_{\chi}$ plane in the fermion portal model.
#: data_file: 2d_exclusion_contour,_fermion_portal,_expected_plus_1_s.d..yaml
#: keyword reactions: P P --> INVISIBLE JET | P P --> INVISIBLE JET JET
#: keyword phrases: Dark matter | DM | DMsimp | Simplified model | T-channel | S3D-UR
#: keyword observables: CLS | SIG
#: keyword cmenergies: 13000.0
#: Integrated luminosity [fb$^{-1}$],137
$m_{\Phi}$ [GeV],$m_{\chi}$ [GeV]
0.0,2.5253
22.727,25.253
25.253,27.778
47.98,50.505
50.505,53.03
73.232,75.758
75.758,78.283
98.485,101.01
101.01,103.54
123.74,126.26
126.26,128.79
148.99,151.52
151.52,154.04
174.24,176.77
176.77,179.29
199.54,202.02
202.02,204.5
224.87,227.27
227.27,229.67
250.22,252.53
252.53,254.83
275.58,277.78
277.78,279.97
300.96,303.03
303.03,305.1
326.34,328.28
328.28,330.22
351.74,353.54
353.54,355.33
377.15,378.79
378.79,380.43
402.56,404.04
404.04,405.52
427.98,429.29
429.29,430.61
453.39,454.55
454.55,455.7
478.79,479.8
479.8,480.81
504.18,505.05
505.05,505.92
529.58,530.3
530.3,531.03
554.98,555.56
555.56,556.13
580.38,580.81
580.81,581.23
605.8,606.06
606.06,606.32
631.22,631.31
631.31,631.4
656.57,639.05
676.14,631.31
681.82,629.19
707.07,620.42
732.32,612.6
755.45,606.06
757.58,605.47
782.83,598.54
808.08,591.74
833.33,585.15
850.65,580.81
858.59,578.75
883.84,572.48
909.09,566.37
934.34,560.35
954.65,555.56
959.6,554.34
984.85,548.19
1010.1,541.97
1035.4,535.7
1057.0,530.3
1060.6,529.37
1085.9,522.82
1111.1,516.16
1136.4,509.27
1151.0,505.05
1161.6,501.83
1186.9,493.55
1212.1,484.33
1223.4,479.8
1237.4,473.78
1262.6,461.81
1276.9,454.55
1287.9,448.37
1313.1,433.38
1319.7,429.29
1338.4,416.43
1355.5,404.04
1363.6,397.48
1386.0,378.79
1388.9,376.16
1412.3,353.54
1414.1,351.44
1434.2,328.28
1439.4,321.47
1453.6,303.03
1464.6,286.98
1471.1,277.78
1486.7,252.53
1489.9,246.53
1500.6,227.27
1512.4,202.02
1515.2,194.73
1522.0,176.77
1529.1,151.52
1534.5,126.26
1539.0,101.01
1540.4,92.188
1543.0,75.758
1547.2,50.505
1552.0,25.253
1557.5,0.0

