#: table_doi: 10.17182/hepdata.106115.v2/t11
#: name: Yields (Monojet)
#: description: Background and data yields in the control and signal region bins. The prediction before ("prefit") and after the background only fit ("b-only") are given separately.
#: data_file: yields_(monojet).yaml
#: keyword cmenergies: 13000.0
#: Data set year,,,2017
#: Category,,,Monojet
#: Region,,,Single muon
#: Fit,,,B-only
#: Process,,,Data
Recoil [GeV],Recoil [GeV] LOW,Recoil [GeV] HIGH,Yield
u$)+jets
Recoil [GeV],Recoil [GeV] LOW,Recoil [GeV] HIGH,Yield,Total +,Total -
265.0,250.0,280.0,98107.0,927.2,-927.2
295.0,280.0,310.0,57258.0,533.28,-533.28
325.0,310.0,340.0,34813.0,324.67,-324.67
355.0,340.0,370.0,21883.0,210.44,-210.44
385.0,370.0,400.0,14087.0,132.92,-132.92
415.0,400.0,430.0,9451.4,101.27,-101.27
450.0,430.0,470.0,8094.6,82.672,-82.672
490.0,470.0,510.0,5078.0,55.682,-55.682
530.0,510.0,550.0,3166.1,38.318,-38.318
570.0,550.0,590.0,2130.7,29.048,-29.048
615.0,590.0,640.0,1645.9,27.15,-27.15
665.0,640.0,690.0,1020.1,18.074,-18.074
715.0,690.0,740.0,623.4,14.915,-14.915
765.0,740.0,790.0,404.36,11.96,-11.96
815.0,790.0,840.0,270.15,10.139,-10.139
870.0,840.0,900.0,215.82,7.7395,-7.7395
930.0,900.0,960.0,131.52,5.6816,-5.6816
990.0,960.0,1020.0,82.758,4.8561,-4.8561
1055.0,1020.0,1090.0,66.415,4.546,-4.546
1125.0,1090.0,1160.0,32.637,2.967,-2.967
1205.0,1160.0,1250.0,30.049,2.8729,-2.8729
1325.0,1250.0,1400.0,37.51,3.3678,-3.3678

#: Data set year,,,2017
#: Category,,,Monojet
#: Region,,,Single muon
#: Fit,,,B-only
#: Process,,,WW
Recoil [GeV],Recoil [GeV] LOW,Recoil [GeV] HIGH,Yield,Total +,Total -
265.0,250.0,280.0,1272.7,130.16,-130.16
295.0,280.0,310.0,773.44,76.317,-76.317
325.0,310.0,340.0,485.35,47.819,-47.819
355.0,340.0,370.0,301.71,30.059,-30.059
385.0,370.0,400.0,225.98,23.388,-23.388
415.0,400.0,430.0,139.38,14.094,-14.094
450.0,430.0,470.0,130.01,13.964,-13.964
490.0,470.0,510.0,102.65,11.099,-11.099
530.0,510.0,550.0,69.217,8.1092,-8.1092
570.0,550.0,590.0,39.057,5.0305,-5.0305
615.0,590.0,640.0,43.541,5.5212,-5.5212
665.0,640.0,690.0,24.216,3.222,-3.222
715.0,690.0,740.0,18.567,2.7041,-2.7041
765.0,740.0,790.0,12.426,1.8448,-1.8448
815.0,790.0,840.0,8.0186,1.3798,-1.3798
870.0,840.0,900.0,5.0693,1.0117,-1.0117
930.0,900.0,960.0,4.406,0.92803,-0.92803
