#: table_doi: 10.17182/hepdata.106115.v2/t36
#: name: 2D exclusion contour, axial, Median Expected
#: description: Median Expected exclusion contour in the $m_{med}$-$m_{\chi}$ plane in the simplified model with axial couplings.
#: data_file: 2d_exclusion_contour,_axial,_median_expected.yaml
#: keyword reactions: P P --> INVISIBLE JET | P P --> INVISIBLE JET JET | P P --> INVISIBLE W+ | P P --> INVISIBLE W- | P P --> INVISIBLE Z0
#: keyword phrases: Dark matter | DM | DMsimp | Simplified model
#: keyword observables: CLS | SIG
#: keyword cmenergies: 13000.0
#: $g_{q}$,0.25
#: $g_{\chi}$,1.0
#: Coupling type,Axial
#: Integrated luminosity [fb$^{-1}$],137
$m_{med}$ [GeV],$m_{\chi}$ [GeV]
0.0,93.096
6.6724,90.909
30.303,85.81
60.606,78.375
90.909,63.895
121.21,79.688
151.52,87.981
169.06,90.909
181.82,94.987
212.12,109.64
242.42,112.95
254.39,121.21
272.73,133.78
303.03,140.01
327.64,151.52
333.33,155.36
363.64,168.12
393.94,175.79
400.82,181.82
424.24,196.71
454.55,204.13
466.24,212.12
484.85,224.89
515.15,234.64
530.57,242.42
545.45,251.89
575.76,264.29
594.43,272.73
606.06,280.48
636.36,294.24
661.64,303.03
666.67,305.32
696.97,318.06
727.27,328.39
737.69,333.33
757.58,342.53
787.88,350.9
818.18,362.77
819.76,363.64
848.48,373.68
878.79,383.99
896.41,393.94
909.09,400.23
939.39,410.93
962.57,424.24
969.7,428.16
1000.0,439.49
1028.2,454.55
1030.3,455.62
1060.6,465.19
1090.9,475.89
1106.1,484.85
1121.2,490.82
1151.5,500.8
1175.8,515.15
1181.8,517.96
1212.1,527.33
1242.4,541.32
1249.6,545.45
1272.7,552.36
1303.0,561.16
1327.7,575.76
1333.3,577.73
1363.6,584.42
1393.9,596.68
1410.1,606.06
1424.2,609.86
1454.5,617.88
1484.8,635.48
1486.7,636.36
1515.2,642.03
1545.5,652.0
1573.4,666.67
1575.8,667.2
1606.1,672.03
1636.4,680.02
1666.7,690.06
1697.0,695.47
1727.3,696.15
1757.6,695.52
1787.9,692.92
1818.2,688.17
1848.5,681.85
1878.8,673.88
1900.9,666.67
1909.1,663.36
1939.4,649.1
1962.5,636.36
1969.7,631.24
2000.0,607.86
2002.4,606.06
2030.3,582.55
2038.1,575.76
2060.6,552.12
2066.7,545.45
2089.8,515.15
2090.9,513.5
2109.2,484.85
2121.2,462.84
2125.6,454.55
2139.5,424.24
2151.5,394.26
2151.6,393.94
2162.1,363.64
2171.2,333.33
2179.0,303.03
2181.8,290.53
2185.8,272.73
2191.7,242.42
2196.8,212.12
2201.2,181.82
2204.8,151.52
2207.4,121.21
2208.1,90.909
2207.9,60.606
2208.8,30.303
2212.1,4.1777
2212.7,0.0

