#: table_doi: 10.17182/hepdata.106115.v2/t18
#: name: Cut flow for Monojet, Fermion portal
#: description: Unweighted signal acceptance times efficiency at every cut stage. The requirements called "HCAL mitigation" refer to the requirements imposed in the 2018 data set in order to mitigate the localized failure of the HCAL detector.
#: data_file: cut_flow_for_monojet,_fermion_portal.yaml
#: keyword reactions: P P --> INVISIBLE JET
#: keyword phrases: Dark matter | DM | DMsimp | Simplified model
#: keyword cmenergies: 13000.0
$p_{T}^{miss} > 250$ GeV,0.59405
$p_{T}^{miss}$ quality filters,0.59091
Electron veto,0.58882
Muon veto,0.58725
Tau veto,0.57257
B jet veto,0.57257
Photon veto,0.56259
"$\Delta\phi(jet,p_{T}^{miss}) > 0.5$ rad",0.46622
$\Delta p_{T}^{miss}$ (PF-Calorimeter) $< 0.5$ rad,0.46556
Leading AK4 jet $p_{T} > 100$ GeV,0.45874
Leading AK4 jet $\eta < 2.4$,0.45874
Leading AK4 jet energy fractions,0.45677
Mono-V overlap removal,0.43527
HCAL mitigation (jets),0.43527
HCAL mitigation ($\phi^{miss}$),0.43527
"$\Delta\phi(\mathrm{PF},\mathrm{Charged}) < 2.0$ rad",0.43507

#: $m_{\Phi}$ [GeV],1000.0
#: $m_{\chi}$ [GeV],600.0
#: $\lambda$,1.0
#: Mode,$\chi\chi+j$
#: Data-taking period,2017
Cut stage,Fraction of passing events
Full sample,1.0
Trigger emulation,0.93701
$p_{T}^{miss} > 250$ GeV,0.77029
$p_{T}^{miss}$ quality filters,0.76717
Electron veto,0.76191
Muon veto,0.75984
Tau veto,0.73705
B jet veto,0.73705
Photon veto,0.71832
"$\Delta\phi(jet,p_{T}^{miss}) > 0.5$ rad",0.60823
$\Delta p_{T}^{miss}$ (PF-Calorimeter) $< 0.5$ rad,0.60778
Leading AK4 jet $p_{T} > 100$ GeV,0.60489
Leading AK4 jet $\eta < 2.4$,0.60489
Leading AK4 jet energy fractions,0.60116
Mono-V overlap removal,0.56836
HCAL mitigation (jets),0.56836
HCAL mitigation ($\phi^{miss}$),0.56836
"$\Delta\phi(\mathrm{PF},\mathrm{Charged}) < 2.0$ rad",0.56745

#: $m_{\Phi}$ [GeV],1000.0
#: $m_{\chi}$ [GeV],600.0
#: $\lambda$,1.0
#: Mode,$\Phi\Phi\rightarrow \chi\chi j j$
#: Data-taking period,2017
Cut stage,Fraction of passing events
Full sample,1.0
Trigger emulation,0.89098
$p_{T}^{miss} > 250$ GeV,0.65109
