#: table_doi: 10.17182/hepdata.106115.v2/t16
#: name: Simplified likelihood: covariance matrix (Mono-V)
#: description: Matrix of covariance coefficients between signal region bins. The coefficients are obtained from the background-only fit to the control regions, and serve as input to the simplified likelihood reinterpretation scheme.
#: data_file: simplified_likelihood:_covariance_matrix_(mono-v).yaml
#: keyword cmenergies: 13000.0
First Bin,Second Bin,Covariance
monovtau21_2016_bin3,monovtau21_2016_bin2,2046.302411
monovtau21_2016_bin3,monovtau21_2016_bin3,3591.430913
monovtau21_2016_bin3,monovtau21_2016_bin4,320.3647099
monovtau21_2016_bin3,monovtau21_2016_bin5,117.6514669
monovtau21_2016_bin3,monovtau21_2016_bin6,34.39290571
monovtau21_2016_bin3,monovloose_2017_bin0,-103.0313222
monovtau21_2016_bin3,monovloose_2017_bin1,-186.3281908
monovtau21_2016_bin3,monovloose_2017_bin2,-56.59452663
monovtau21_2016_bin3,monovloose_2017_bin3,-27.25239858
monovtau21_2016_bin3,monovloose_2017_bin4,-41.02745184
monovtau21_2016_bin3,monovloose_2017_bin5,-4.78389202
monovtau21_2016_bin3,monovloose_2017_bin6,-1.903573202
monovtau21_2016_bin3,monovloose_2018_bin0,567.0151843
monovtau21_2016_bin3,monovloose_2018_bin1,270.8702253
monovtau21_2016_bin3,monovloose_2018_bin2,202.4795709
monovtau21_2016_bin3,monovloose_2018_bin3,132.8483784
monovtau21_2016_bin3,monovloose_2018_bin4,67.24854721
monovtau21_2016_bin3,monovloose_2018_bin5,-5.014000912
monovtau21_2016_bin3,monovloose_2018_bin6,-10.23387563
monovtau21_2016_bin3,monovtight_2017_bin0,-4.775110906
monovtau21_2016_bin3,monovtight_2017_bin1,16.46365953
monovtau21_2016_bin3,monovtight_2017_bin2,-25.07702927
monovtau21_2016_bin3,monovtight_2017_bin3,11.81996472
monovtau21_2016_bin3,monovtight_2017_bin4,10.7537589
monovtau21_2016_bin3,monovtight_2017_bin5,-5.963435039
monovtau21_2016_bin3,monovtight_2017_bin6,-3.888341908
monovtau21_2016_bin3,monovtight_2018_bin0,42.28505109
monovtau21_2016_bin3,monovtight_2018_bin1,31.14085434
monovtau21_2016_bin3,monovtight_2018_bin2,88.07427662
monovtau21_2016_bin3,monovtight_2018_bin3,38.86761929
monovtau21_2016_bin3,monovtight_2018_bin4,-12.58051015
monovtau21_2016_bin3,monovtight_2018_bin5,-6.314925861
monovtau21_2016_bin3,monovtight_2018_bin6,-4.907607975
monovtau21_2016_bin4,monovtau21_2016_bin0,1574.08581
monovtau21_2016_bin4,monovtau21_2016_bin1,846.6673864
monovtau21_2016_bin4,monovtau21_2016_bin2,495.4309123
monovtau21_2016_bin4,monovtau21_2016_bin3,320.3647099
monovtau21_2016_bin4,monovtau21_2016_bin4,500.2897619
monovtau21_2016_bin4,monovtau21_2016_bin5,50.03862082
monovtau21_2016_bin4,monovtau21_2016_bin6,8.380977852
monovtau21_2016_bin4,monovloose_2017_bin0,-92.15151646
monovtau21_2016_bin4,monovloose_2017_bin1,-142.6559963
monovtau21_2016_bin4,monovloose_2017_bin2,-31.26420232
monovtau21_2016_bin4,monovloose_2017_bin3,2.038254723
monovtau21_2016_bin4,monovloose_2017_bin4,7.198278426
monovtau21_2016_bin4,monovloose_2017_bin5,5.848740393
monovtau21_2016_bin4,monovloose_2017_bin6,0.4734981271
monovtau21_2016_bin4,monovloose_2018_bin0,299.3076049
