#: table_doi: 10.17182/hepdata.106115.v2/t2
#: name: Signal templates, DMsimp, spin-0, Monojet
#: description: Differential signal yields for various signal hypotheses.
#: data_file: signal_templates,_dmsimp,_spin-0,_monojet.yaml
#: keyword observables: N
#: keyword reactions: P P --> INVISIBLE JET
#: keyword cmenergies: 13000.0
#: Coupling type,,,Pseudoscalar
#: Production mode,,,DM + QCD jets
#: $m_{med}$,,,100.0
#: $m_{DM}$,,,1.0
#: $g_{q}$,,,1.0
#: $g_{DM}$,,,1.0
#: Data-taking period,,,2016
Recoil (GeV),Recoil (GeV) LOW,Recoil (GeV) HIGH,Signal yield,Sample size +,Sample size -
990.0,960.0,1020.0,2.209,0.36428,-0.36428
1055.0,1020.0,1090.0,0.734,0.20743,-0.20743
1125.0,1090.0,1160.0,0.43014,0.1603,-0.1603
1205.0,1160.0,1250.0,0.49205,0.16655,-0.16655
1325.0,1250.0,1400.0,0.63543,0.19436,-0.19436

#: Coupling type,,,Pseudoscalar
#: Production mode,,,DM + QCD jets
#: $m_{med}$,,,450.0
#: $m_{DM}$,,,1.0
#: $g_{q}$,,,1.0
#: $g_{DM}$,,,1.0
#: Data-taking period,,,2016
Recoil (GeV),Recoil (GeV) LOW,Recoil (GeV) HIGH,Signal yield,Sample size +,Sample size -
265.0,250.0,280.0,826.34,5.2169,-5.2169
295.0,280.0,310.0,633.94,4.5876,-4.5876
325.0,310.0,340.0,482.08,4.0016,-4.0016
355.0,340.0,370.0,349.39,3.4052,-3.4052
385.0,370.0,400.0,258.89,2.9283,-2.9283
415.0,400.0,430.0,190.2,2.5086,-2.5086
450.0,430.0,470.0,176.31,2.4173,-2.4173
490.0,470.0,510.0,118.91,1.9835,-1.9835
530.0,510.0,550.0,78.277,1.6093,-1.6093
570.0,550.0,590.0,48.612,1.2674,-1.2674
615.0,590.0,640.0,38.641,1.1328,-1.1328
665.0,640.0,690.0,24.011,0.89103,-0.89103
715.0,690.0,740.0,14.007,0.68122,-0.68122
765.0,740.0,790.0,8.7712,0.54109,-0.54109
815.0,790.0,840.0,5.9131,0.44044,-0.44044
870.0,840.0,900.0,3.8284,0.35759,-0.35759
930.0,900.0,960.0,2.3883,0.28403,-0.28403
990.0,960.0,1020.0,1.4653,0.22259,-0.22259
1055.0,1020.0,1090.0,1.1056,0.19246,-0.19246
1125.0,1090.0,1160.0,0.66678,0.14845,-0.14845
1205.0,1160.0,1250.0,0.40191,0.11623,-0.11623
1325.0,1250.0,1400.0,0.56818,0.13602,-0.13602

#: Coupling type,,,Pseudoscalar
#: Production mode,,,DM + QCD jets
#: $m_{med}$,,,500.0
#: $m_{DM}$,,,150.0
#: $g_{q}$,,,1.0
#: $g_{DM}$,,,1.0
#: Data-taking period,,,2016
Recoil (GeV),Recoil (GeV) LOW,Recoil (GeV) HIGH,Signal yield,Sample size +,Sample size -
265.0,250.0,280.0,451.05,2.7887,-2.7887
295.0,280.0,310.0,353.17,2.4779,-2.4779
325.0,310.0,340.0,264.63,2.1435,-2.1435
355.0,340.0,370.0,202.15,1.8746,-1.8746
385.0,370.0,400.0,153.93,1.6339,-1.6339
415.0,400.0,430.0,114.46,1.4086,-1.4086
450.0,430.0,470.0,115.25,1.4131,-1.4131
490.0,470.0,510.0,76.158,1.1471,-1.1471
530.0,510.0,550.0,51.033,0.93919,-0.93919
570.0,550.0,590.0,34.091,0.76837,-0.76837
615.0,590.0,640.0,28.136,0.69707,-0.69707
665.0,640.0,690.0,17.153,0.54538,-0.54538
715.0,690.0,740.0,10.655,0.43038,-0.43038
765.0,740.0,790.0,6.7786,0.34393,-0.34393
815.0,790.0,840.0,4.2516,0.27115,-0.27115
870.0,840.0,900.0,2.6564,0.21437,-0.21437
930.0,900.0,960.0,1.7163,0.17266,-0.17266
990.0,960.0,1020.0,0.9167,0.12542,-0.12542
1055.0,1020.0,1090.0,0.65119,0.10638,-0.10638
1125.0,1090.0,1160.0,0.50661,0.093384,-0.093384
1205.0,1160.0,1250.0,0.364,0.080372,-0.080372
1325.0,1250.0,1400.0,0.49842,0.093879,-0.093879

#: Coupling type,,,Pseudoscalar
#: Production mode,,,DM + QCD jets
#: $m_{med}$,,,500.0
#: $m_{DM}$,,,1.0
#: $g_{q}$,,,1.0
#: $g_{DM}$,,,1.0
#: Data-taking period,,,2016
Recoil (GeV),Recoil (GeV) LOW,Recoil (GeV) HIGH,Signal yield,Sample size +,Sample size -
265.0,250.0,280.0,528.29,3.2504,-3.2504
295.0,280.0,310.0,400.84,2.8417,-2.8417
325.0,310.0,340.0,303.13,2.4698,-2.4698
355.0,340.0,370.0,230.17,2.1518,-2.1518
385.0,370.0,400.0,176.97,1.8861,-1.8861
415.0,400.0,430.0,130.37,1.6168,-1.6168
450.0,430.0,470.0,124.76,1.5833,-1.5833
490.0,470.0,510.0,86.618,1.317,-1.317
530.0,510.0,550.0,57.517,1.0723,-1.0723
570.0,550.0,590.0,38.999,0.88568,-0.88568
615.0,590.0,640.0,30.507,0.78187,-0.78187
665.0,640.0,690.0,18.151,0.60285,-0.60285
715.0,690.0,740.0,11.768,0.48663,-0.48663
765.0,740.0,790.0,7.1494,0.37935,-0.37935
815.0,790.0,840.0,4.7106,0.30849,-0.30849
870.0,840.0,900.0,3.8306,0.27932,-0.27932
930.0,900.0,960.0,2.2304,0.21274,-0.21274
990.0,960.0,1020.0,1.3037,0.16199,-0.16199
1055.0,1020.0,1090.0,0.79184,0.12709,-0.12709
1125.0,1090.0,1160.0,0.49856,0.099072,-0.099072
1205.0,1160.0,1250.0,0.33043,0.0816,-0.0816
1325.0,1250.0,1400.0,0.49039,0.098427,-0.098427

#: Coupling type,,,Pseudoscalar
#: Production mode,,,DM + QCD jets
#: $m_{med}$,,,500.0
#: $m_{DM}$,,,200.0
#: $g_{q}$,,,1.0
#: $g_{DM}$,,,1.0
#: Data-taking period,,,2016
Recoil (GeV),Recoil (GeV) LOW,Recoil (GeV) HIGH,Signal yield,Sample size +,Sample size -
265.0,250.0,280.0,363.64,2.2433,-2.2433
295.0,280.0,310.0,282.81,1.9847,-1.9847
325.0,310.0,340.0,216.08,1.7357,-1.7357
355.0,340.0,370.0,164.33,1.5148,-1.5148
385.0,370.0,400.0,125.72,1.3232,-1.3232
415.0,400.0,430.0,93.925,1.1417,-1.1417
450.0,430.0,470.0,91.424,1.1275,-1.1275
490.0,470.0,510.0,61.439,0.92372,-0.92372
530.0,510.0,550.0,43.583,0.77879,-0.77879
570.0,550.0,590.0,27.35,0.6159,-0.6159
615.0,590.0,640.0,22.728,0.56244,-0.56244
665.0,640.0,690.0,12.87,0.4224,-0.4224
715.0,690.0,740.0,8.8236,0.35071,-0.35071
765.0,740.0,790.0,5.4828,0.27719,-0.27719
815.0,790.0,840.0,3.6612,0.2265,-0.2265
870.0,840.0,900.0,2.5268,0.18815,-0.18815
930.0,900.0,960.0,1.8563,0.16162,-0.16162
990.0,960.0,1020.0,0.92038,0.11183,-0.11183
1055.0,1020.0,1090.0,0.68756,0.098888,-0.098888
1125.0,1090.0,1160.0,0.31694,0.066093,-0.066093
1205.0,1160.0,1250.0,0.28764,0.06381,-0.06381
1325.0,1250.0,1400.0,0.3071,0.065353,-0.065353

#: Coupling type,,,Pseudoscalar
#: Production mode,,,DM + QCD jets
#: $m_{med}$,,,500.0
#: $m_{DM}$,,,225.0
#: $g_{q}$,,,1.0
#: $g_{DM}$,,,1.0
#: Data-taking period,,,2016
Recoil (GeV),Recoil (GeV) LOW,Recoil (GeV) HIGH,Signal yield,Sample size +,Sample size -
265.0,250.0,280.0,281.2,1.7344,-1.7344
295.0,280.0,310.0,220.75,1.5418,-1.5418
325.0,310.0,340.0,167.44,1.3432,-1.3432
355.0,340.0,370.0,131.69,1.1904,-1.1904
385.0,370.0,400.0,97.381,1.0239,-1.0239
415.0,400.0,430.0,74.761,0.89633,-0.89633
450.0,430.0,470.0,72.367,0.88101,-0.88101
490.0,470.0,510.0,49.089,0.72699,-0.72699
530.0,510.0,550.0,33.685,0.60055,-0.60055
570.0,550.0,590.0,23.306,0.50054,-0.50054
615.0,590.0,640.0,18.747,0.44785,-0.44785
665.0,640.0,690.0,11.273,0.34744,-0.34744
715.0,690.0,740.0,6.6712,0.26772,-0.26772
765.0,740.0,790.0,4.2369,0.21441,-0.21441
815.0,790.0,840.0,2.7789,0.1732,-0.1732
870.0,840.0,900.0,1.998,0.14606,-0.14606
930.0,900.0,960.0,1.0998,0.10976,-0.10976
990.0,960.0,1020.0,0.89588,0.098713,-0.098713
1055.0,1020.0,1090.0,0.67109,0.084554,-0.084554
1125.0,1090.0,1160.0,0.34382,0.061321,-0.061321
1205.0,1160.0,1250.0,0.2148,0.048582,-0.048582
1325.0,1250.0,1400.0,0.21427,0.049464,-0.049464

#: Coupling type,,,Pseudoscalar
#: Production mode,,,DM + QCD jets
#: $m_{med}$,,,500.0
#: $m_{DM}$,,,275.0
#: $g_{q}$,,,1.0
#: $g_{DM}$,,,1.0
#: Data-taking period,,,2016
Recoil (GeV),Recoil (GeV) LOW,Recoil (GeV) HIGH,Signal yield,Sample size +,Sample size -
265.0,250.0,280.0,12.721,0.077831,-0.077831
295.0,280.0,310.0,10.236,0.070108,-0.070108
325.0,310.0,340.0,8.1097,0.062387,-0.062387
355.0,340.0,370.0,6.421,0.055528,-0.055528
385.0,370.0,400.0,5.1367,0.049608,-0.049608
415.0,400.0,430.0,4.0819,0.044203,-0.044203
450.0,430.0,470.0,4.2248,0.045033,-0.045033
490.0,470.0,510.0,3.0526,0.038185,-0.038185
530.0,510.0,550.0,2.1713,0.032239,-0.032239
570.0,550.0,590.0,1.6051,0.027714,-0.027714
615.0,590.0,640.0,1.3554,0.025466,-0.025466
665.0,640.0,690.0,0.90212,0.020752,-0.020752
715.0,690.0,740.0,0.59476,0.016911,-0.016911
765.0,740.0,790.0,0.38091,0.013468,-0.013468
815.0,790.0,840.0,0.26142,0.011149,-0.011149
870.0,840.0,900.0,0.21119,0.010036,-0.010036
930.0,900.0,960.0,0.12508,0.0077594,-0.0077594
990.0,960.0,1020.0,0.082467,0.006299,-0.006299
1055.0,1020.0,1090.0,0.064815,0.0055621,-0.0055621
1125.0,1090.0,1160.0,0.035483,0.0041157,-0.0041157
1205.0,1160.0,1250.0,0.025456,0.0034788,-0.0034788
1325.0,1250.0,1400.0,0.029224,0.0037169,-0.0037169

#: Coupling type,,,Pseudoscalar
#: Production mode,,,DM + QCD jets
#: $m_{med}$,,,500.0
#: $m_{DM}$,,,50.0
#: $g_{q}$,,,1.0
#: $g_{DM}$,,,1.0
#: Data-taking period,,,2016
