#: table_doi: 10.17182/hepdata.106115.v2/t2
#: name: Signal templates, DMsimp, spin-0, Monojet
#: description: Differential signal yields for various signal hypotheses.
#: data_file: signal_templates,_dmsimp,_spin-0,_monojet.yaml
#: keyword observables: N
#: keyword reactions: P P --> INVISIBLE JET
#: keyword cmenergies: 13000.0
#: Coupling type,,,Pseudoscalar
#: Production mode,,,DM + QCD jets
#: $m_{med}$,,,100.0
#: $m_{DM}$,,,1.0
#: $g_{q}$,,,1.0
#: $g_{DM}$,,,1.0
#: Data-taking period,,,2016
Recoil (GeV),Recoil (GeV) LOW,Recoil (GeV) HIGH,Signal yield,Sample size +,Sample size -
265.0,250.0,280.0,3022.3,25.162,-25.162
295.0,280.0,310.0,1881.3,19.934,-19.934
325.0,310.0,340.0,1191.3,15.874,-15.874
355.0,340.0,370.0,747.97,12.573,-12.573
385.0,370.0,400.0,493.14,10.203,-10.203
415.0,400.0,430.0,321.52,8.2275,-8.2275
450.0,430.0,470.0,285.4,7.7748,-7.7748
490.0,470.0,510.0,174.93,6.0803,-6.0803
530.0,510.0,550.0,112.09,4.8589,-4.8589
570.0,550.0,590.0,65.937,3.7397,-3.7397
615.0,590.0,640.0,52.29,3.3137,-3.3137
665.0,640.0,690.0,27.7,2.4145,-2.4145
715.0,690.0,740.0,16.684,1.8724,-1.8724
765.0,740.0,790.0,12.628,1.6186,-1.6186
815.0,790.0,840.0,10.049,1.4453,-1.4453
870.0,840.0,900.0,6.282,1.1605,-1.1605
930.0,900.0,960.0,2.1669,0.68684,-0.68684
990.0,960.0,1020.0,1.8414,0.61992,-0.61992
1055.0,1020.0,1090.0,1.5918,0.60262,-0.60262
1125.0,1090.0,1160.0,0.86373,0.40219,-0.40219
1205.0,1160.0,1250.0,0.045981,0.045981,-0.045981
1325.0,1250.0,1400.0,0.45699,0.30189,-0.30189

#: Coupling type,,,Pseudoscalar
#: Production mode,,,DM + QCD jets
#: $m_{med}$,,,100.0
#: $m_{DM}$,,,40.0
#: $g_{q}$,,,1.0
#: $g_{DM}$,,,1.0
#: Data-taking period,,,2016
Recoil (GeV),Recoil (GeV) LOW,Recoil (GeV) HIGH,Signal yield,Sample size +,Sample size -
265.0,250.0,280.0,3006.2,25.084,-25.084
295.0,280.0,310.0,1861.6,19.815,-19.815
325.0,310.0,340.0,1166.4,15.677,-15.677
355.0,340.0,370.0,729.32,12.409,-12.409
385.0,370.0,400.0,473.08,9.9962,-9.9962
415.0,400.0,430.0,312.19,8.1184,-8.1184
450.0,430.0,470.0,278.27,7.6633,-7.6633
490.0,470.0,510.0,173.58,6.0582,-6.0582
530.0,510.0,550.0,103.94,4.6678,-4.6678
570.0,550.0,590.0,71.056,3.8642,-3.8642
615.0,590.0,640.0,52.109,3.3295,-3.3295
665.0,640.0,690.0,30.001,2.5257,-2.5257
715.0,690.0,740.0,23.023,2.2247,-2.2247
765.0,740.0,790.0,12.004,1.5883,-1.5883
815.0,790.0,840.0,8.3118,1.3372,-1.3372
870.0,840.0,900.0,8.0862,1.3088,-1.3088
930.0,900.0,960.0,4.3551,0.94118,-0.94118
990.0,960.0,1020.0,1.4706,0.55669,-0.55669
1055.0,1020.0,1090.0,1.9178,0.63511,-0.63511
1125.0,1090.0,1160.0,1.266,0.51755,-0.51755
1205.0,1160.0,1250.0,0.64134,0.37226,-0.37226
1325.0,1250.0,1400.0,0.5902,0.34205,-0.34205

#: Coupling type,,,Pseudoscalar
#: Production mode,,,DM + QCD jets
#: $m_{med}$,,,100.0
#: $m_{DM}$,,,45.0
#: $g_{q}$,,,1.0
#: $g_{DM}$,,,1.0
#: Data-taking period,,,2016
Recoil (GeV),Recoil (GeV) LOW,Recoil (GeV) HIGH,Signal yield,Sample size +,Sample size -
265.0,250.0,280.0,3033.2,25.174,-25.174
295.0,280.0,310.0,1798.8,19.442,-19.442
325.0,310.0,340.0,1178.1,15.738,-15.738
355.0,340.0,370.0,741.0,12.503,-12.503
385.0,370.0,400.0,477.14,10.016,-10.016
415.0,400.0,430.0,318.23,8.1551,-8.1551
450.0,430.0,470.0,274.66,7.5882,-7.5882
490.0,470.0,510.0,160.57,5.8051,-5.8051
530.0,510.0,550.0,98.421,4.5562,-4.5562
570.0,550.0,590.0,63.765,3.6456,-3.6456
615.0,590.0,640.0,45.808,3.0876,-3.0876
665.0,640.0,690.0,30.761,2.5459,-2.5459
715.0,690.0,740.0,19.717,2.0442,-2.0442
765.0,740.0,790.0,13.116,1.6576,-1.6576
815.0,790.0,840.0,7.6033,1.2645,-1.2645
870.0,840.0,900.0,5.3545,1.0278,-1.0278
930.0,900.0,960.0,3.1805,0.82676,-0.82676
990.0,960.0,1020.0,2.8227,0.79399,-0.79399
1055.0,1020.0,1090.0,1.6086,0.56235,-0.56235
1125.0,1090.0,1160.0,1.4039,0.53901,-0.53901
1205.0,1160.0,1250.0,0.84949,0.4249,-0.4249
1325.0,1250.0,1400.0,0.94722,0.44745,-0.44745

#: Coupling type,,,Pseudoscalar
#: Production mode,,,DM + QCD jets
#: $m_{med}$,,,100.0
#: $m_{DM}$,,,55.0
#: $g_{q}$,,,1.0
#: $g_{DM}$,,,1.0
#: Data-taking period,,,2016
Recoil (GeV),Recoil (GeV) LOW,Recoil (GeV) HIGH,Signal yield,Sample size +,Sample size -
265.0,250.0,280.0,185.5,1.3668,-1.3668
295.0,280.0,310.0,125.32,1.1272,-1.1272
325.0,310.0,340.0,83.498,0.92047,-0.92047
355.0,340.0,370.0,56.632,0.75789,-0.75789
385.0,370.0,400.0,39.649,0.63423,-0.63423
415.0,400.0,430.0,27.662,0.52897,-0.52897
450.0,430.0,470.0,23.308,0.48623,-0.48623
490.0,470.0,510.0,14.947,0.38848,-0.38848
530.0,510.0,550.0,10.06,0.3193,-0.3193
570.0,550.0,590.0,6.3877,0.25811,-0.25811
615.0,590.0,640.0,4.8543,0.22202,-0.22202
665.0,640.0,690.0,3.1647,0.17915,-0.17915
715.0,690.0,740.0,2.0631,0.14454,-0.14454
765.0,740.0,790.0,1.2736,0.11331,-0.11331
815.0,790.0,840.0,0.71608,0.085105,-0.085105
870.0,840.0,900.0,0.5959,0.076459,-0.076459
930.0,900.0,960.0,0.32204,0.058453,-0.058453
990.0,960.0,1020.0,0.34682,0.059525,-0.059525
1055.0,1020.0,1090.0,0.11449,0.034599,-0.034599
1125.0,1090.0,1160.0,0.062868,0.025414,-0.025414
1205.0,1160.0,1250.0,1.3069e-05,1.3069e-05,-1.3069e-05
1325.0,1250.0,1400.0,0.024464,0.015113,-0.015113

#: Coupling type,,,Pseudoscalar
#: Production mode,,,DM + QCD jets
#: $m_{med}$,,,10.0
#: $m_{DM}$,,,1.0
#: $g_{q}$,,,1.0
#: $g_{DM}$,,,1.0
#: Data-taking period,,,2016
Recoil (GeV),Recoil (GeV) LOW,Recoil (GeV) HIGH,Signal yield,Sample size +,Sample size -
265.0,250.0,280.0,3412.9,32.769,-32.769
295.0,280.0,310.0,2062.2,25.525,-25.525
325.0,310.0,340.0,1268.2,20.071,-20.071
355.0,340.0,370.0,794.15,15.896,-15.896
385.0,370.0,400.0,511.79,12.733,-12.733
415.0,400.0,430.0,329.48,10.22,-10.22
450.0,430.0,470.0,285.82,9.5088,-9.5088
490.0,470.0,510.0,183.3,7.629,-7.629
530.0,510.0,550.0,115.86,6.0713,-6.0713
570.0,550.0,590.0,69.285,4.6902,-4.6902
615.0,590.0,640.0,59.247,4.3304,-4.3304
665.0,640.0,690.0,27.784,2.9453,-2.9453
715.0,690.0,740.0,16.072,2.2577,-2.2577
765.0,740.0,790.0,11.309,1.9141,-1.9141
815.0,790.0,840.0,7.9661,1.5739,-1.5739
870.0,840.0,900.0,5.771,1.4092,-1.4092
930.0,900.0,960.0,2.8769,0.94334,-0.94334
990.0,960.0,1020.0,1.6364,0.70564,-0.70564
1055.0,1020.0,1090.0,1.6018,0.71946,-0.71946
1125.0,1090.0,1160.0,1.8398,0.75759,-0.75759
1205.0,1160.0,1250.0,0.34291,0.34291,-0.34291
1325.0,1250.0,1400.0,1.2165,0.60936,-0.60936

#: Coupling type,,,Pseudoscalar
#: Production mode,,,DM + QCD jets
#: $m_{med}$,,,10.0
#: $m_{DM}$,,,4.0
#: $g_{q}$,,,1.0
#: $g_{DM}$,,,1.0
#: Data-taking period,,,2016
Recoil (GeV),Recoil (GeV) LOW,Recoil (GeV) HIGH,Signal yield,Sample size +,Sample size -
265.0,250.0,280.0,3422.0,32.402,-32.402
295.0,280.0,310.0,2064.5,25.248,-25.248
325.0,310.0,340.0,1233.7,19.533,-19.533
355.0,340.0,370.0,789.1,15.636,-15.636
385.0,370.0,400.0,504.19,12.476,-12.476
415.0,400.0,430.0,330.55,10.122,-10.122
450.0,430.0,470.0,285.84,9.3748,-9.3748
490.0,470.0,510.0,173.35,7.3024,-7.3024
530.0,510.0,550.0,118.42,6.0816,-6.0816
570.0,550.0,590.0,59.631,4.3128,-4.3128
615.0,590.0,640.0,48.308,3.8745,-3.8745
665.0,640.0,690.0,30.261,3.0572,-3.0572
715.0,690.0,740.0,15.805,2.2317,-2.2317
765.0,740.0,790.0,14.784,2.1495,-2.1495
815.0,790.0,840.0,8.5133,1.6282,-1.6282
870.0,840.0,900.0,2.4659,0.86937,-0.86937
930.0,900.0,960.0,2.4372,0.86759,-0.86759
990.0,960.0,1020.0,1.5938,0.7073,-0.7073
1055.0,1020.0,1090.0,0.98524,0.5694,-0.5694
1125.0,1090.0,1160.0,0.92167,0.53703,-0.53703
1205.0,1160.0,1250.0,1.2725,0.63696,-0.63696
1325.0,1250.0,1400.0,0.26549,0.19498,-0.19498

#: Coupling type,,,Pseudoscalar
#: Production mode,,,DM + QCD jets
#: $m_{med}$,,,10.0
#: $m_{DM}$,,,6.0
#: $g_{q}$,,,1.0
#: $g_{DM}$,,,1.0
#: Data-taking period,,,2016
Recoil (GeV),Recoil (GeV) LOW,Recoil (GeV) HIGH,Signal yield,Sample size +,Sample size -
265.0,250.0,280.0,335.54,2.8933,-2.8933
295.0,280.0,310.0,213.13,2.3134,-2.3134
325.0,310.0,340.0,135.94,1.8501,-1.8501
355.0,340.0,370.0,89.89,1.5037,-1.5037
385.0,370.0,400.0,60.201,1.2282,-1.2282
415.0,400.0,430.0,42.743,1.0355,-1.0355
450.0,430.0,470.0,36.897,0.96263,-0.96263
490.0,470.0,510.0,22.145,0.74706,-0.74706
530.0,510.0,550.0,14.319,0.59831,-0.59831
570.0,550.0,590.0,8.6884,0.4657,-0.4657
615.0,590.0,640.0,6.7344,0.4106,-0.4106
665.0,640.0,690.0,4.5111,0.3378,-0.3378
715.0,690.0,740.0,2.7613,0.26448,-0.26448
765.0,740.0,790.0,1.7548,0.21045,-0.21045
815.0,790.0,840.0,0.93536,0.15042,-0.15042
870.0,840.0,900.0,0.84526,0.14624,-0.14624
930.0,900.0,960.0,0.36347,0.093074,-0.093074
990.0,960.0,1020.0,0.19372,0.069035,-0.069035
1055.0,1020.0,1090.0,0.19282,0.069675,-0.069675
1125.0,1090.0,1160.0,0.099675,0.049816,-0.049816
1205.0,1160.0,1250.0,0.13485,0.060339,-0.060339
1325.0,1250.0,1400.0,0.057164,0.038739,-0.038739

#: Coupling type,,,Pseudoscalar
#: Production mode,,,DM + QCD jets
#: $m_{med}$,,,200.0
#: $m_{DM}$,,,1.0
#: $g_{q}$,,,1.0
#: $g_{DM}$,,,1.0
#: Data-taking period,,,2016
Recoil (GeV),Recoil (GeV) LOW,Recoil (GeV) HIGH,Signal yield,Sample size +,Sample size -
265.0,250.0,280.0,2492.2,17.911,-17.911
295.0,280.0,310.0,1640.5,14.602,-14.602
325.0,310.0,340.0,1089.2,11.889,-11.889
355.0,340.0,370.0,697.81,9.5216,-9.5216
385.0,370.0,400.0,472.84,7.8359,-7.8359
415.0,400.0,430.0,314.36,6.4036,-6.4036
450.0,430.0,470.0,267.88,5.885,-5.885
490.0,470.0,510.0,174.01,4.7667,-4.7667
530.0,510.0,550.0,105.44,3.6973,-3.6973
570.0,550.0,590.0,67.178,2.9481,-2.9481
615.0,590.0,640.0,56.078,2.6971,-2.6971
665.0,640.0,690.0,33.706,2.0916,-2.0916
715.0,690.0,740.0,19.065,1.5724,-1.5724
765.0,740.0,790.0,14.245,1.369,-1.369
815.0,790.0,840.0,8.9495,1.081,-1.081
870.0,840.0,900.0,5.2194,0.82727,-0.82727
930.0,900.0,960.0,3.4886,0.6715,-0.6715
990.0,960.0,1020.0,1.6551,0.468,-0.468
1055.0,1020.0,1090.0,1.8935,0.49787,-0.49787
1125.0,1090.0,1160.0,1.2199,0.40618,-0.40618
1205.0,1160.0,1250.0,0.13491,0.13491,-0.13491
1325.0,1250.0,1400.0,0.38114,0.22076,-0.22076

#: Coupling type,,,Pseudoscalar
#: Production mode,,,DM + QCD jets
#: $m_{med}$,,,300.0
#: $m_{DM}$,,,1.0
#: $g_{q}$,,,1.0
#: $g_{DM}$,,,1.0
#: Data-taking period,,,2016
Recoil (GeV),Recoil (GeV) LOW,Recoil (GeV) HIGH,Signal yield,Sample size +,Sample size -
265.0,250.0,280.0,2452.3,16.173,-16.173
295.0,280.0,310.0,1704.9,13.542,-13.542
325.0,310.0,340.0,1192.4,11.325,-11.325
355.0,340.0,370.0,813.66,9.3644,-9.3644
385.0,370.0,400.0,569.09,7.8246,-7.8246
415.0,400.0,430.0,392.64,6.485,-6.485
450.0,430.0,470.0,340.84,6.0411,-6.0411
490.0,470.0,510.0,206.9,4.7079,-4.7079
530.0,510.0,550.0,126.05,3.6763,-3.6763
570.0,550.0,590.0,87.79,3.0694,-3.0694
615.0,590.0,640.0,66.741,2.6849,-2.6849
665.0,640.0,690.0,40.937,2.1068,-2.1068
715.0,690.0,740.0,25.488,1.6537,-1.6537
765.0,740.0,790.0,14.898,1.2617,-1.2617
815.0,790.0,840.0,10.919,1.0763,-1.0763
870.0,840.0,900.0,8.0248,0.92678,-0.92678
930.0,900.0,960.0,4.416,0.6959,-0.6959
990.0,960.0,1020.0,2.711,0.53478,-0.53478
1055.0,1020.0,1090.0,2.4027,0.50868,-0.50868
1125.0,1090.0,1160.0,0.65642,0.26849,-0.26849
1205.0,1160.0,1250.0,0.60288,0.24893,-0.24893
1325.0,1250.0,1400.0,0.63766,0.25258,-0.25258

#: Coupling type,,,Pseudoscalar
#: Production mode,,,DM + QCD jets
#: $m_{med}$,,,350.0
#: $m_{DM}$,,,1.0
#: $g_{q}$,,,1.0
#: $g_{DM}$,,,1.0
#: Data-taking period,,,2016
Recoil (GeV),Recoil (GeV) LOW,Recoil (GeV) HIGH,Signal yield,Sample size +,Sample size -
265.0,250.0,280.0,2816.8,18.388,-18.388
295.0,280.0,310.0,2018.4,15.616,-15.616
325.0,310.0,340.0,1435.5,13.18,-13.18
355.0,340.0,370.0,999.54,10.992,-10.992
385.0,370.0,400.0,704.7,9.2204,-9.2204
415.0,400.0,430.0,490.08,7.7001,-7.7001
450.0,430.0,470.0,440.86,7.2819,-7.2819
490.0,470.0,510.0,255.34,5.5518,-5.5518
530.0,510.0,550.0,170.19,4.5254,-4.5254
570.0,550.0,590.0,101.01,3.4831,-3.4831
615.0,590.0,640.0,81.946,3.1439,-3.1439
665.0,640.0,690.0,47.579,2.3983,-2.3983
715.0,690.0,740.0,28.967,1.8734,-1.8734
765.0,740.0,790.0,18.999,1.527,-1.527
815.0,790.0,840.0,12.447,1.2345,-1.2345
870.0,840.0,900.0,7.7065,0.96391,-0.96391
930.0,900.0,960.0,4.1828,0.71371,-0.71371
990.0,960.0,1020.0,3.7536,0.66912,-0.66912
1055.0,1020.0,1090.0,1.7818,0.46236,-0.46236
1125.0,1090.0,1160.0,0.63853,0.28604,-0.28604
1205.0,1160.0,1250.0,1.282,0.40724,-0.40724
1325.0,1250.0,1400.0,0.47033,0.23528,-0.23528

#: Coupling type,,,Pseudoscalar
#: Production mode,,,DM + QCD jets
#: $m_{med}$,,,400.0
#: $m_{DM}$,,,1.0
#: $g_{q}$,,,1.0
#: $g_{DM}$,,,1.0
#: Data-taking period,,,2016
Recoil (GeV),Recoil (GeV) LOW,Recoil (GeV) HIGH,Signal yield,Sample size +,Sample size -
265.0,250.0,280.0,1448.8,9.1625,-9.1625
295.0,280.0,310.0,1066.3,7.8975,-7.8975
325.0,310.0,340.0,768.04,6.7034,-6.7034
355.0,340.0,370.0,552.34,5.6814,-5.6814
385.0,370.0,400.0,402.87,4.8446,-4.8446
415.0,400.0,430.0,281.4,4.0513,-4.0513
450.0,430.0,470.0,259.47,3.8853,-3.8853
490.0,470.0,510.0,162.66,3.0777,-3.0777
530.0,510.0,550.0,101.13,2.4256,-2.4256
570.0,550.0,590.0,65.814,1.9506,-1.9506
615.0,590.0,640.0,53.811,1.7722,-1.7722
665.0,640.0,690.0,32.27,1.3746,-1.3746
715.0,690.0,740.0,19.176,1.0588,-1.0588
765.0,740.0,790.0,12.061,0.84208,-0.84208
815.0,790.0,840.0,6.6868,0.62929,-0.62929
870.0,840.0,900.0,5.5537,0.56359,-0.56359
930.0,900.0,960.0,3.3525,0.44638,-0.44638
