#: table_doi: 10.17182/hepdata.106115.v2/t21
#: name: Cut flow for Monojet, DM, spin-0 mediator
#: description: Unweighted signal acceptance times efficiency at every cut stage. The requirements called "HCAL mitigation" refer to the requirements imposed in the 2018 data set in order to mitigate the localized failure of the HCAL detector.
#: data_file: cut_flow_for_monojet,_dm,_spin-0_mediator.yaml
#: keyword reactions: P P --> INVISIBLE JET
#: keyword phrases: Dark matter | DM | DMsimp | Simplified model
#: keyword cmenergies: 13000.0
#: Coupling,Scalar
#: Mode,$\chi\chi+j$
#: $m_{med}$,10.0
#: $m_{DM}$,6.0
#: $g_{\chi}$,1.0
#: $g_{q}$,1.0
#: Data-taking period,2017
Cut stage,Fraction of passing events
Full sample,1.0
Trigger emulation,0.47423
$p_{T}^{miss} > 250$ GeV,0.1023
$p_{T}^{miss}$ quality filters,0.10214
Electron veto,0.10193
Muon veto,0.10165
Tau veto,0.099391
B jet veto,0.099391
Photon veto,0.098979
"$\Delta\phi(jet,p_{T}^{miss}) > 0.5$ rad",0.092891
$\Delta p_{T}^{miss}$ (PF-Calorimeter) $< 0.5$ rad,0.092039
Leading AK4 jet $p_{T} > 100$ GeV,0.08088
Leading AK4 jet $\eta < 2.4$,0.08088
Leading AK4 jet energy fractions,0.080446
Mono-V overlap removal,0.076855
HCAL mitigation (jets),0.076855
HCAL mitigation ($\phi^{miss}$),0.076855
"$\Delta\phi(\mathrm{PF},\mathrm{Charged}) < 2.0$ rad",0.076843

#: Coupling,Pseudoscalar
#: Mode,$\chi\chi$+Z(qq)
#: $m_{med}$,500.0
#: $m_{DM}$,150.0
#: $g_{\chi}$,1.0
#: $g_{q}$,1.0
#: Data-taking period,2017
Cut stage,Fraction of passing events
Full sample,1.0
Trigger emulation,0.73843
$p_{T}^{miss} > 250$ GeV,0.47778
$p_{T}^{miss}$ quality filters,0.47646
Electron veto,0.46666
Muon veto,0.45743
Tau veto,0.43548
B jet veto,0.43548
Photon veto,0.43304
"$\Delta\phi(jet,p_{T}^{miss}) > 0.5$ rad",0.38538
$\Delta p_{T}^{miss}$ (PF-Calorimeter) $< 0.5$ rad,0.38468
Leading AK4 jet $p_{T} > 100$ GeV,0.37522
Leading AK4 jet $\eta < 2.4$,0.37522
Leading AK4 jet energy fractions,0.37184
Mono-V overlap removal,0.2353
HCAL mitigation (jets),0.2353
HCAL mitigation ($\phi^{miss}$),0.2353
"$\Delta\phi(\mathrm{PF},\mathrm{Charged}) < 2.0$ rad",0.23513

#: Coupling,Scalar
#: Mode,$\chi\chi$+Z(qq)
#: $m_{med}$,500.0
#: $m_{DM}$,1.0
#: $g_{\chi}$,1.0
#: $g_{q}$,1.0
#: Data-taking period,2018
Cut stage,Fraction of passing events
Full sample,1.0
Trigger emulation,0.72333
$p_{T}^{miss} > 250$ GeV,0.47059
$p_{T}^{miss}$ quality filters,0.46966
Electron veto,0.46044
Muon veto,0.45138
Tau veto,0.4298
B jet veto,0.4298
Photon veto,0.42743
"$\Delta\phi(jet,p_{T}^{miss}) > 0.5$ rad",0.38139
$\Delta p_{T}^{miss}$ (PF-Calorimeter) $< 0.5$ rad,0.38107
Leading AK4 jet $p_{T} > 100$ GeV,0.3725
Leading AK4 jet $\eta < 2.4$,0.3725
Leading AK4 jet energy fractions,0.3691
Mono-V overlap removal,0.23314
HCAL mitigation (jets),0.22078
HCAL mitigation ($\phi^{miss}$),0.19486
"$\Delta\phi(\mathrm{PF},\mathrm{Charged}) < 2.0$ rad",0.19474

#: Coupling,Scalar
#: Mode,$\chi\chi$+Z(qq)
#: $m_{med}$,50.0
#: $m_{DM}$,20.0
#: $g_{\chi}$,1.0
#: $g_{q}$,1.0
#: Data-taking period,2018
Cut stage,Fraction of passing events
Full sample,1.0
Trigger emulation,0.6678
$p_{T}^{miss} > 250$ GeV,0.33233
$p_{T}^{miss}$ quality filters,0.33185
Electron veto,0.32586
Muon veto,0.31982
Tau veto,0.30423
B jet veto,0.30423
Photon veto,0.30264
"$\Delta\phi(jet,p_{T}^{miss}) > 0.5$ rad",0.27342
$\Delta p_{T}^{miss}$ (PF-Calorimeter) $< 0.5$ rad,0.2731
Leading AK4 jet $p_{T} > 100$ GeV,0.26498
Leading AK4 jet $\eta < 2.4$,0.26498
Leading AK4 jet energy fractions,0.26251
Mono-V overlap removal,0.17286
HCAL mitigation (jets),0.16377
HCAL mitigation ($\phi^{miss}$),0.14117
"$\Delta\phi(\mathrm{PF},\mathrm{Charged}) < 2.0$ rad",0.14107

#: Coupling,Pseudoscalar
#: Mode,$\chi\chi+j$
#: $m_{med}$,500.0
#: $m_{DM}$,225.0
#: $g_{\chi}$,1.0
#: $g_{q}$,1.0
#: Data-taking period,2018
Cut stage,Fraction of passing events
Full sample,1.0
Trigger emulation,0.64183
$p_{T}^{miss} > 250$ GeV,0.27278
$p_{T}^{miss}$ quality filters,0.2725
Electron veto,0.27187
Muon veto,0.27121
Tau veto,0.26481
B jet veto,0.26481
Photon veto,0.26326
"$\Delta\phi(jet,p_{T}^{miss}) > 0.5$ rad",0.24566
