#: table_doi: 10.17182/hepdata.106115.v2/t32
#: name: Cut flow for Mono-V (high purity), DM, spin-1 mediator
#: description: Unweighted signal acceptance times efficiency at every cut stage. The requirements called "HCAL mitigation" refer to the requirements imposed in the 2018 data set in order to mitigate the localized failure of the HCAL detector.
#: data_file: cut_flow_for_mono-v_(high_purity),_dm,_spin-1_mediator.yaml
#: keyword reactions: P P --> INVISIBLE JET JET
#: keyword phrases: Dark matter | DM | DMsimp | Simplified model
#: keyword cmenergies: 13000.0
#: Coupling,Axial
#: Mode,$\chi\chi+j$
#: $m_{med}$,2000.0
#: $m_{DM}$,800.0
#: $g_{\chi}$,1.0
#: $g_{q}$,0.25
#: Data-taking period,2017
Cut stage,Fraction of passing events
Full sample,1.0
Trigger emulation,0.90173
$p_{T}^{miss} > 250$ GeV,0.46315
$p_{T}^{miss}$ quality filters,0.46228
Electron veto,0.46125
Muon veto,0.46006
Tau veto,0.45011
B jet veto,0.45011
Photon veto,0.44624
"$\Delta\phi(jet,p_{T}^{miss}) > 0.5$ rad",0.41586
$\Delta p_{T}^{miss}$ (PF-Calorimeter) $< 0.5$ rad,0.4141
Leading AK8 jet $p_{T} > 200$ GeV and $\eta < 2.4$,0.3105
Leading AK8 jet energy fractions,0.3105
Leading AK8 jet $65<m_{SD}<105$ GeV,0.038476
HCAL mitigation (jets),0.038476
HCAL mitigation ($\phi^{miss}$),0.038476
"$\Delta\phi(\mathrm{PF},\mathrm{Charged}) < 2.0$ rad",0.038467
Leading AK8 jet DeepAK8 tag (high-purity),0.0011845

#: Coupling,Axial
#: Mode,$\chi\chi+j$
#: $m_{med}$,250.0
#: $m_{DM}$,75.0
#: $g_{\chi}$,1.0
#: $g_{q}$,0.25
#: Data-taking period,2017
Cut stage,Fraction of passing events
Full sample,1.0
Trigger emulation,0.86966
$p_{T}^{miss} > 250$ GeV,0.25827
$p_{T}^{miss}$ quality filters,0.25794
Electron veto,0.25737
Muon veto,0.25666
Tau veto,0.25078
B jet veto,0.25078
Photon veto,0.24926
"$\Delta\phi(jet,p_{T}^{miss}) > 0.5$ rad",0.22941
$\Delta p_{T}^{miss}$ (PF-Calorimeter) $< 0.5$ rad,0.22811
Leading AK8 jet $p_{T} > 200$ GeV and $\eta < 2.4$,0.15173
Leading AK8 jet energy fractions,0.15173
Leading AK8 jet $65<m_{SD}<105$ GeV,0.016006
HCAL mitigation (jets),0.016006
HCAL mitigation ($\phi^{miss}$),0.016006
"$\Delta\phi(\mathrm{PF},\mathrm{Charged}) < 2.0$ rad",0.016
Leading AK8 jet DeepAK8 tag (high-purity),0.0008257

#: Coupling,Vector
#: Mode,$\chi\chi+j$
#: $m_{med}$,750.0
#: $m_{DM}$,1.0
#: $g_{\chi}$,1.0
#: $g_{q}$,0.25
#: Data-taking period,2017
Cut stage,Fraction of passing events
Full sample,1.0
Trigger emulation,0.89184
$p_{T}^{miss} > 250$ GeV,0.38434
$p_{T}^{miss}$ quality filters,0.3837
Electron veto,0.38289
Muon veto,0.38178
Tau veto,0.37346
B jet veto,0.37346
Photon veto,0.37057
"$\Delta\phi(jet,p_{T}^{miss}) > 0.5$ rad",0.3435
$\Delta p_{T}^{miss}$ (PF-Calorimeter) $< 0.5$ rad,0.34191
Leading AK8 jet $p_{T} > 200$ GeV and $\eta < 2.4$,0.24798
Leading AK8 jet energy fractions,0.24798
Leading AK8 jet $65<m_{SD}<105$ GeV,0.029097
HCAL mitigation (jets),0.029097
HCAL mitigation ($\phi^{miss}$),0.029097
"$\Delta\phi(\mathrm{PF},\mathrm{Charged}) < 2.0$ rad",0.029091
Leading AK8 jet DeepAK8 tag (high-purity),0.0010542

#: Coupling,Axial
#: Mode,$\chi\chi+j$
