#: table_doi: 10.17182/hepdata.106115.v2/t43
#: name: 2D exclusion contour, vector, Expected minus 1 s.d.
#: description: Expected minus 1 s.d. exclusion contour in the $m_{med}$-$m_{\chi}$ plane in the simplified model with vector couplings.
#: data_file: 2d_exclusion_contour,_vector,_expected_minus_1_s.d..yaml
#: keyword reactions: P P --> INVISIBLE JET | P P --> INVISIBLE JET JET | P P --> INVISIBLE W+ | P P --> INVISIBLE W- | P P --> INVISIBLE Z0
#: keyword phrases: Dark matter | DM | DMsimp | Simplified model
#: keyword observables: CLS | SIG
#: keyword cmenergies: 13000.0
#: $g_{q}$,0.25
#: $g_{\chi}$,1.0
#: Coupling type,Vector
#: Integrated luminosity [fb$^{-1}$],137
$m_{med}$ [GeV],$m_{\chi}$ [GeV]
0.0,167.09
30.303,155.22
39.837,151.52
60.606,145.04
90.909,141.2
105.24,151.52
121.21,166.38
135.59,181.82
151.52,201.14
163.21,212.12
181.82,231.79
199.49,242.42
212.12,251.02
242.42,250.91
272.73,246.07
303.03,247.65
333.33,254.62
363.64,262.93
393.94,269.9
403.48,272.73
424.24,279.65
454.55,288.42
484.85,295.69
513.51,303.03
515.15,303.53
545.45,315.0
575.76,324.41
606.06,330.23
629.46,333.33
636.36,334.62
666.67,342.93
696.97,353.64
727.27,362.29
732.26,363.64
757.58,374.66
787.88,386.47
814.64,393.94
818.18,395.5
848.48,411.25
878.79,422.69
882.87,424.24
909.09,444.86
927.3,454.55
939.39,463.35
969.7,480.53
977.46,484.85
1000.0,498.68
1028.4,515.15
1030.3,516.41
1060.6,533.15
1090.9,544.67
1093.4,545.45
1121.2,555.63
1151.5,568.87
1163.7,575.76
1181.8,585.54
1212.1,602.23
1220.0,606.06
1242.4,616.93
1272.7,628.12
1299.2,636.36
1303.0,637.8
1333.3,645.61
1363.6,656.23
1390.3,666.67
1393.9,668.18
1424.2,683.22
1454.5,695.72
1458.1,696.97
1484.8,707.75
1515.2,720.38
1534.7,727.27
1545.5,731.35
1575.8,743.29
1606.1,753.66
1619.1,757.58
1636.4,764.18
1666.7,775.72
1697.0,785.0
1705.7,787.88
1727.3,797.1
1757.6,807.56
1787.9,817.44
1789.8,818.18
1818.2,830.58
1848.5,841.57
1865.7,848.48
1878.8,854.45
1909.1,866.76
1939.4,878.79
1939.4,878.79
1969.7,890.45
2000.0,900.94
2024.0,909.09
2030.3,911.21
2060.6,918.95
2090.9,925.64
2121.2,932.73
2139.4,939.39
2151.5,942.28
2181.8,948.19
2212.1,953.69
2242.4,964.68
2260.4,969.7
2272.7,970.97
2303.0,970.02
2304.4,969.7
2303.5,939.39
2305.7,909.09
2315.7,878.79
2324.7,848.48
2332.1,818.18
2333.3,812.5
2338.6,787.88
2343.7,757.58
2347.5,727.27
2350.5,696.97
2353.3,666.67
2355.7,636.36
2357.6,606.06
2359.2,575.76
2360.6,545.45
2361.7,515.15
2362.6,484.85
2363.3,454.55
2363.6,436.59
2363.9,424.24
2364.3,393.94
2364.8,363.64
2365.0,333.33
2365.1,303.03
2365.3,272.73
2365.5,242.42
2365.6,212.12
2365.7,181.82
2365.8,151.52
2365.6,121.21
2364.3,90.909
2363.6,74.121
2363.1,60.606
2363.3,30.303
2363.6,26.67
2366.1,0.0

