#: table_doi: 10.17182/hepdata.106115.v2/t29
#: name: Cut flow for Mono-V (low purity), Leptoquark
#: description: Unweighted signal acceptance times efficiency at every cut stage. The requirements called "HCAL mitigation" refer to the requirements imposed in the 2018 data set in order to mitigate the localized failure of the HCAL detector.
#: data_file: cut_flow_for_mono-v_(low_purity),_leptoquark.yaml
#: keyword reactions: P P --> INVISIBLE JET JET
#: keyword phrases: Leptoquark | LQ
#: keyword cmenergies: 13000.0
#: $M_{LQ}$ [GeV],1250.0
#: $\lambda$,0.7
#: Data-taking period,2018
Cut stage,Fraction of passing events
Full sample,1.0
Trigger emulation,0.95446
$p_{T}^{miss} > 250$ GeV,0.88144
$p_{T}^{miss}$ quality filters,0.8783
Electron veto,0.87564
Muon veto,0.87348
Tau veto,0.85646
B jet veto,0.85646
Photon veto,0.84234
"$\Delta\phi(jet,p_{T}^{miss}) > 0.5$ rad",0.73734
$\Delta p_{T}^{miss}$ (PF-Calorimeter) $< 0.5$ rad,0.7372
Leading AK8 jet $p_{T} > 200$ GeV and $\eta < 2.4$,0.71154
Leading AK8 jet energy fractions,0.71154
Leading AK8 jet $65<m_{SD}<105$ GeV,0.07546
HCAL mitigation (jets),0.0713
HCAL mitigation ($\phi^{miss}$),0.06764
"$\Delta\phi(\mathrm{PF},\mathrm{Charged}) < 2.0$ rad",0.06762
Leading AK8 jet DeepAK8 tag (low-purity),0.03218

#: $M_{LQ}$ [GeV],1500.0
#: $\lambda$,0.7
#: Data-taking period,2017
Cut stage,Fraction of passing events
Full sample,1.0
Trigger emulation,0.95924
$p_{T}^{miss} > 250$ GeV,0.90304
$p_{T}^{miss}$ quality filters,0.89872
Electron veto,0.89568
Muon veto,0.8934
Tau veto,0.8734
B jet veto,0.8734
Photon veto,0.85964
"$\Delta\phi(jet,p_{T}^{miss}) > 0.5$ rad",0.74588
$\Delta p_{T}^{miss}$ (PF-Calorimeter) $< 0.5$ rad,0.7456
Leading AK8 jet $p_{T} > 200$ GeV and $\eta < 2.4$,0.72424
Leading AK8 jet energy fractions,0.72424
Leading AK8 jet $65<m_{SD}<105$ GeV,0.07308
HCAL mitigation (jets),0.07308
HCAL mitigation ($\phi^{miss}$),0.07308
"$\Delta\phi(\mathrm{PF},\mathrm{Charged}) < 2.0$ rad",0.073
Leading AK8 jet DeepAK8 tag (low-purity),0.03232

#: $M_{LQ}$ [GeV],1500.0
#: $\lambda$,0.5
#: Data-taking period,2018
Cut stage,Fraction of passing events
Full sample,1.0
Trigger emulation,0.96484
$p_{T}^{miss} > 250$ GeV,0.9146
$p_{T}^{miss}$ quality filters,0.91076
Electron veto,0.9072
Muon veto,0.905
Tau veto,0.88396
B jet veto,0.88396
Photon veto,0.86912
"$\Delta\phi(jet,p_{T}^{miss}) > 0.5$ rad",0.75324
$\Delta p_{T}^{miss}$ (PF-Calorimeter) $< 0.5$ rad,0.75316
Leading AK8 jet $p_{T} > 200$ GeV and $\eta < 2.4$,0.73348
Leading AK8 jet energy fractions,0.73348
Leading AK8 jet $65<m_{SD}<105$ GeV,0.075
HCAL mitigation (jets),0.0718
HCAL mitigation ($\phi^{miss}$),0.06964
"$\Delta\phi(\mathrm{PF},\mathrm{Charged}) < 2.0$ rad",0.06956
Leading AK8 jet DeepAK8 tag (low-purity),0.03168

#: $M_{LQ}$ [GeV],1500.0
#: $\lambda$,0.7
#: Data-taking period,2018
Cut stage,Fraction of passing events
Full sample,1.0
Trigger emulation,0.95396
$p_{T}^{miss} > 250$ GeV,0.89964
$p_{T}^{miss}$ quality filters,0.89524
Electron veto,0.89228
Muon veto,0.88988
Tau veto,0.8712
B jet veto,0.8712
Photon veto,0.8566
