#: table_doi: 10.17182/hepdata.106115.v2/t52
#: name: 2D exclusion contour, fermion portal, Observed
#: description: Observed exclusion contour in the $m_{med}$-$m_{\chi}$ plane in the fermion portal model.
#: data_file: 2d_exclusion_contour,_fermion_portal,_observed.yaml
#: keyword reactions: P P --> INVISIBLE JET | P P --> INVISIBLE JET JET
#: keyword phrases: Dark matter | DM | DMsimp | Simplified model | T-channel | S3D-UR
#: keyword observables: CLS | SIG
#: keyword cmenergies: 13000.0
#: Integrated luminosity [fb$^{-1}$],137
$m_{\Phi}$ [GeV],$m_{\chi}$ [GeV]
0.0,2.5253
22.727,25.253
25.253,27.778
47.98,50.505
50.505,53.03
73.232,75.758
75.758,78.283
98.485,101.01
101.01,103.54
123.74,126.26
126.26,128.79
149.02,151.52
151.52,154.01
174.31,176.77
176.77,179.23
199.61,202.02
202.02,204.43
224.92,227.27
227.27,229.62
250.26,252.53
252.53,254.79
275.62,277.78
277.78,279.93
301.01,303.03
303.03,305.05
326.42,328.28
328.28,330.15
351.84,353.54
353.54,355.23
377.28,378.79
378.79,380.3
402.72,404.04
404.04,405.36
428.17,429.29
429.29,430.42
453.6,454.55
454.55,455.49
479.01,479.8
479.8,480.58
504.42,505.05
505.05,505.69
529.81,530.3
530.3,530.79
555.22,555.56
555.56,555.89
580.63,580.81
580.81,580.99
606.04,606.06
606.06,606.08
614.89,606.06
631.31,600.02
656.57,591.57
681.82,584.05
693.83,580.81
707.07,577.31
732.32,571.12
757.58,564.49
782.83,555.67
783.14,555.56
808.08,546.2
833.33,537.06
852.46,530.3
858.59,528.06
883.84,519.07
909.09,510.26
924.49,505.05
934.34,501.6
959.6,493.12
984.85,485.0
1001.9,479.8
1010.1,477.16
1035.4,469.42
1060.6,461.86
1085.3,454.55
1085.9,454.37
1111.1,446.52
1136.4,438.53
1161.6,430.34
1164.7,429.29
1186.9,421.24
1212.1,410.26
1223.6,404.04
1237.4,395.14
1262.1,378.79
1262.6,378.39
1287.9,359.36
1295.4,353.54
1313.1,338.26
1324.4,328.28
1338.4,314.28
1349.3,303.03
1363.6,286.03
1370.4,277.78
1388.4,252.53
1388.9,251.78
1403.9,227.27
1414.1,207.37
1416.9,202.02
1427.9,176.77
1436.5,151.52
1439.4,140.57
1443.4,126.26
1448.7,101.01
1452.9,75.758
1456.8,50.505
1461.9,25.253
1464.6,17.312
1470.7,0.0

