#: table_doi: 10.17182/hepdata.106115.v2/t48
#: name: Signal strength limits, scalar mediator
#: description: Exclusion limits on the signal strength in the simplified model with scalar couplings.
#: data_file: signal_strength_limits,_scalar_mediator.yaml
#: keyword reactions: P P --> INVISIBLE JET | P P --> INVISIBLE JET JET | P P --> INVISIBLE Z0
#: keyword phrases: Dark matter | DM | DMsimp | Simplified model
#: keyword observables: CLS | SIG
#: keyword cmenergies: 13000.0
#: Quantile,Observed
#: Mediator,scalar
#: $g_{q}$,1.0
#: $g_{\chi}$,1.0
#: $m_{DM}$ [GeV],1.0
#: Integrated luminosity [fb$^{-1}$],137
$m_{med}$ [GeV],Signal strength limit
50.0,1.7372
100.0,1.5364
200.0,1.4527
300.0,1.4626
350.0,1.1239
400.0,1.1818
450.0,1.4782
500.0,1.8754
600.0,3.417
700.0,5.5856
800.0,8.6012

#: Quantile,Median expected
#: Mediator,scalar
#: $g_{q}$,1.0
#: $g_{\chi}$,1.0
#: $m_{DM}$ [GeV],1.0
#: Integrated luminosity [fb$^{-1}$],137
$m_{med}$ [GeV],Signal strength limit
50.0,1.2969
100.0,1.332
200.0,1.3789
300.0,1.2969
350.0,1.1445
400.0,1.1875
450.0,1.3945
500.0,1.7031
600.0,2.5703
700.0,3.8281
800.0,5.7031

#: Quantile,Expected plus 1 s.d.
#: Mediator,scalar
#: $g_{q}$,1.0
#: $g_{\chi}$,1.0
#: $m_{DM}$ [GeV],1.0
#: Integrated luminosity [fb$^{-1}$],137
$m_{med}$ [GeV],Signal strength limit
50.0,1.8138
100.0,1.8577
200.0,1.934
300.0,1.819
350.0,1.6053
400.0,1.6656
450.0,1.956
500.0,2.3888
600.0,3.6153
700.0,5.3998
800.0,8.0446

#: Quantile,Expected plus 2 s.d.
#: Mediator,scalar
#: $g_{q}$,1.0
#: $g_{\chi}$,1.0
#: $m_{DM}$ [GeV],1.0
#: Integrated luminosity [fb$^{-1}$],137
$m_{med}$ [GeV],Signal strength limit
50.0,2.4378
100.0,2.5001
200.0,2.5959
300.0,2.4414
350.0,2.1693
400.0,2.2507
450.0,2.6431
500.0,3.228
600.0,4.9116
700.0,7.3257
800.0,10.986

#: Quantile,Expected minus 1 s.d.
#: Mediator,scalar
#: $g_{q}$,1.0
#: $g_{\chi}$,1.0
#: $m_{DM}$ [GeV],1.0
#: Integrated luminosity [fb$^{-1}$],137
$m_{med}$ [GeV],Signal strength limit
50.0,0.9326
100.0,0.95789
200.0,0.99159
300.0,0.9326
350.0,0.82305
400.0,0.85395
450.0,1.0028
500.0,1.2186
600.0,1.8484
700.0,2.7529
800.0,4.0876

#: Quantile,Expected minus 2 s.d.
#: Mediator,scalar
#: $g_{q}$,1.0
#: $g_{\chi}$,1.0
#: $m_{DM}$ [GeV],1.0
#: Integrated luminosity [fb$^{-1}$],137
$m_{med}$ [GeV],Signal strength limit
50.0,0.6991
100.0,0.71805
200.0,0.74332
300.0,0.6991
350.0,0.61697
400.0,0.64014
450.0,0.75174
500.0,0.91809
600.0,1.3856
700.0,2.0636
800.0,3.0521

