#: table_doi: 10.17182/hepdata.106115.v2/t4
#: name: Signal templates, LQ, Monojet
#: description: Differential signal yields for various signal hypotheses.
#: data_file: signal_templates,_lq,_monojet.yaml
#: keyword observables: N
#: keyword reactions: P P --> INVISIBLE JET
#: keyword cmenergies: 13000.0
#: $\lambda$,,,0
#: $m_{LQ}$ [GeV],,,1000
#: Data-taking period,,,2016
Recoil (GeV),Recoil (GeV) LOW,Recoil (GeV) HIGH,Signal yield,Sample size +,Sample size -
265.0,250.0,280.0,2.1675,0.07761,-0.07761
295.0,280.0,310.0,2.4992,0.083922,-0.083922
325.0,310.0,340.0,2.8035,0.089059,-0.089059
355.0,340.0,370.0,3.0523,0.093652,-0.093652
385.0,370.0,400.0,3.3463,0.097773,-0.097773
415.0,400.0,430.0,3.3819,0.097816,-0.097816
450.0,430.0,470.0,4.6529,0.11531,-0.11531
490.0,470.0,510.0,4.872,0.1181,-0.1181
530.0,510.0,550.0,4.7584,0.11652,-0.11652
570.0,550.0,590.0,4.5481,0.11394,-0.11394
615.0,590.0,640.0,5.2537,0.12257,-0.12257
665.0,640.0,690.0,4.8713,0.11801,-0.11801
715.0,690.0,740.0,4.6735,0.11618,-0.11618
765.0,740.0,790.0,4.1303,0.10846,-0.10846
815.0,790.0,840.0,4.001,0.10722,-0.10722
870.0,840.0,900.0,4.3373,0.1113,-0.1113
930.0,900.0,960.0,3.4026,0.098713,-0.098713
990.0,960.0,1020.0,2.6698,0.087104,-0.087104
1055.0,1020.0,1090.0,1.8435,0.073081,-0.073081
1125.0,1090.0,1160.0,1.1571,0.058427,-0.058427
1205.0,1160.0,1250.0,0.75898,0.048447,-0.048447
1325.0,1250.0,1400.0,0.75847,0.051149,-0.051149

#: $\lambda$,,,0
#: $m_{LQ}$ [GeV],,,1000
#: Data-taking period,,,2016
Recoil (GeV),Recoil (GeV) LOW,Recoil (GeV) HIGH,Signal yield,Sample size +,Sample size -
265.0,250.0,280.0,5.8911,0.18409,-0.18409
295.0,280.0,310.0,6.572,0.19603,-0.19603
325.0,310.0,340.0,7.6953,0.21211,-0.21211
355.0,340.0,370.0,8.5674,0.22384,-0.22384
385.0,370.0,400.0,9.2616,0.233,-0.233
415.0,400.0,430.0,10.044,0.24215,-0.24215
