#: table_doi: 10.17182/hepdata.106115.v2/t37
#: name: 2D exclusion contour, axial, Observed
#: description: Observed exclusion contour in the $m_{med}$-$m_{\chi}$ plane in the simplified model with axial couplings.
#: data_file: 2d_exclusion_contour,_axial,_observed.yaml
#: keyword reactions: P P --> INVISIBLE JET | P P --> INVISIBLE JET JET | P P --> INVISIBLE W+ | P P --> INVISIBLE W- | P P --> INVISIBLE Z0
#: keyword phrases: Dark matter | DM | DMsimp | Simplified model
#: keyword observables: CLS | SIG
#: keyword cmenergies: 13000.0
#: $g_{q}$,0.25
#: $g_{\chi}$,1.0
#: Coupling type,Axial
#: Integrated luminosity [fb$^{-1}$],137
$m_{med}$ [GeV],$m_{\chi}$ [GeV]
0.0,76.324
30.303,72.866
60.606,67.794
75.26,60.606
90.909,56.82
100.39,60.606
121.21,72.873
151.52,84.548
181.82,89.043
183.94,90.909
212.12,107.24
242.42,111.28
258.03,121.21
272.73,131.25
303.03,138.66
333.01,151.52
333.33,151.75
363.64,166.8
393.94,173.15
405.12,181.82
424.24,194.14
454.55,201.65
471.95,212.12
484.85,220.89
515.15,231.63
538.78,242.42
545.45,246.66
575.76,260.02
603.9,272.73
606.06,274.17
636.36,289.15
666.67,299.21
674.41,303.03
696.97,312.9
727.27,322.96
749.24,333.33
757.58,337.17
787.88,346.03
818.18,356.14
832.03,363.64
848.48,370.02
878.79,378.28
906.76,393.94
909.09,395.32
939.39,404.82
969.7,420.28
976.58,424.24
1000.0,432.42
1030.3,444.71
1047.8,454.55
1060.6,458.6
1090.9,466.47
1121.2,483.88
1123.0,484.85
1151.5,491.87
1181.8,504.5
1201.1,515.15
1212.1,518.27
1242.4,526.01
1272.7,541.4
1281.6,545.45
1303.0,549.22
1333.3,557.93
1363.6,571.55
1374.9,575.76
1393.9,578.61
1424.2,584.91
1454.5,593.13
1484.8,597.9
1515.2,598.91
1545.5,598.73
1575.8,596.35
1606.1,592.31
1636.4,587.09
1666.7,580.28
1682.9,575.76
1697.0,570.75
1727.3,557.41
1749.4,545.45
1757.6,539.78
1787.9,516.63
1789.7,515.15
1818.2,486.45
1819.7,484.85
1842.6,454.55
1848.5,445.5
1861.7,424.24
1877.3,393.94
1878.8,390.6
1890.4,363.64
1901.6,333.33
1909.1,309.54
1911.1,303.03
1919.2,272.73
1926.0,242.42
1931.9,212.12
1936.8,181.82
1939.4,162.66
1940.9,151.52
1944.1,121.21
1945.9,90.909
1946.0,60.606
1946.6,30.303
1950.0,0.0

