#: table_doi: 10.17182/hepdata.106115.v2/t39
#: name: 2D exclusion contour, axial, Expected minus 1 s.d.
#: description: Expected minus 1 s.d. exclusion contour in the $m_{med}$-$m_{\chi}$ plane in the simplified model with axial couplings.
#: data_file: 2d_exclusion_contour,_axial,_expected_minus_1_s.d..yaml
#: keyword reactions: P P --> INVISIBLE JET | P P --> INVISIBLE JET JET | P P --> INVISIBLE W+ | P P --> INVISIBLE W- | P P --> INVISIBLE Z0
#: keyword phrases: Dark matter | DM | DMsimp | Simplified model
#: keyword observables: CLS | SIG
#: keyword cmenergies: 13000.0
#: $g_{q}$,0.25
#: $g_{\chi}$,1.0
#: Coupling type,Axial
#: Integrated luminosity [fb$^{-1}$],137
$m_{med}$ [GeV],$m_{\chi}$ [GeV]
0.0,107.13
30.303,96.635
42.975,90.909
60.606,86.101
90.909,74.303
121.21,85.301
145.3,90.909
151.52,95.532
181.82,102.55
212.12,112.36
242.42,117.73
249.75,121.21
272.73,136.96
303.03,144.44
321.8,151.52
333.33,159.31
363.64,171.28
393.94,180.02
396.8,181.82
424.24,199.26
454.55,208.28
461.49,212.12
484.85,228.15
515.15,238.34
524.08,242.42
545.45,256.01
575.76,267.66
586.98,272.73
606.06,285.45
636.36,298.24
650.13,303.03
666.67,310.56
696.97,322.11
727.27,332.64
728.73,333.33
757.58,346.68
787.88,354.58
810.59,363.64
818.18,366.69
848.48,376.8
878.79,387.99
889.34,393.94
909.09,402.93
939.39,414.99
955.49,424.24
969.7,432.05
1000.0,444.0
1019.7,454.55
1030.3,459.95
1060.6,469.38
1090.9,481.91
1095.9,484.85
1121.2,494.83
1151.5,506.51
1166.1,515.15
1181.8,522.49
1212.1,533.15
1235.9,545.45
1242.4,548.27
1272.7,557.47
1303.0,568.86
1314.7,575.76
1333.3,582.28
1363.6,590.61
1391.7,606.06
1393.9,606.91
1424.2,615.32
1454.5,627.58
1469.3,636.36
1484.8,641.59
1515.2,650.83
1542.7,666.67
1545.5,667.7
1575.8,675.14
1606.1,686.4
1625.3,696.97
1636.4,700.01
1666.7,707.69
1697.0,721.65
1709.2,727.27
1727.3,731.08
1757.6,737.89
1787.9,746.9
1818.2,754.42
1848.5,754.99
1878.8,752.5
1909.1,749.63
1939.4,745.34
1969.7,739.45
2000.0,732.62
2024.7,727.27
2030.3,725.74
2060.6,716.92
2090.9,706.12
2112.5,696.97
2121.2,692.38
2151.5,674.09
2162.5,666.67
2181.8,651.03
2198.7,636.36
2212.1,622.79
2227.7,606.06
2242.4,587.21
2251.0,575.76
2271.0,545.45
2272.7,542.45
2288.2,515.15
2302.9,484.85
2303.0,484.47
2315.6,454.55
2326.9,424.24
2333.3,404.63
2336.8,393.94
2345.4,363.64
2353.0,333.33
2359.6,303.03
2363.6,282.25
2365.5,272.73
2370.6,242.42
2375.0,212.12
2378.8,181.82
2381.9,151.52
2383.9,121.21
2384.0,90.909
2383.7,60.606
2384.8,30.303
2388.8,0.0

