#: table_doi: 10.17182/hepdata.106115.v2/t1
#: name: Signal templates, DMsimp, spin-1, Monojet
#: description: Differential signal yields for various signal hypotheses.
#: data_file: signal_templates,_dmsimp,_spin-1,_monojet.yaml
#: keyword observables: N
#: keyword reactions: P P --> INVISIBLE JET
#: keyword cmenergies: 13000.0
#: Coupling type,,,Axial
#: Production mode,,,DM + QCD jets
#: $m_{med}$,,,1000.0
#: $m_{DM}$,,,1.0
#: $g_{q}$,,,0.25
#: $g_{DM}$,,,1.0
#: Data-taking period,,,2016
Recoil (GeV),Recoil (GeV) LOW,Recoil (GeV) HIGH,Signal yield,Sample size +,Sample size -
265.0,250.0,280.0,3308.0,36.737,-36.737
295.0,280.0,310.0,2627.5,32.532,-32.532
325.0,310.0,340.0,2008.4,28.474,-28.474
355.0,340.0,370.0,1562.6,24.843,-24.843
385.0,370.0,400.0,1244.9,22.035,-22.035
415.0,400.0,430.0,934.28,19.675,-19.675
450.0,430.0,470.0,962.01,19.801,-19.801
490.0,470.0,510.0,730.96,17.191,-17.191
530.0,510.0,550.0,547.16,14.986,-14.986
570.0,550.0,590.0,428.51,13.07,-13.07
615.0,590.0,640.0,398.61,12.518,-12.518
665.0,640.0,690.0,272.39,10.636,-10.636
715.0,690.0,740.0,220.04,9.1914,-9.1914
765.0,740.0,790.0,145.0,8.0709,-8.0709
815.0,790.0,840.0,107.74,6.7958,-6.7958
870.0,840.0,900.0,107.02,6.2705,-6.2705
930.0,900.0,960.0,78.967,5.4209,-5.4209
990.0,960.0,1020.0,52.321,4.4078,-4.4078
1055.0,1020.0,1090.0,41.694,3.8975,-3.8975
1125.0,1090.0,1160.0,28.46,3.2606,-3.2606
1205.0,1160.0,1250.0,26.703,3.001,-3.001
1325.0,1250.0,1400.0,42.8,3.8449,-3.8449

#: Coupling type,,,Axial
#: Production mode,,,DM + QCD jets
#: $m_{med}$,,,1000.0
#: $m_{DM}$,,,300.0
#: $g_{q}$,,,0.25
#: $g_{DM}$,,,1.0
#: Data-taking period,,,2016
Recoil (GeV),Recoil (GeV) LOW,Recoil (GeV) HIGH,Signal yield,Sample size +,Sample size -
265.0,250.0,280.0,2297.3,22.785,-22.785
295.0,280.0,310.0,1690.4,19.949,-19.949
325.0,310.0,340.0,1349.5,17.476,-17.476
355.0,340.0,370.0,1009.4,15.442,-15.442
385.0,370.0,400.0,789.33,13.699,-13.699
415.0,400.0,430.0,615.33,12.015,-12.015
450.0,430.0,470.0,643.84,12.269,-12.269
490.0,470.0,510.0,478.83,10.591,-10.591
530.0,510.0,550.0,368.14,9.2995,-9.2995
570.0,550.0,590.0,272.16,8.0687,-8.0687
615.0,590.0,640.0,249.3,7.7676,-7.7676
665.0,640.0,690.0,180.16,6.6511,-6.6511
715.0,690.0,740.0,136.42,5.7121,-5.7121
765.0,740.0,790.0,101.74,4.8311,-4.8311
815.0,790.0,840.0,71.047,4.1932,-4.1932
870.0,840.0,900.0,68.541,3.905,-3.905
930.0,900.0,960.0,53.571,3.3747,-3.3747
990.0,960.0,1020.0,30.458,2.7903,-2.7903
1055.0,1020.0,1090.0,30.688,2.4671,-2.4671
1125.0,1090.0,1160.0,18.444,2.0375,-2.0375
1205.0,1160.0,1250.0,14.673,1.8887,-1.8887
1325.0,1250.0,1400.0,27.958,2.4831,-2.4831

#: Coupling type,,,Axial
#: Production mode,,,DM + QCD jets
#: $m_{med}$,,,1000.0
#: $m_{DM}$,,,400.0
#: $g_{q}$,,,0.25
#: $g_{DM}$,,,1.0
#: Data-taking period,,,2016
Recoil (GeV),Recoil (GeV) LOW,Recoil (GeV) HIGH,Signal yield,Sample size +,Sample size -
265.0,250.0,280.0,1159.6,12.102,-12.102
295.0,280.0,310.0,881.09,10.608,-10.608
325.0,310.0,340.0,686.38,9.2886,-9.2886
355.0,340.0,370.0,511.03,8.1341,-8.1341
385.0,370.0,400.0,393.99,7.2166,-7.2166
415.0,400.0,430.0,333.49,6.4677,-6.4677
450.0,430.0,470.0,319.42,6.5283,-6.5283
490.0,470.0,510.0,242.51,5.685,-5.685
530.0,510.0,550.0,186.13,4.9183,-4.9183
570.0,550.0,590.0,143.86,4.3163,-4.3163
615.0,590.0,640.0,138.8,4.1703,-4.1703
665.0,640.0,690.0,99.746,3.5801,-3.5801
715.0,690.0,740.0,72.952,3.0478,-3.0478
765.0,740.0,790.0,52.598,2.588,-2.588
815.0,790.0,840.0,39.403,2.2573,-2.2573
870.0,840.0,900.0,36.286,2.0701,-2.0701
930.0,900.0,960.0,26.053,1.8219,-1.8219
990.0,960.0,1020.0,18.898,1.5466,-1.5466
1055.0,1020.0,1090.0,14.265,1.2931,-1.2931
1125.0,1090.0,1160.0,8.0518,1.0435,-1.0435
1205.0,1160.0,1250.0,8.9632,0.99454,-0.99454
1325.0,1250.0,1400.0,16.596,1.3505,-1.3505

#: Coupling type,,,Axial
#: Production mode,,,DM + QCD jets
#: $m_{med}$,,,1000.0
#: $m_{DM}$,,,600.0
#: $g_{q}$,,,0.25
#: $g_{DM}$,,,1.0
#: Data-taking period,,,2016
Recoil (GeV),Recoil (GeV) LOW,Recoil (GeV) HIGH,Signal yield,Sample size +,Sample size -
265.0,250.0,280.0,7.6501,0.074762,-0.074762
295.0,280.0,310.0,5.7209,0.065679,-0.065679
325.0,310.0,340.0,4.6192,0.058638,-0.058638
355.0,340.0,370.0,3.6616,0.052162,-0.052162
385.0,370.0,400.0,2.8146,0.04616,-0.04616
415.0,400.0,430.0,2.2621,0.041407,-0.041407
450.0,430.0,470.0,2.4515,0.042399,-0.042399
490.0,470.0,510.0,1.8941,0.037418,-0.037418
530.0,510.0,550.0,1.4586,0.033436,-0.033436
570.0,550.0,590.0,1.1252,0.029223,-0.029223
615.0,590.0,640.0,1.0662,0.028921,-0.028921
665.0,640.0,690.0,0.78519,0.024842,-0.024842
715.0,690.0,740.0,0.59014,0.021599,-0.021599
765.0,740.0,790.0,0.49378,0.019149,-0.019149
815.0,790.0,840.0,0.36599,0.01647,-0.01647
870.0,840.0,900.0,0.32836,0.015984,-0.015984
930.0,900.0,960.0,0.24327,0.013781,-0.013781
990.0,960.0,1020.0,0.1863,0.011758,-0.011758
