

# Contour value=5.00 
mST_GeV,deltaM_GeV
4.3210e+02,4.2492e+02
4.3210e+02,4.2447e+02
4.3210e+02,4.2339e+02
4.3210e+02,4.2230e+02
4.3209e+02,4.2122e+02
4.3209e+02,4.2014e+02
4.3209e+02,4.1906e+02
4.3209e+02,4.1798e+02
4.3208e+02,4.1689e+02
4.3208e+02,4.1581e+02
4.3208e+02,4.1473e+02
4.3209e+02,4.1365e+02
4.3210e+02,4.1257e+02
4.3212e+02,4.1148e+02
4.3216e+02,4.1040e+02
4.3220e+02,4.0932e+02
4.3224e+02,4.0824e+02
4.3228e+02,4.0715e+02
4.3232e+02,4.0607e+02
4.3236e+02,4.0499e+02
4.3240e+02,4.0391e+02
4.3244e+02,4.0283e+02
4.3248e+02,4.0174e+02
4.3252e+02,4.0066e+02
4.3256e+02,3.9958e+02
4.3260e+02,3.9850e+02
4.3264e+02,3.9741e+02
4.3267e+02,3.9633e+02
4.3269e+02,3.9525e+02
4.3272e+02,3.9417e+02
4.3274e+02,3.9309e+02
4.3276e+02,3.9200e+02
4.3278e+02,3.9092e+02
4.3280e+02,3.8984e+02
4.3283e+02,3.8876e+02
4.3285e+02,3.8768e+02
4.3287e+02,3.8659e+02
4.3289e+02,3.8551e+02
4.3291e+02,3.8443e+02
4.3294e+02,3.8335e+02
4.3296e+02,3.8226e+02
4.3297e+02,3.8118e+02
4.3295e+02,3.8010e+02
4.3292e+02,3.7902e+02
4.3285e+02,3.7794e+02
4.3278e+02,3.7685e+02
4.3271e+02,3.7577e+02
4.3264e+02,3.7469e+02
4.3256e+02,3.7361e+02
4.3249e+02,3.7253e+02
4.3242e+02,3.7144e+02
4.3235e+02,3.7036e+02
4.3228e+02,3.6928e+02
4.3220e+02,3.6820e+02
4.3213e+02,3.6711e+02
4.3206e+02,3.6603e+02
4.3199e+02,3.6495e+02
4.3192e+02,3.6387e+02
4.3184e+02,3.6279e+02
4.3177e+02,3.6170e+02
4.3170e+02,3.6062e+02
4.3163e+02,3.5954e+02
4.3156e+02,3.5846e+02
4.3148e+02,3.5737e+02
4.3141e+02,3.5629e+02
4.3134e+02,3.5521e+02
4.3127e+02,3.5413e+02
4.3120e+02,3.5305e+02
4.3112e+02,3.5196e+02
4.3105e+02,3.5088e+02
4.3100e+02,3.4980e+02
4.3105e+02,3.4872e+02
4.3109e+02,3.4764e+02
4.3113e+02,3.4655e+02
4.3118e+02,3.4547e+02
4.3122e+02,3.4439e+02
4.3127e+02,3.4331e+02
4.3131e+02,3.4222e+02
4.3135e+02,3.4114e+02
4.3140e+02,3.4006e+02
4.3144e+02,3.3898e+02
4.3149e+02,3.3790e+02
4.3153e+02,3.3681e+02
4.3157e+02,3.3573e+02
4.3161e+02,3.3465e+02
4.3163e+02,3.3357e+02
4.3165e+02,3.3248e+02
4.3166e+02,3.3140e+02
4.3166e+02,3.3032e+02
4.3167e+02,3.2924e+02
4.3168e+02,3.2816e+02
4.3168e+02,3.2707e+02
4.3169e+02,3.2599e+02
4.3170e+02,3.2491e+02
4.3171e+02,3.2383e+02
4.3171e+02,3.2275e+02
4.3172e+02,3.2166e+02
4.3173e+02,3.2058e+02
4.3173e+02,3.1950e+02
4.3174e+02,3.1842e+02
4.3175e+02,3.1733e+02
4.3175e+02,3.1625e+02
4.3176e+02,3.1517e+02
4.3177e+02,3.1409e+02
4.3178e+02,3.1301e+02
4.3178e+02,3.1192e+02
4.3179e+02,3.1084e+02
4.3180e+02,3.0976e+02
4.3180e+02,3.0868e+02
4.3181e+02,3.0760e+02
4.3182e+02,3.0651e+02
4.3183e+02,3.0543e+02
4.3183e+02,3.0435e+02
4.3184e+02,3.0327e+02
4.3185e+02,3.0218e+02
4.3185e+02,3.0110e+02
4.3186e+02,3.0002e+02
4.3198e+02,2.9894e+02
4.3210e+02,2.9786e+02
4.3223e+02,2.9677e+02
4.3235e+02,2.9569e+02
4.3247e+02,2.9461e+02
4.3260e+02,2.9353e+02
4.3272e+02,2.9244e+02
4.3284e+02,2.9136e+02
4.3296e+02,2.9028e+02
4.3309e+02,2.8920e+02
4.3321e+02,2.8812e+02
4.3333e+02,2.8703e+02
4.3345e+02,2.8595e+02
4.3356e+02,2.8487e+02
4.3361e+02,2.8379e+02
4.3367e+02,2.8271e+02
4.3361e+02,2.8162e+02
4.3349e+02,2.8054e+02
4.3337e+02,2.7946e+02
4.3325e+02,2.7838e+02
4.3312e+02,2.7729e+02
4.3300e+02,2.7621e+02
4.3288e+02,2.7513e+02
4.3276e+02,2.7405e+02
4.3264e+02,2.7297e+02
4.3252e+02,2.7188e+02
4.3240e+02,2.7080e+02
4.3228e+02,2.6972e+02
4.3216e+02,2.6864e+02
4.3204e+02,2.6756e+02
4.3192e+02,2.6647e+02
4.3180e+02,2.6539e+02
4.3167e+02,2.6431e+02
4.3155e+02,2.6323e+02
4.3143e+02,2.6214e+02
4.3131e+02,2.6106e+02
4.3119e+02,2.5998e+02
4.3107e+02,2.5890e+02
4.3095e+02,2.5782e+02
4.3083e+02,2.5673e+02
4.3071e+02,2.5565e+02
4.3059e+02,2.5457e+02
4.3047e+02,2.5349e+02
4.3035e+02,2.5240e+02
4.3022e+02,2.5132e+02
4.3010e+02,2.5024e+02
4.2986e+02,2.4933e+02
4.2981e+02,2.4916e+02
4.2948e+02,2.4808e+02
4.2914e+02,2.4699e+02
4.2880e+02,2.4591e+02
4.2846e+02,2.4483e+02
4.2813e+02,2.4375e+02
4.2779e+02,2.4267e+02
4.2745e+02,2.4158e+02
4.2712e+02,2.4050e+02
4.2678e+02,2.3942e+02
4.2644e+02,2.3834e+02
4.2610e+02,2.3725e+02
4.2577e+02,2.3617e+02
4.2543e+02,2.3509e+02
4.2509e+02,2.3401e+02
4.2475e+02,2.3293e+02
4.2445e+02,2.3195e+02
4.2442e+02,2.3184e+02
4.2408e+02,2.3076e+02
4.2374e+02,2.2968e+02
4.2340e+02,2.2860e+02
4.2307e+02,2.2752e+02
4.2273e+02,2.2643e+02
4.2239e+02,2.2535e+02
4.2205e+02,2.2427e+02
4.2172e+02,2.2319e+02
4.2138e+02,2.2210e+02
4.2104e+02,2.2102e+02
4.2071e+02,2.1994e+02
4.2037e+02,2.1886e+02
4.2003e+02,2.1778e+02
4.1969e+02,2.1669e+02
4.1936e+02,2.1561e+02
4.1904e+02,2.1459e+02
4.1902e+02,2.1453e+02
4.1868e+02,2.1345e+02
4.1834e+02,2.1236e+02
4.1801e+02,2.1128e+02
4.1767e+02,2.1020e+02
4.1744e+02,2.0912e+02
4.1739e+02,2.0804e+02
4.1732e+02,2.0695e+02
4.1740e+02,2.0587e+02
4.1749e+02,2.0479e+02
4.1758e+02,2.0371e+02
4.1767e+02,2.0263e+02
4.1777e+02,2.0154e+02
4.1786e+02,2.0046e+02
4.1786e+02,1.9938e+02
4.1780e+02,1.9830e+02
4.1773e+02,1.9721e+02
4.1767e+02,1.9613e+02
4.1761e+02,1.9505e+02
4.1754e+02,1.9397e+02
4.1748e+02,1.9289e+02
4.1741e+02,1.9180e+02
4.1735e+02,1.9072e+02
4.1729e+02,1.8964e+02
4.1722e+02,1.8856e+02
4.1716e+02,1.8747e+02
4.1709e+02,1.8639e+02
4.1703e+02,1.8531e+02
4.1697e+02,1.8423e+02
4.1690e+02,1.8315e+02
4.1684e+02,1.8206e+02
4.1677e+02,1.8098e+02
4.1671e+02,1.7990e+02
4.1665e+02,1.7882e+02
4.1658e+02,1.7774e+02
4.1652e+02,1.7665e+02
4.1645e+02,1.7557e+02
4.1639e+02,1.7449e+02
4.1633e+02,1.7341e+02
4.1626e+02,1.7232e+02
4.1620e+02,1.7124e+02
4.1613e+02,1.7016e+02
4.1607e+02,1.6908e+02
4.1601e+02,1.6800e+02
4.1594e+02,1.6691e+02
4.1588e+02,1.6583e+02
4.1581e+02,1.6475e+02
4.1575e+02,1.6367e+02
4.1569e+02,1.6259e+02
4.1562e+02,1.6150e+02
4.1556e+02,1.6042e+02
4.1551e+02,1.5934e+02
4.1551e+02,1.5826e+02
4.1552e+02,1.5717e+02
4.1563e+02,1.5609e+02
4.1579e+02,1.5501e+02
4.1595e+02,1.5393e+02
4.1611e+02,1.5285e+02
4.1627e+02,1.5176e+02
4.1643e+02,1.5068e+02
4.1648e+02,1.4960e+02
4.1637e+02,1.4852e+02
4.1625e+02,1.4743e+02
4.1613e+02,1.4635e+02
4.1601e+02,1.4527e+02
4.1590e+02,1.4419e+02
4.1578e+02,1.4311e+02
4.1566e+02,1.4202e+02
4.1554e+02,1.4094e+02
4.1542e+02,1.3986e+02
4.1531e+02,1.3878e+02
4.1519e+02,1.3770e+02
4.1507e+02,1.3661e+02
4.1495e+02,1.3553e+02
4.1483e+02,1.3445e+02
4.1472e+02,1.3337e+02
4.1460e+02,1.3228e+02
4.1448e+02,1.3120e+02
4.1436e+02,1.3012e+02
4.1425e+02,1.2904e+02
4.1413e+02,1.2796e+02
4.1401e+02,1.2687e+02
4.1389e+02,1.2579e+02
4.1377e+02,1.2471e+02
4.1366e+02,1.2363e+02
4.1363e+02,1.2336e+02
4.1354e+02,1.2255e+02
4.1342e+02,1.2146e+02
4.1330e+02,1.2038e+02
4.1319e+02,1.1930e+02
