

# Contour value=0.66 
mST_GeV,deltaM_GeV
1.2289e+03,5.5000e+02
1.2281e+03,5.4729e+02
1.2273e+03,5.4457e+02
1.2265e+03,5.4186e+02
1.2257e+03,5.3915e+02
1.2238e+03,5.3643e+02
1.2226e+03,5.3508e+02
1.2211e+03,5.3372e+02
1.2182e+03,5.3101e+02
1.2153e+03,5.2829e+02
1.2124e+03,5.2558e+02
1.2094e+03,5.2286e+02
1.2090e+03,5.2250e+02
1.2072e+03,5.2015e+02
1.2052e+03,5.1744e+02
1.2031e+03,5.1472e+02
1.2010e+03,5.1201e+02
1.1989e+03,5.0930e+02
1.1968e+03,5.0658e+02
1.1955e+03,5.0484e+02
1.1950e+03,5.0387e+02
1.1937e+03,5.0116e+02
1.1924e+03,4.9844e+02
1.1910e+03,4.9573e+02
1.1897e+03,4.9302e+02
1.1884e+03,4.9030e+02
1.1871e+03,4.8759e+02
1.1857e+03,4.8487e+02
1.1844e+03,4.8216e+02
1.1831e+03,4.7945e+02
1.1819e+03,4.7700e+02
1.1818e+03,4.7673e+02
1.1805e+03,4.7402e+02
1.1791e+03,4.7131e+02
1.1778e+03,4.6859e+02
1.1765e+03,4.6588e+02
1.1740e+03,4.6317e+02
1.1706e+03,4.6045e+02
1.1683e+03,4.5916e+02
1.1656e+03,4.5774e+02
1.1604e+03,4.5503e+02
1.1552e+03,4.5231e+02
1.1548e+03,4.5206e+02
1.1506e+03,4.4960e+02
1.1491e+03,4.4688e+02
1.1476e+03,4.4417e+02
1.1461e+03,4.4146e+02
1.1446e+03,4.3874e+02
1.1431e+03,4.3603e+02
1.1416e+03,4.3332e+02
1.1412e+03,4.3256e+02
1.1401e+03,4.3060e+02
1.1386e+03,4.2789e+02
1.1372e+03,4.2518e+02
1.1357e+03,4.2246e+02
1.1341e+03,4.1975e+02
1.1325e+03,4.1704e+02
1.1310e+03,4.1432e+02
1.1293e+03,4.1161e+02
1.1276e+03,4.0904e+02
1.1275e+03,4.0889e+02
1.1258e+03,4.0618e+02
1.1241e+03,4.0347e+02
1.1223e+03,4.0075e+02
1.1209e+03,3.9804e+02
1.1196e+03,3.9533e+02
1.1180e+03,3.9261e+02
1.1141e+03,3.9029e+02
1.1125e+03,3.8990e+02
1.1018e+03,3.8719e+02
1.1005e+03,3.8685e+02
1.0970e+03,3.8447e+02
1.0931e+03,3.8176e+02
1.0891e+03,3.7905e+02
1.0869e+03,3.7758e+02
1.0852e+03,3.7633e+02
1.0813e+03,3.7362e+02
1.0774e+03,3.7090e+02
1.0735e+03,3.6819e+02
1.0734e+03,3.6808e+02
1.0692e+03,3.6548e+02
1.0640e+03,3.6276e+02
1.0598e+03,3.6077e+02
1.0583e+03,3.6005e+02
1.0525e+03,3.5734e+02
1.0468e+03,3.5462e+02
1.0462e+03,3.5437e+02
1.0410e+03,3.5191e+02
1.0357e+03,3.4920e+02
1.0327e+03,3.4732e+02
1.0313e+03,3.4648e+02
1.0270e+03,3.4377e+02
1.0226e+03,3.4106e+02
1.0191e+03,3.3887e+02
1.0183e+03,3.3834e+02
1.0139e+03,3.3563e+02
1.0095e+03,3.3291e+02
1.0055e+03,3.3041e+02
1.0053e+03,3.3020e+02
1.0019e+03,3.2749e+02
9.9851e+02,3.2477e+02
9.9514e+02,3.2206e+02
9.9196e+02,3.1951e+02
9.9179e+02,3.1935e+02
9.8886e+02,3.1663e+02
9.8594e+02,3.1392e+02
9.8302e+02,3.1121e+02
9.7937e+02,3.0849e+02
9.7839e+02,3.0784e+02
9.7490e+02,3.0578e+02
9.7029e+02,3.0307e+02
9.6569e+02,3.0035e+02
9.6482e+02,2.9982e+02
9.6132e+02,2.9764e+02
9.5698e+02,2.9492e+02
9.5265e+02,2.9221e+02
9.5126e+02,2.9134e+02
9.4831e+02,2.8950e+02
9.4398e+02,2.8678e+02
9.3964e+02,2.8407e+02
9.3769e+02,2.8285e+02
9.3530e+02,2.8136e+02
9.3097e+02,2.7864e+02
9.2663e+02,2.7593e+02
9.2412e+02,2.7436e+02
9.2230e+02,2.7322e+02
9.1796e+02,2.7050e+02
9.1363e+02,2.6779e+02
9.1055e+02,2.6586e+02
9.0937e+02,2.6508e+02
9.0531e+02,2.6236e+02
9.0125e+02,2.5965e+02
8.9719e+02,2.5693e+02
8.9698e+02,2.5679e+02
8.9384e+02,2.5422e+02
8.9052e+02,2.5151e+02
8.8804e+02,2.4879e+02
8.8662e+02,2.4608e+02
8.8519e+02,2.4337e+02
8.8377e+02,2.4065e+02
8.8342e+02,2.3998e+02
8.8235e+02,2.3794e+02
8.8092e+02,2.3523e+02
8.7950e+02,2.3251e+02
8.7807e+02,2.2980e+02
8.7665e+02,2.2709e+02
8.7523e+02,2.2437e+02
8.7380e+02,2.2166e+02
8.7238e+02,2.1894e+02
8.7095e+02,2.1623e+02
8.6985e+02,2.1525e+02
8.6572e+02,2.1352e+02
8.5669e+02,2.1080e+02
8.5628e+02,2.1068e+02
8.4766e+02,2.0809e+02
8.4271e+02,2.0661e+02
8.3863e+02,2.0538e+02
8.2959e+02,2.0266e+02
8.2915e+02,2.0253e+02
8.2062e+02,1.9995e+02
8.1558e+02,1.9771e+02
8.1451e+02,1.9724e+02
8.0841e+02,1.9452e+02
8.0230e+02,1.9181e+02
8.0201e+02,1.9168e+02
7.9860e+02,1.8910e+02
7.9501e+02,1.8638e+02
7.9143e+02,1.8367e+02
7.8844e+02,1.8141e+02
7.8789e+02,1.8095e+02
7.8454e+02,1.7824e+02
7.8120e+02,1.7553e+02
7.7785e+02,1.7281e+02
7.7487e+02,1.7040e+02
7.7451e+02,1.7010e+02
7.7072e+02,1.6739e+02
7.6540e+02,1.6467e+02
7.6131e+02,1.6313e+02
7.5762e+02,1.6196e+02
